timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.57,262144,64,36115,2379888052,113,585,496523,2,6504,67,6646,124749708,1172,1,66,5754,338235,2,87302,585,7522876,8913866,748464458,585,727,2,1,2,2,483,1,745316764,698988857,36829679,53732033,53748417,2,1,2364209452,73389,73389,2,2,2,53732033,8,3,263652,6401941,1263734,17041,5688,745316764,479482,6257769,15425
10015.95,262144,64,92760,6112337058,123,585,929978,2,22469,67,6646,126318288,1172,1,66,14073,340281,2,87302,585,17837144,9220814,1842899995,585,727,2,1,2,2,483,1,1835573660,1790090906,67528611,138568141,138584525,2,1,6096998204,73389,73389,2,2,2,138568141,8,3,314959,7201465,1503688,25735,14007,1835573660,904243,16332262,15425
15019.85,262144,64,146328,9642347502,132,585,1326137,2,37567,67,6646,127886868,1172,1,66,21943,342821,2,87302,585,27804167,9353972,2878530836,585,727,2,1,2,2,483,1,2867241372,2821999502,102941879,218790438,218806822,2,1,9626779272,73389,73389,2,2,2,218790438,8,3,365908,7948060,1720175,34022,21877,2867241372,1292115,26082169,15425
20026.38,262144,64,171136,11276924506,136,585,1557236,2,44591,67,6646,128417772,1172,1,66,25590,407786,2,87302,585,33321496,12255939,3358457587,585,727,2,1,2,2,483,1,3345260956,3299783462,174852875,255951831,255951831,2,1,11261880564,73389,73389,2,2,2,255951831,8,3,386085,9724168,1930320,41851,25524,3345260956,1515385,31389951,15425
25033.72,262144,64,184764,12174827250,138,585,1706910,2,48414,67,6646,128683224,1172,1,66,27592,482475,2,87302,585,37266807,16859011,3621978697,585,727,2,1,2,2,483,1,3607667100,3562313268,248666773,276352009,276352009,2,1,12158767500,73389,73389,2,2,2,276335625,8,3,400937,11820623,2153823,48170,27526,3607667100,1658740,35112205,15425
30038.54,262144,64,219036,14433087834,144,585,2002699,2,58090,67,6646,129479580,1172,1,66,32624,509730,2,87302,585,45494171,20266613,4284120710,585,727,2,1,2,2,483,1,4267221404,4222468621,387297856,327665687,327682071,2,1,14417290228,73389,73389,2,2,2,327665687,8,3,446280,13202816,2466616,56191,32558,4267221404,1946508,43027723,15425
35043.53,262144,64,269041,17728073194,152,585,2377955,2,72120,67,6646,130806840,1172,1,66,39973,512397,2,87302,585,55935644,20721281,5250928024,585,727,2,1,2,2,483,1,5230338460,5185653932,419158499,402551562,402567946,2,1,17712268728,73389,73389,2,2,2,402551562,8,3,483771,13969151,2675525,64043,39907,5230338460,2313912,53260705,15425
40058.96,262144,64,301317,19854727566,158,585,2652317,2,81303,67,6646,131603196,1172,1,66,44713,531190,2,87302,585,63201329,23033165,5874779096,585,727,2,1,2,2,483,1,5851750812,5807403712,469524808,450898021,450914405,2,1,19839512924,73389,73389,2,2,2,450898021,8,3,496507,15314043,2859494,72027,44647,5851750812,2580290,60341353,15425
45063.98,262144,64,324605,21389424398,162,585,2864265,2,87873,67,6646,132399552,1172,1,66,48134,567486,2,87302,585,68007331,26163796,6324845019,585,727,2,1,2,2,483,1,6300017052,6255942496,537101767,485776005,485792389,2,1,21374144220,73389,73389,2,2,2,485776005,8,3,513195,16905322,3047692,80470,48068,6300017052,2783795,64959418,15425
50068.52,262144,64,374326,24665471752,170,585,3232198,2,101831,67,6646,133461360,1172,1,66,55436,568304,2,87302,585,79193976,26323374,7285600037,585,727,2,1,2,2,483,1,7257104796,7213638811,584266338,560238055,560238055,2,1,24650474420,73389,73389,2,2,2,560238055,8,3,535067,17629608,3230800,88729,55370,7257104796,3143469,75962923,15425
