timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5006.70,262144,64,80245,5287665466,121,585,742298,3,18978,67,937,125811516,1172,1,66,12233,28341,2,4020,585,12608164,1014977,1600768271,585,180,2,1,2,2,249,1,1594532252,1549068650,24744609,119828780,119828780,2,1,5271745424,73389,73389,2,2,2,119812396,3,3,341820,2055623,1537669,14520,12167,1594532252,727778,11069096,3404
10025.00,262144,64,99846,6579379674,124,585,975988,3,24489,67,937,126571674,1172,1,66,15115,73952,2,4020,585,17370153,4392502,1980061469,585,180,2,1,2,2,249,1,1972281756,1926576357,77642633,149179767,149196151,2,1,6563909748,73389,73389,2,2,2,149179767,3,3,361584,3893596,1802829,23237,15049,1972281756,952751,15565986,3404
15035.58,262144,64,112818,7434290802,126,585,1128842,3,28137,67,937,126837126,1172,1,66,17022,153607,2,4020,585,21145045,8652304,2231081339,585,180,2,1,2,2,249,1,2222236060,2176523849,118412084,168605097,168621481,2,1,7418624268,73389,73389,2,2,2,168605097,3,3,370500,5973978,1991522,30026,16956,2222236060,1098816,19152448,3404
20041.55,262144,64,124229,8186103878,128,585,1264788,3,31359,67,937,127102578,1172,1,66,18696,241202,2,4020,585,24662952,13379097,2451440227,585,180,2,1,2,2,249,1,2441650588,2396239075,178046598,185710376,185710376,2,1,8170535648,73389,73389,2,2,2,185693992,3,3,381584,8323715,2174833,35617,18630,2441650588,1229171,22486866,3404
25049.76,262144,64,141486,9323164026,131,585,1471277,3,36230,67,937,127621416,1172,1,66,21233,294432,2,4020,585,29096995,17520272,2785345043,585,180,2,1,2,2,249,1,2774180252,2728671207,263278689,211547439,211547439,2,1,9308087316,73389,73389,2,2,2,211547439,3,3,393799,10208947,2418329,44939,21167,2774180252,1426338,26677911,3404
30056.83,262144,64,148929,9813868446,132,585,1568500,3,38313,67,937,127886868,1172,1,66,22328,431807,2,4020,585,32248373,22261411,2929523587,585,180,2,1,2,2,249,1,2917704092,2872151883,314364663,222697578,222697578,2,1,9797972536,73389,73389,2,2,2,222681194,3,3,404073,12564792,2561628,49629,22262,2917704092,1518871,29687373,3404
35063.58,262144,64,156343,10302141418,134,585,1664003,3,40414,67,937,127886868,1172,1,66,23418,547479,2,4020,585,35552728,27599450,3073043892,585,180,2,1,2,2,249,1,3060572572,3014822325,391955316,233786499,233802883,2,1,10286605956,73389,73389,2,2,2,233786499,3,3,415282,14989946,2713783,54075,23352,3060572572,1609928,32839171,3404
40070.59,262144,64,163247,10756991030,135,585,1757607,3,42384,67,937,128152320,1172,1,66,24431,705081,2,4020,585,38224267,32871020,3206426914,585,180,2,1,2,2,249,1,3193348508,3147825890,497128896,244121756,244138140,2,1,10741357264,73389,73389,2,2,2,244121756,3,3,430823,17502193,2874124,64007,24365,3193348508,1693600,35350240,3404
45073.95,262144,64,182872,12050302234,138,585,1955140,3,47898,67,937,128683224,1172,1,66,27315,789710,2,4020,585,42871660,36743964,3585968563,585,180,2,1,2,2,249,1,3571360156,3525911559,654726443,273521895,273521895,2,1,12034242484,73389,73389,2,2,2,273505511,3,3,459634,19443244,3104763,71564,27249,3571360156,1883576,39767673,3404
50077.14,262144,64,235592,15524014190,147,585,2343615,3,62718,67,937,130010484,1172,1,66,35056,789889,2,4020,585,53455465,36921256,4604467472,585,180,2,1,2,2,249,1,4585988508,4541401380,682018089,352456333,352472717,2,1,15508078652,73389,73389,2,2,2,352456333,3,3,496002,20154385,3290614,79615,34990,4585988508,2264000,50164888,3404
