timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.55,3,262144,64,48422,3190686836,115,0,585,571807,5,9971,67,5753,125015160,1172,1,66,7561,404120,2,37417,585,8951081,9309553,986209398,585,643,2,1,2,2,604,1,982163868,936059137,40205640,72170449,72170449,2,1,3175499756,73389,73389,2,2,2,72170449,10,1,3,334825,7350422,1474552,28013,7495,982163868,543794,7478395,15121
10020.18,3,262144,64,66424,4377114274,118,0,585,784104,5,15045,67,5753,125546064,1172,1,66,10204,473151,2,37417,585,14073546,13598577,1334061548,585,643,2,1,2,2,604,1,1328587164,1282866998,82156186,99125498,99141882,2,1,4361521912,73389,73389,2,2,2,99125498,10,1,3,357899,9261482,1734373,37962,10139,1328587164,746142,12340941,15121
15024.52,3,262144,64,85504,5634177454,122,0,585,995678,5,20414,67,5753,126076968,1172,1,66,13007,529408,2,37417,585,20418711,18258828,1702963338,585,643,2,1,2,2,604,1,1695981980,1650382275,141872923,127702563,127702563,2,1,5618191876,73389,73389,2,2,2,127686179,10,1,3,376886,11036894,2041049,45737,12941,1695981980,949941,18379000,15121
20028.92,3,262144,64,141371,9315627386,131,0,585,1372612,5,36198,67,5753,127621416,1172,1,66,21217,531850,2,37417,585,30052696,18477249,2783090695,585,643,2,1,2,2,604,1,2771952028,2726451818,168679544,211367215,211383599,2,1,9300157460,73389,73389,2,2,2,211367215,10,1,3,400287,11763338,2210421,54056,21151,2771952028,1318556,27844260,15121
25033.42,3,262144,64,200216,13193064014,141,0,585,1801927,5,52766,67,5753,129214128,1172,1,66,29861,532818,2,37417,585,40391232,18789963,3920586979,585,643,2,1,2,2,604,1,3905069468,3859946804,214160837,299481838,299498222,2,1,13177200872,73389,73389,2,2,2,299481838,10,1,3,442440,12574163,2461192,63117,29795,3905069468,1738810,37931671,15121
30037.33,3,262144,64,260211,17146204890,151,0,585,2248993,5,69663,67,5753,130541388,1172,1,66,38674,533082,2,37417,585,50542387,18837030,5080196963,585,643,2,1,2,2,604,1,5060207004,5015540614,243975603,389339198,389339198,2,1,17130203816,73389,73389,2,2,2,389322814,10,1,3,467159,13412824,2655079,72300,38608,5060207004,2176693,47888800,15121
35049.29,3,262144,64,316752,20871850218,160,0,585,2690515,5,85620,67,5753,131868648,1172,1,66,46982,533859,2,37417,585,60440669,19082055,6173381241,585,643,2,1,2,2,604,1,6149153180,6104730370,283375734,474019658,474019658,2,1,20856864952,73389,73389,2,2,2,474019658,10,1,3,481451,14321502,2836783,81347,46916,6149153180,2609168,57605493,15121
40066.02,3,262144,64,333104,21949334834,163,0,585,2890137,5,90246,67,5753,132399552,1172,1,66,49382,584653,2,37417,585,65177195,22941115,6489393940,585,643,2,1,2,2,604,1,6463857052,6419652146,399180724,498499008,498515392,2,1,21933956352,73389,73389,2,2,2,498499008,10,1,3,487612,16225002,3061167,91073,49317,6463857052,2799064,62117292,15121
45073.03,3,262144,64,346281,22817680842,165,0,585,3045239,5,93950,67,5753,132665004,1172,1,66,51318,639448,2,37417,585,69020200,27428281,6744094944,585,643,2,1,2,2,604,1,6717481372,6673463773,479742542,518243826,518243826,2,1,22802728344,73389,73389,2,2,2,518243826,10,1,3,495135,18393283,3241982,98398,51252,6717481372,2946841,65779930,15121
50079.71,3,262144,64,357976,23588106142,167,0,585,3185364,5,97248,67,5753,132930456,1172,1,66,53036,697785,2,37417,585,71984563,31746471,6970242721,585,643,2,1,2,2,604,1,6942663068,6898700952,545230191,535742321,535758705,2,1,23572662124,73389,73389,2,2,2,535742321,10,1,3,508847,20455382,3411692,104660,52970,6942663068,3080704,68574003,15121
