timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.40,262144,64,66262,4366497442,118,0,585,652065,3,14960,67,217,125546064,1172,1,66,10180,60791,2,2010,585,11644202,940267,1330592385,585,209,2,1,2,2,342,1,1325441436,1279759006,30472923,98879738,98896122,2,1,4350708472,73389,73389,2,2,2,98879738,3,3,322208,1846045,1404568,12778,10114,1325441436,639287,10238911,3408
10013.37,262144,64,84350,5558018006,121,0,585,857409,3,20097,67,217,125811516,1172,1,66,12838,100679,2,2010,585,16372908,4726984,1680422186,585,209,2,1,2,2,342,1,1673830812,1628149658,80893116,125970177,125970177,2,1,5542687788,73389,73389,2,2,2,125970177,3,3,336984,3661893,1636067,21567,12772,1673830812,835842,14735953,3408
15019.14,262144,64,94991,6259344230,123,0,585,986343,3,23109,67,217,126318288,1172,1,66,14398,201303,2,2010,585,19705494,9360792,1885782898,585,209,2,1,2,2,342,1,1878303132,1833087527,116602625,141912192,141912192,2,1,6244136448,73389,73389,2,2,2,141912192,3,3,348149,6018019,1803160,27571,14332,1878303132,958772,17900404,3408
20025.78,262144,64,102492,6753849738,124,0,585,1082905,3,25211,67,217,126571674,1172,1,66,15504,403923,2,2010,585,22544872,14269909,2031400385,585,209,2,1,2,2,342,1,2023268764,1977629292,151290327,153152443,153152443,2,1,6738707492,73389,73389,2,2,2,153152443,3,3,354747,8730248,1919476,32342,15438,2023268764,1050563,20623911,3408
25032.81,262144,64,108614,7157184746,126,0,585,1171784,3,26949,67,217,126837126,1172,1,66,16404,589452,2,2010,585,24525724,19046763,2149917471,585,209,2,1,2,2,342,1,2141233564,2095506566,176682752,162310211,162326595,2,1,7141649284,73389,73389,2,2,2,162310211,3,3,363129,11239151,2028734,44335,16338,2141233564,1127449,22495001,3408
30053.15,262144,64,118435,7804385338,127,0,585,1288208,3,29724,67,217,127102578,1172,1,66,17846,692638,2,2010,585,27071572,23591584,2339750310,585,209,2,1,2,2,342,1,2330239388,2284654978,249592944,177019552,177041969,2,1,7788860288,73389,73389,2,2,2,177019552,3,3,368632,13667208,2145394,49111,17780,2330239388,1239097,24924289,3408
35062.37,262144,64,128302,8454624718,129,1,585,1419615,3,32523,67,217,127368030,1172,1,66,19296,827175,2,2010,585,30892563,28537617,2530634574,585,209,2,1,2,2,342,1,2520293788,2474802697,333681549,191792270,191808654,2,1,8438859880,73389,73389,2,2,2,191792270,3,3,380715,16013225,2342912,54398,19230,2520293788,1365217,28546939,3408
40067.09,262144,64,145331,9576742658,132,1,585,1595861,3,37332,67,217,127886868,1172,1,66,21799,910882,2,2010,585,35991742,33258377,2859925299,585,209,2,1,2,2,342,1,2848367004,2802817195,411265355,217309845,217309845,2,1,9561633180,73389,73389,2,2,2,217309845,3,3,393676,18058806,2560141,61919,21733,2848367004,1533942,33428890,3408
45070.91,262144,64,198134,13055821706,141,1,585,1995100,3,52173,67,217,128948676,1172,1,66,29556,911496,2,2010,585,46399898,33368530,3880534044,585,209,2,1,2,2,342,1,3864961436,3819783238,448925470,296367163,296383547,2,1,13040155172,73389,73389,2,2,2,296367163,3,3,427785,18813533,2738149,70323,29490,3864961436,1924777,43659092,3408
50074.78,262144,64,250207,16487131870,149,1,585,2372377,3,66867,67,217,130275936,1172,1,66,37203,912251,2,2010,585,56596174,33369549,4886793658,585,209,2,1,2,2,342,1,4867400092,4822933421,471609278,374359521,374359521,2,1,16471098028,73389,73389,2,2,2,374343137,3,3,460284,19545644,2934443,78559,37137,4867400092,2293818,53659493,3408
55082.02,262144,64,301015,19834935694,158,1,585,2759446,3,81217,67,217,131603196,1172,1,66,44668,913106,2,2010,585,67085419,33551621,5869011253,585,209,2,1,2,2,342,1,5845852572,5801625314,498776467,450439269,450455653,2,1,19819327836,73389,73389,2,2,2,450439269,3,3,490246,20416414,3142310,87201,44602,5845852572,2672245,63940573,3408
60088.80,262144,64,315858,20812995582,160,1,585,2934513,3,85377,67,217,131868648,1172,1,66,46849,948701,2,2010,585,71037560,37488528,6156079490,585,209,2,1,2,2,342,1,6131720604,6087547142,569406145,472670137,472686521,2,1,20797486028,73389,73389,2,2,2,472670137,3,3,498713,22413354,3353964,94590,46783,6131720604,2839923,67681459,3408
65092.79,262144,64,362813,23906961938,168,1,585,3313141,3,98622,67,217,133195908,1172,1,66,53745,963835,2,2010,585,80233204,38722540,7063456592,585,209,2,1,2,2,342,1,7035593116,6991849467,607654285,542993512,543009896,2,1,23891714528,73389,73389,2,2,2,542993512,3,3,523632,23427349,3551398,103248,53679,7035593116,3209893,76679438,3408
