timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.12,1,262144,64,25827,1701937356,112,0,585,706841,6,3645,55,67,61746,124484256,1172,1,66,4240,904896,2,74188,585,4813425,19989620,549349274,585,1487,2,1,2,2,379,1,546873756,500748329,38076761,38328531,38344915,2,1,1686455364,73389,73389,2,2,2,38328531,6,3,257835,15922059,1230716,17738,4174,546873756,689103,3584475,8153
10019.67,1,262144,64,36297,2391815604,113,0,585,838099,6,6553,55,67,61746,124749708,1172,1,66,5779,1016005,2,74188,585,7622046,24392822,751939746,585,1487,2,1,2,2,379,1,748593564,702522804,69960012,54010561,54026945,2,1,2376464684,73389,73389,2,2,2,54010561,6,3,272224,18069388,1410881,23015,5713,748593564,815084,6212843,8153
15025.46,1,262144,64,44761,2949438313,115,1,585,943553,6,8973,55,67,61746,125015160,1172,1,66,7020,1106454,2,74188,585,10954188,29551032,915323077,585,1487,2,1,2,2,379,1,911253916,865503866,119371583,66684412,66700796,2,1,2934114128,73389,73389,2,2,2,66684412,6,3,283448,20493504,1568173,27785,6954,911253916,915768,9387632,8153
20030.79,1,262144,64,74818,4930143430,120,1,585,1210872,6,17442,55,67,61746,125811516,1172,1,66,11436,1146409,2,74188,585,17205897,32472617,1496405421,585,1487,2,1,2,2,379,1,1490067868,1444549783,160305800,111701045,111701045,2,1,4914125084,73389,73389,2,2,2,111684661,6,3,307291,22041812,1785023,35268,11370,1490067868,1175604,15421843,8153
25036.56,1,262144,64,126662,8346349322,129,1,585,1596609,6,32022,55,67,61746,127102578,1172,1,66,19056,1147068,2,74188,585,27659353,32474034,2498964328,585,1487,2,1,2,2,379,1,2488836508,2443123127,187912004,189349339,189349339,2,1,8330650020,73389,73389,2,2,2,189332955,6,3,338094,22780649,1969203,43622,18990,2488836508,1552987,25691264,8153
30040.93,1,262144,64,178980,11793643410,137,1,585,1987472,6,46785,55,67,61746,128417772,1172,1,66,26741,1147681,2,74188,585,38637882,32598561,3510103333,585,1487,2,1,2,2,379,1,3496124828,3450799159,224676384,267685761,267702145,2,1,11778173484,73389,73389,2,2,2,267685761,6,3,370286,23533433,2187431,52263,26675,3496124828,1935209,36451679,8153
35047.20,1,262144,64,216256,14249835946,144,1,585,2281992,6,57329,55,67,61746,129479580,1172,1,66,32216,1173382,2,74188,585,47425102,34140301,4230504518,585,1487,2,1,2,2,379,1,4213744028,4168883076,307034616,323496403,323512787,2,1,14233841732,73389,73389,2,2,2,323496403,6,3,396285,24706222,2385672,60025,32150,4213744028,2221967,45040562,8153
40051.09,1,262144,64,237276,15635173170,147,1,585,2496274,6,63219,55,67,61746,130010484,1172,1,66,35304,1216080,2,74188,585,53404640,38315925,4636889625,585,1487,2,1,2,2,379,1,4618494364,4573880457,451778755,354981184,354997568,2,1,15619172096,73389,73389,2,2,2,354981184,6,3,424180,26533577,2631678,67826,35238,4618494364,2428448,50773082,8153
45056.95,1,262144,64,289204,19056642766,156,1,585,2911037,6,77861,55,67,61746,131337744,1172,1,66,42933,1216968,2,74188,585,63638437,38535707,5640669999,585,1487,2,1,2,2,379,1,5618442652,5574027049,477828969,432754517,432770901,2,1,19041198748,73389,73389,2,2,2,432754517,6,3,452276,27332930,2820969,76279,42867,5618442652,2834758,60817574,8153
50064.91,1,262144,64,333358,21965980978,163,1,585,3261302,6,90315,55,67,61746,132399552,1172,1,66,49419,1229967,2,74188,585,72378555,39279102,6494071452,585,1487,2,1,2,2,379,1,6468575644,6424550398,501856922,498875840,498892224,2,1,21950536960,73389,73389,2,2,2,498875840,6,3,470274,28417501,3019019,84687,49353,6468575644,3176615,69359639,8153
55069.64,1,262144,64,349638,23038759068,166,1,585,3436770,6,94917,55,67,61746,132930456,1172,1,66,51812,1304065,2,74188,585,77011598,43291292,6809027130,585,1487,2,1,2,2,379,1,6782230940,6738133039,610777338,523265078,523265078,2,1,23022942536,73389,73389,2,2,2,523248694,6,3,481988,30273597,3239533,91830,51746,6782230940,3344940,73771812,8153
