timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.36,1,262144,64,48321,3184067700,115,585,909970,4,9944,58,67,64736,125015160,1172,1,66,7547,97044,2,68834,585,8598115,3749668,984211253,585,808,2,1,2,2,454,1,980328860,934080046,31828020,72022993,72022993,2,1,3169011692,73389,73389,2,2,2,72022993,5,1,3,351162,3320462,1461372,12741,7481,980328860,897229,7136630,4279
10059.48,1,262144,64,61672,4063829038,118,585,1068068,4,13747,58,67,64736,125546064,1172,1,66,9505,147331,2,68834,585,12791358,8376112,1241938670,585,808,2,1,2,2,454,1,1236967836,1191295278,76840152,92005379,92021763,2,1,4048236676,73389,73389,2,2,2,92005379,5,1,3,375963,5441927,1692356,20699,9439,1236967836,1047369,11099695,4279
15065.77,1,262144,64,69132,4555382118,119,585,1161631,4,15837,58,67,64736,125546064,1172,1,66,10603,322215,2,68834,585,15057549,13341021,1386505441,585,808,2,1,2,2,454,1,1380884892,1335030026,115278489,103182253,103182253,2,1,4540019132,73389,73389,2,2,2,103182253,5,1,3,384276,8248614,1807175,24972,10537,1380884892,1136659,13250011,4279
20078.92,1,262144,64,75985,5007154846,120,585,1249664,4,17760,58,67,64736,125811516,1172,1,66,11609,495491,2,68834,585,17425389,18532051,1518962268,585,808,2,1,2,2,454,1,1512743324,1467068314,148954128,113449815,113449815,2,1,4991791860,73389,73389,2,2,2,113449815,5,1,3,385033,10944868,1900421,29008,11543,1512743324,1220656,15524215,4279
25087.00,1,262144,64,83578,5507158762,121,585,1346814,4,19887,58,67,64736,125811516,1172,1,66,12725,692058,2,68834,585,19816338,23555315,1665898502,585,808,2,1,2,2,454,1,1659019676,1613271427,189047468,124800880,124817264,2,1,5491238720,73389,73389,2,2,2,124800880,5,1,3,386102,13524275,2004632,33418,12659,1659019676,1313396,17810644,4279
30104.34,1,262144,64,94649,6236930918,123,585,1478750,4,23018,58,67,64736,126318288,1172,1,66,14350,780044,2,68834,585,23099476,28081054,1879808823,585,808,2,1,2,2,454,1,1872011676,1826500528,276623819,141404288,141404288,2,1,6221788672,73389,73389,2,2,2,141404288,5,1,3,391181,15759414,2156787,39585,14284,1872011676,1439165,20942865,4279
35110.00,1,262144,64,105362,6942999866,125,585,1610874,4,26039,58,67,64736,126837126,1172,1,66,15926,878561,2,68834,585,26265655,32686121,2087267944,585,808,2,1,2,2,454,1,2078581148,2032873704,331909253,157444607,157460991,2,1,6927562708,73389,73389,2,2,2,157444607,5,1,3,393663,17910837,2283417,45217,15860,2078581148,1565657,23982346,4279
40114.37,1,262144,64,150125,9892514954,132,585,1950225,4,38640,58,67,64736,127886868,1172,1,66,22503,893308,2,68834,585,35796280,34503709,2952667977,585,808,2,1,2,2,454,1,2940641692,2895118712,374379260,224473083,224489467,2,1,9876815652,73389,73389,2,2,2,224473083,5,1,3,417926,18923329,2500051,53565,22437,2940641692,1896660,33296427,4279
45118.78,1,262144,64,203290,13395583486,141,585,2341458,4,53634,58,67,64736,129214128,1172,1,66,30312,894177,2,68834,585,46391272,34516822,3980123139,585,808,2,1,2,2,454,1,3964182940,3919132847,443785493,304093490,304109874,2,1,13380113560,73389,73389,2,2,2,304093490,5,1,3,460284,19682882,2731597,62194,30246,3964182940,2279264,43660285,4279
50122.74,1,262144,64,258935,17062050050,151,585,2760404,4,69330,58,67,64736,130541388,1172,1,66,38486,894847,2,68834,585,57695367,34517386,5055596705,585,808,2,1,2,2,454,1,5035565468,4990944760,475720606,387426588,387442972,2,1,17046769872,73389,73389,2,2,2,387426588,5,1,3,515688,20484605,3002713,71253,38420,5035565468,2689151,54693539,4279
55129.90,1,262144,64,285881,18837804830,155,585,3022455,4,76926,58,67,64736,131337744,1172,1,66,42447,937454,2,68834,585,63734987,37534727,5576828706,585,808,2,1,2,2,454,1,5554741660,5510115341,571148486,427774225,427790609,2,1,18822065900,73389,73389,2,2,2,427774225,5,1,3,533834,22178124,3243824,79391,42381,5554741660,2943064,60492097,4279
60133.59,1,262144,64,321514,21185790814,161,585,3331681,4,86973,58,67,64736,132134100,1172,1,66,47679,953961,2,68834,585,71607229,40184462,6265272065,585,808,2,1,2,2,454,1,6240510364,6196469628,762735279,481156161,481156161,2,1,21170871084,73389,73389,2,2,2,481156161,5,1,3,571698,23560957,3509765,87985,47613,6240510364,3243696,68097963,4279
65137.84,1,262144,64,373676,24622607900,170,585,3709396,4,101694,58,67,64736,133461360,1172,1,66,55342,954660,2,68834,585,82329609,40382600,7273512684,585,808,2,1,2,2,454,1,7244915100,7201126143,797467282,559248982,559265366,2,1,24606955208,73389,73389,2,2,2,559248982,5,1,3,598487,24307395,3729766,96317,55276,7244915100,3613079,78600935,4279
