timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.36,5,262144,64,30370,2001260116,112,585,421043,11,4884,67,351,124484256,1172,1,66,4909,1191965,2,160987,585,5575858,15289529,637226550,585,926,2,1,2,2,789,1,634429852,588248451,39122447,45131321,45147705,2,1,1985778124,73389,73389,2,2,2,45131321,22,1,3,177423,12127466,977627,23642,4843,634429852,397401,4598295,6842
10020.10,5,262144,64,39621,2610719076,114,585,537457,11,7515,67,351,124749708,1172,1,66,6267,1335635,2,160987,585,8687535,19929962,816145168,585,926,2,1,2,2,789,1,812556700,766458503,78645019,58990853,58990853,2,1,2594876636,73389,73389,2,2,2,58974469,22,1,3,187362,14576854,1130957,28948,6201,812556700,508509,7556183,6842
15023.91,5,262144,64,72894,4803255810,120,585,834737,11,16865,67,351,125546064,1172,1,66,11156,1370998,2,160987,585,16271442,22982390,1459462970,585,926,2,1,2,2,789,1,1453367708,1407502823,122615720,108799362,108815746,2,1,4787171928,73389,73389,2,2,2,108799362,22,1,3,240816,16131526,1410856,36774,11090,1453367708,797963,14860323,6842
20028.13,5,262144,64,124218,8185382982,128,585,1222076,11,31342,67,351,127102578,1172,1,66,18694,1371572,2,160987,585,26397560,22983592,2451258569,585,926,2,1,2,2,789,1,2441388444,2396058553,146807603,185677608,185693992,2,1,8169814752,73389,73389,2,2,2,185677608,22,1,3,269422,16870504,1615295,44950,18628,2441388444,1177126,24782334,6842
25032.27,5,262144,64,177809,11716369850,137,585,1616878,11,46464,67,351,128417772,1172,1,66,26569,1372336,2,160987,585,37187472,22984343,3487398411,585,926,2,1,2,2,789,1,3473580444,3428242536,183378289,265936991,265936991,2,1,11700506708,73389,73389,2,2,2,265920607,22,1,3,293983,17632960,1828987,53718,26503,3473580444,1563160,35358783,6842
30038.99,5,262144,64,216596,14272238846,144,585,1934030,11,57426,67,351,129479580,1172,1,66,32265,1389007,2,160987,585,45524208,24624837,4236875258,585,926,2,1,2,2,789,1,4220166556,4175375554,239898437,324004307,324026724,2,1,14256189508,73389,73389,2,2,2,324004307,22,1,3,331240,18949873,2075779,61657,32199,4220166556,1872373,43447625,6842
35043.64,5,262144,64,238746,15732041994,147,585,2156745,11,63617,67,351,130010484,1172,1,66,35522,1432540,2,160987,585,50867684,28262891,4665492408,585,926,2,1,2,2,789,1,4647068060,4602147372,348037450,357188706,357205090,2,1,15716303064,73389,73389,2,2,2,357188706,22,1,3,360301,20736353,2343705,69376,35456,4647068060,2087369,48523245,6842
40048.23,5,262144,64,292873,19298421610,156,585,2568029,11,78837,67,351,131337744,1172,1,66,43473,1434537,2,160987,585,61213354,28597360,5711613704,585,926,2,1,2,2,789,1,5689221532,5644675718,412026941,438256938,438273322,2,1,19283305272,73389,73389,2,2,2,438256938,22,1,3,398035,21564076,2580688,78188,43407,5689221532,2489841,58632368,6842
45054.73,5,262144,64,335095,22080613366,163,585,2894302,11,90787,67,351,132399552,1172,1,66,49675,1474106,2,160987,585,69854631,29576489,6527802167,585,926,2,1,2,2,789,1,6502261148,6458036734,440255201,501482611,501498995,2,1,22065234884,73389,73389,2,2,2,501482611,22,1,3,422605,22678839,2772197,86255,49610,6502261148,2808047,67082141,6842
50058.78,5,262144,64,353126,23268663830,167,585,3097451,11,95871,67,351,132930456,1172,1,66,52323,1534203,2,160987,585,74645521,33418819,6876172068,585,926,2,1,2,2,789,1,6849208732,6805298981,541619807,528480779,528497163,2,1,23253154276,73389,73389,2,2,2,528480779,22,1,3,437159,24508588,2985653,93729,52257,6849208732,3003722,71660209,6842
