timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.26,1,262144,64,30485,2008796756,112,585,414875,10,4914,67,9940,124484256,1172,1,66,4924,488858,2,24238,585,5757210,10636308,639399825,585,548,2,1,2,2,828,1,636658076,590489839,35150630,45295161,45311545,2,1,1992987084,73389,73389,2,2,2,45295161,17,1,3,279021,7618761,1266866,18591,4859,636658076,396284,4490312,11797
10022.25,1,262144,64,38247,2520141708,114,585,526364,10,7140,67,9940,124749708,1172,1,66,6064,735531,2,24238,585,7785729,14942848,789361630,585,548,2,1,2,2,828,1,785949084,740006023,53271428,56930787,56930787,2,1,2504233732,73389,73389,2,2,2,56914403,17,1,3,283918,10333481,1365504,35289,5998,785949084,491075,6420522,11797
15029.30,1,262144,64,45141,2974601412,115,585,616508,10,9075,67,9940,125015160,1172,1,66,7079,1056645,2,24238,585,10464785,19982584,923004466,585,548,2,1,2,2,828,1,918987164,872867641,120188792,67247501,67263885,2,1,2958890044,73389,73389,2,2,2,67247501,17,1,3,290414,13175783,1491348,39486,7013,918987164,577022,8974044,11797
20052.79,1,262144,64,53939,3554372564,116,585,731591,10,11529,67,9940,125280612,1172,1,66,8372,1151529,2,24238,585,12816891,24324398,1093234964,585,548,2,1,2,2,828,1,1088463260,1042402031,167491389,80418905,80435289,2,1,3538431820,73389,73389,2,2,2,80418905,17,1,3,297437,15593573,1622997,48672,8306,1088463260,682919,11194606,11797
25060.43,1,262144,64,64164,4228206558,118,585,858593,10,14427,67,9940,125546064,1172,1,66,9873,1264929,2,24238,585,15999084,28832358,1290828098,585,548,2,1,2,2,828,1,1285202332,1239375099,216920669,95748679,95748679,2,1,4212220980,73389,73389,2,2,2,95732295,17,1,3,316317,17975724,1817288,54118,9807,1285202332,804475,14182259,11797
30065.63,1,262144,64,80918,5332036646,121,585,1032841,10,19161,67,9940,125811516,1172,1,66,12333,1334694,2,24238,585,20463486,33210836,1614595538,585,548,2,1,2,2,828,1,1607639452,1562079554,296963352,120834237,120834237,2,1,5315985532,73389,73389,2,2,2,120817853,17,1,3,338001,19939636,2048220,63043,12267,1607639452,969798,18415987,11797
35070.79,1,262144,64,134799,8882535726,130,585,1449649,10,34350,67,9940,127368030,1172,1,66,20252,1335331,2,24238,585,31285453,33328105,2656534421,585,548,2,1,2,2,828,1,2645598620,2599915221,332565309,201531670,201531670,2,1,8866672584,73389,73389,2,2,2,201515286,17,1,3,359219,20720565,2273691,71653,20186,2645598620,1377996,29012918,11797
40076.54,1,262144,64,189627,12495386982,139,585,1873735,10,49761,67,9940,128948676,1172,1,66,28304,1335922,2,24238,585,41804881,33430075,3715957611,585,548,2,1,2,2,828,1,3700990364,3655947946,367673828,283627776,283644160,2,1,12479622144,73389,73389,2,2,2,283627776,17,1,3,387914,21520824,2484544,80476,28238,3700990364,1793259,39322072,11797
45083.37,1,262144,64,242898,16005740178,148,585,2276945,10,64818,67,9940,130275936,1172,1,66,36130,1337937,2,24238,585,52108140,33562208,4745689597,585,548,2,1,2,2,828,1,4726759836,4682168850,393220432,363418056,363418056,2,1,15989673568,73389,73389,2,2,2,363401672,17,1,3,409569,22345588,2682886,89618,36064,4726759836,2187327,49427388,11797
50089.96,1,262144,64,258404,17027250434,151,585,2454198,10,69213,67,9940,130541388,1172,1,66,38409,1403226,2,24238,585,57168778,38335302,5045649267,585,548,2,1,2,2,828,1,5025472924,4980766803,499260425,386623772,386640156,2,1,17011445968,73389,73389,2,2,2,386623772,17,1,3,419438,24427787,2916489,96879,38343,5025472924,2357319,54254178,11797
