event,value,description
RecomputeWeight,1335,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,4964834,Number of dequeues invoked at all FairPolicyNodes
Query,13421,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,13420,"Same as Query, but only for SELECT queries."
InitialQuery,13421,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,14082,Count queries with all subqueries
SelectQueriesWithSubqueries,14081,Count SELECT queries with all subqueries
QueryTimeMicroseconds,53856304219,Total time of all queries.
SelectQueryTimeMicroseconds,53856291219,Total time of SELECT queries.
OtherQueryTimeMicroseconds,13000,Total time of queries that are not SELECT or INSERT.
FileOpen,702,Number of files opened.
Seek,46058,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,894409,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,3965254467232,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,2,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,121,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
FileSync,1,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,913,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
ReadCompressedBytes,3892908030354,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,194182840,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,12795241188984,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,265609,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,578,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,880321,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,718254,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,143014381283,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,28563,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,117567488,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,64932661,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
MarkCacheHits,265982,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,22,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,885,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,899,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,266213,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,4354448461,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,30,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,27570635,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,7355581,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,4112862,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,79369685,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,4085,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolShrinks,2348,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,25925604,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,3014711,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,86294,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,130484527,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,72286,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,72138,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,210403763,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,5468758111,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,31713684,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,2383636808175,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,1105406534,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,880622,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,112137,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,832,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,123052664592,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,492210658368,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,3573,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,1716988,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,6652426,Total time spent executing query plan optimizations.
SelectedParts,892,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,892,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,892,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,32731494,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,32731494,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,267617574021,Number of rows SELECTed from all tables.
SelectedBytes,12774987171808,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,267616904292,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,267616904292,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,17,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,1755134,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,5081,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,7984360,Time spent loading marks
LoadedMarksFiles,22,Number of mark files loaded.
LoadedMarksCount,807301,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3652160,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,193212,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,173906,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,240,Time spent resetting task for Common executor.
ContextLock,1909363,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,1346557,Context lock wait time in microseconds
RWLockAcquiredReadLocks,14653,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,79,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,1748702,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,6,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,427,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,90860,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,1445,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,61802,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,2489304191095,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,119093849652,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,4399018942,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
MemoryAllocatorPurge,1,Total number of times memory allocator purge was requested
MemoryAllocatorPurgeTimeMicroseconds,3358,Total time spent for memory allocator purge
SoftPageFaults,311651431,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,207572495574,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,123495930227,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSWriteBytes,4096,Number of bytes written to disks or block devices. Doesn't include bytes that are in page cache dirty pages. May not include data that was written by OS asynchronously.
OSReadChars,3980921583268,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,107412,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHitElapsedMicroseconds,202187082,Time spent reading data from page cache in ThreadPoolReader.
ThreadPoolReaderPageCacheMiss,31629664,Number of times the read inside ThreadPoolReader was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissBytes,3962454772677,Number of bytes read inside ThreadPoolReader when read was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissElapsedMicroseconds,3652413379,Time spent reading data inside the asynchronous job in ThreadPoolReader - when read was not done from the page cache.
SynchronousReadWaitMicroseconds,66382325862,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,1844,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,21295,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,1250,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,3291,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,478,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,738,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,1659684,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,3,Number of log messages with level Warning
