event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,0,157636,157636,Total time spent analyzing index of patch parts
ArenaAllocBytes,651264,59109376,58458112,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,19,14291,14272,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,1659684,1659684,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,53,53,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,3,3,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,53,53,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,1751,117085,115334,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,9,199,190,Time spent resetting task for Common executor.
CompileExpressionsBytes,0,16384,16384,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,0,112137,112137,Total time spent for compilation of expressions to LLVM code.
CompileFunction,0,2,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,90,97193303,97193213,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,4224850,6404425421122,6404421196272,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,0,14183,14183,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,0,23833413509,23833413509,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,0,853706,853706,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,0,14183,14183,Total number of CPU slots acquired
ConcurrencyControlUpscales,0,14183,14183,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,0,17456399113,17456399113,Total time a query was waiting on resource requests for CPU slots.
ContextLock,1982,755793,753811,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,2,42823,42821,Context lock wait time in microseconds
CreatedReadBufferOrdinary,187,133517,133330,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,652872,1690527673,1689874801,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,30,30,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,0,4964834,4964834,Number of dequeues invoked at all FairPolicyNodes
FileOpen,245,444,199,Number of files opened.
FileSync,1,1,0,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,913,913,0,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilterTransformPassedBytes,1804310,179051715,177247405,Number of bytes that passed the filter in the query
FilterTransformPassedRows,26463,30237,3774,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,0,1645,1645,Time spent filtering parts by PK.
FunctionExecute,19,32463856,32463837,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,658,1223,565,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,9834646,19087778,9253132,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,714,36760,36046,Counts the number of jobs that have been pushed to the global thread pool.
