event,value,description
RecomputeWeight,3143,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,14908672,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,1874,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,505,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,505,"Same as Query, but only for SELECT queries."
InitialQuery,505,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,1255,Count queries with all subqueries
SelectQueriesWithSubqueries,1255,Count SELECT queries with all subqueries
FailedQuery,1,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,1,"Same as FailedQuery, but only for SELECT queries."
QueryTimeMicroseconds,73960915109,Total time of all queries.
SelectQueryTimeMicroseconds,73960915109,Total time of SELECT queries.
FileOpen,545,Number of files opened.
Seek,50163,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,868491,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,4180366483309,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,4098937549980,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,204248007,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,13458516539794,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,297241,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,417,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,953351,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,599999,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,67881609022,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,31891,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,131198976,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,68529876,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
MarkCacheHits,297473,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,22,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,984,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,1012,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,297684,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,4876147995,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,13,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,2488425830,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,128818,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,548888,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,834103,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1501,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,723343,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,350216,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,14302,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,6076675,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,13208,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,12446,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,7061321,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,739531819,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,33411593,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,622398691250,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,1095024529,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,547284,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,93956,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,976,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,132546879084,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,530186805008,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,4769,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,1150209,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,1721176,Total time spent executing query plan optimizations.
