event,value,description
RecomputeWeight,1213,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,4718254,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,5332,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,6700,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,6700,"Same as Query, but only for SELECT queries."
InitialQuery,6700,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,16693,Count queries with all subqueries
SelectQueriesWithSubqueries,16693,Count SELECT queries with all subqueries
QueryTimeMicroseconds,50548652665,Total time of all queries.
SelectQueryTimeMicroseconds,50548652665,Total time of SELECT queries.
FileOpen,15612,Number of files opened.
Seek,63838,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,599635,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,6197202447532,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,59,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,5912475950388,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,295074942,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,19346110102088,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,4498043,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,15485,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,42022377,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,9094218,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,854230567467,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,414718,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,1698684928,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,100322646,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,4513198,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,77,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,46812,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,46834,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,4513548,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,10592419351,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,11,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,1209776,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,750042,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,6977171,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,7678515,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,24515,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolShrinks,22878,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,321872678,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,218173849,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,417555,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,1282490553,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,410267,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,410219,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,434023974,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,50548471,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,426553,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,2394032600002,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,1634875292,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,1450164,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,141180,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,13216,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,195407180136,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,781628720544,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,29704,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,59096002,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,75435126,Total time spent executing query plan optimizations.
SelectedParts,46823,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,46823,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,46823,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,49284552,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,49284552,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,401246716283,Number of rows SELECTed from all tables.
SelectedBytes,19240406475591,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,401246701828,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,401246701828,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,21,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,10623,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,104317,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,171218995,Time spent loading marks
LoadedMarksFiles,77,Number of mark files loaded.
LoadedMarksCount,81125,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,357896,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,246144,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,17856,Time spent in executeStep() for Common executor tasks.
