event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,823518,1450164,626646,Total time spent analyzing index of patch parts
ArenaAllocBytes,1354072064,1698684928,344612864,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,330584,414718,84134,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,147,147,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,16539,17856,1317,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,121,129,8,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,141180,141180,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,235249459,295074942,59825483,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,15423750468820,19346110102088,3922359633268,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,83414,83414,0,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,38808988210,38808988210,0,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,397824,397824,0,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,83414,83414,0,Total number of CPU slots acquired
ConcurrencyControlUpscales,83414,83414,0,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,13532386650,13532386650,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,1650199,2065120,414921,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,6322063,7796479,1474416,Context lock wait time in microseconds
CreatedReadBufferOrdinary,3639711,4513548,873837,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,8011347936,10592419351,2581071415,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,11,11,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,4718254,4718254,0,Number of dequeues invoked at all FairPolicyNodes
FileOpen,12748,15612,2864,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,84394,104317,19923,Time spent filtering parts by PK.
FunctionExecute,79956448,100322646,20366198,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,18112,24515,6403,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,928917299,1282490484,353573185,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,315519,417550,102031,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,198374600,218173849,19799249,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolShrinks,16475,22878,6403,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,245258405,321872678,76614273,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,506,648,142,Number of created server HTTP connections
HTTPServerConnectionsExpired,327,423,96,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,5332,6689,1357,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,8,9,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,5013,6275,1262,Number of reused server HTTP connections
IOBufferAllocBytes,687753792475,854224275633,166470483158,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,7332906,9094212,1761306,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,5341,6699,1358,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,5591000,6976921,1385921,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,6118441,7661785,1543344,Number of bytes sent through HTTP interfaces
JoinBuildTableRowCount,10528,13216,2688,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,46254438,59096002,12841564,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,155663346888,195407180136,39743833248,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,23561,29704,6143,Total time spent executing JOIN reordering algorithm.
JoinResultRowCount,622653387552,781628720544,158975332992,Total number of rows in the result of a JOIN operation.
LoadedDataParts,21,21,0,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,10623,10623,0,Microseconds spent by MergeTree tables for loading data parts during initialization.
LoadedMarksCount,81125,81125,0,Number of marks loaded (total across columns).
LoadedMarksFiles,77,77,0,Number of mark files loaded.
LoadedMarksMemoryBytes,357896,357896,0,Size of in-memory representations of loaded marks.
LocalThreadPoolBusyMicroseconds,1836884600906,2394032599795,557147998889,Total time threads have spent executing the actual work.
LocalThreadPoolExpansions,309590,410263,100673,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolJobWaitTimeMicroseconds,1237623173,1634875162,397251989,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolJobs,323426,426549,103123,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolLockWaitMicroseconds,34335159,50548471,16213312,Total time threads have spent waiting for locks in the local thread pools.
