event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,45272,95061,49789,Total time spent analyzing index of patch parts
ArenaAllocBytes,220983296,485347328,264364032,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,53833,118375,64542,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,193,193,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,168,168,0,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,1060660,1061880,1220,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,430,451,21,Time spent resetting task for Common executor.
CompileExpressionsBytes,24576,24576,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,33385,33385,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,3,3,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,38357089,84189642,45832553,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,2519505151706,5524438184528,3004933032822,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,53083,53083,0,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,1035,1035,0,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,1035,1035,0,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ContextLock,278454,596128,317674,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,83762,144913,61151,Context lock wait time in microseconds
CreatedReadBufferOrdinary,561886,1231927,670041,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,522325410,1355109829,832784419,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,3781537,3781537,0,Total time spent waiting for write syscall. This include writes to page cache.
ExternalProcessingFilesTotal,10,10,0,Number of files used by external processing (sorting/aggragating/joining)
FileOpen,16527,21810,5283,Number of files opened.
FileSync,25,25,0,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,6115,6115,0,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilterTransformPassedBytes,1258657,1258657,0,Number of bytes that passed the filter in the query
FilterTransformPassedRows,20582,20582,0,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,10377,27081,16704,Time spent filtering parts by PK.
FunctionExecute,12917777,28473386,15555609,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GatheredColumns,140,140,0,Number of columns gathered during the vertical stage of merges.
GatheringColumnMilliseconds,534,534,0,Total time spent while gathering columns for vertical merge
GlobalThreadPoolExpansions,1294,1961,667,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,48948566,167459422,118510856,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,67309,146634,79325,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,2213993,7532824,5318831,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolShrinks,0,324,324,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
