event,value,description
RecomputeWeight,604,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,1634330,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,2082,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,2980,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,2960,"Same as Query, but only for SELECT queries."
InsertQuery,8,"Same as Query, but only for INSERT queries."
InitialQuery,2980,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,7359,Count queries with all subqueries
SelectQueriesWithSubqueries,7347,Count SELECT queries with all subqueries
QueryTimeMicroseconds,9366285563,Total time of all queries.
SelectQueryTimeMicroseconds,9337571643,Total time of SELECT queries.
InsertQueryTimeMicroseconds,28701032,Total time of INSERT queries.
OtherQueryTimeMicroseconds,12888,Total time of queries that are not SELECT or INSERT.
FileOpen,26197,Number of files opened.
Seek,53262,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,468950,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,2732817609825,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,13989,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,10656940439,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
FileSync,25,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,6115,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
ReadCompressedBytes,2607649544433,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,130121411,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,8535882077132,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,1957103,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,21770,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,4397709,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,4002882,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,379047096487,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,182917,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,749711360,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,44028995,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
MarkCacheHits,1977115,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,77,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,20640,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,20660,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,1978873,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1657402963,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,3781537,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,17136647,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,404906,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,9340773083,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,5210838,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1961,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolShrinks,324,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,7326705,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,7832358,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,195135,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,174978198,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,191579,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,191531,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,22655130,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,11477061,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,193867,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,406853507107,Total time threads have spent executing the actual work.
