event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,95061,96811,1750,Total time spent analyzing index of patch parts
ArenaAllocBytes,485347328,749711360,264364032,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,118375,182917,64542,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,193,193,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,168,168,0,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,1061880,1062966,1086,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,451,454,3,Time spent resetting task for Common executor.
CompileExpressionsBytes,24576,24576,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,33385,33385,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,3,3,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,84189642,130121411,45931769,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,5524438184528,8535882077132,3011443892604,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,0,33977,33977,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,0,8842073239,8842073239,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,0,87139,87139,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,53083,87060,33977,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,1035,1035,0,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,1035,1035,0,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlUpscales,0,33977,33977,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,0,3692575077,3692575077,Total time a query was waiting on resource requests for CPU slots.
ContextLock,596179,921133,324954,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,144913,146601,1688,Context lock wait time in microseconds
CreatedReadBufferOrdinary,1231927,1978873,746946,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1355113353,1657402963,302289610,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,3781537,3781537,0,Total time spent waiting for write syscall. This include writes to page cache.
ExternalProcessingFilesTotal,10,10,0,Number of files used by external processing (sorting/aggragating/joining)
FairPolicyDequeue,0,1634330,1634330,Number of dequeues invoked at all FairPolicyNodes
FileOpen,21810,26197,4387,Number of files opened.
FileSync,25,25,0,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,6115,6115,0,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilterTransformPassedBytes,1258657,1258657,0,Number of bytes that passed the filter in the query
FilterTransformPassedRows,20582,20582,0,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,27081,42411,15330,Time spent filtering parts by PK.
FunctionExecute,28473386,44028995,15555609,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GatheredColumns,140,140,0,Number of columns gathered during the vertical stage of merges.
GatheringColumnMilliseconds,534,534,0,Total time spent while gathering columns for vertical merge
GlobalThreadPoolExpansions,1961,1961,0,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
