event,value,description
Query,1938,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,1918,"Same as Query, but only for SELECT queries."
InsertQuery,8,"Same as Query, but only for INSERT queries."
InitialQuery,1938,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,4769,Count queries with all subqueries
SelectQueriesWithSubqueries,4757,Count SELECT queries with all subqueries
QueryTimeMicroseconds,5577211193,Total time of all queries.
SelectQueryTimeMicroseconds,5548497273,Total time of SELECT queries.
InsertQueryTimeMicroseconds,28701032,Total time of INSERT queries.
OtherQueryTimeMicroseconds,12888,Total time of queries that are not SELECT or INSERT.
FileOpen,21810,Number of files opened.
Seek,41244,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,367625,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,1753084405276,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,13989,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,10656940439,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
FileSync,25,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,6115,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
ReadCompressedBytes,1686488497414,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,84189642,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,5524438184528,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,1214534,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,17393,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,4063302,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,2498552,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,238885275328,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,118375,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,485347328,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,28473386,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
MarkCacheHits,1230169,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,77,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,13353,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,13373,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,1231927,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1355113353,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,3781537,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,17125468,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,276635,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,9339655967,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,4022239,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1961,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolShrinks,324,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,7326705,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,7532824,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,146639,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,167459532,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,144125,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,144077,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,21977718,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,10875057,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,145312,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,340245294749,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,188486237,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,95061,Total time spent analyzing index of patch parts
InsertedRows,86586082,Number of rows INSERTed to all tables.
InsertedBytes,12048433387,Number of bytes (uncompressed; for columns as they stored in memory) INSERTed to all tables.
CompileFunction,3,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,33385,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,24576,Number of bytes used for expressions compilation.
ExternalProcessingFilesTotal,10,Number of files used by external processing (sorting/aggragating/joining)
JoinBuildTableRowCount,3692,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,54588628107,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,218354512428,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,6406,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,3434573,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,5553569,Total time spent executing query plan optimizations.
