event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,0,19193,19193,Total time spent analyzing index of patch parts
ArenaAllocBytes,0,73138176,73138176,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,0,17856,17856,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,193,193,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,168,168,0,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,12052,16409,4357,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,269,328,59,Time spent resetting task for Common executor.
CompileExpressionsBytes,8192,24576,16384,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,5382,33385,28003,Total time spent for compilation of expressions to LLVM code.
CompileFunction,1,3,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,189690,12846143,12656453,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,17130900280,846924628106,829793727826,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,134,17702,17568,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,161,450,289,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,161,450,289,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ContextLock,11276,98755,87479,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,1,71761,71760,Context lock wait time in microseconds
CreatedReadBufferOrdinary,1604,187324,185720,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,3007515,207234767,204227252,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,3781504,3781504,0,Total time spent waiting for write syscall. This include writes to page cache.
ExternalProcessingFilesTotal,10,10,0,Number of files used by external processing (sorting/aggragating/joining)
FileOpen,5857,9208,3351,Number of files opened.
FileSync,21,21,0,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,5121,5121,0,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilteringMarksWithPrimaryKeyMicroseconds,0,3644,3644,Time spent filtering parts by PK.
FunctionExecute,1126,4278623,4277497,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GatheredColumns,140,140,0,Number of columns gathered during the vertical stage of merges.
GatheringColumnMilliseconds,534,534,0,Total time spent while gathering columns for vertical merge
GlobalThreadPoolExpansions,660,1273,613,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,1020927,18679634,17658707,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,797,22846,22049,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,519,830099,829580,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,30253,1642956,1612703,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,1,27,26,Number of created server HTTP connections
HTTPServerConnectionsExpired,0,21,21,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,0,288,288,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,0,1,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,0,268,268,Number of reused server HTTP connections
IOBufferAllocBytes,4437383710,39826858121,35389474411,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,18720,393056,374336,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,17,306,289,"Same as Query, but only counts initial queries (see is_initial_query)."
InsertQuery,8,8,0,"Same as Query, but only for INSERT queries."
InsertQueryTimeMicroseconds,28701032,28701032,0,Total time of INSERT queries.
InsertedBytes,12048433387,12048433387,0,Number of bytes (uncompressed; for columns as they stored in memory) INSERTed to all tables.
InsertedCompactParts,2,2,0,Number of parts inserted in Compact format.
InsertedRows,86586082,86586082,0,Number of rows INSERTed to all tables.
InsertedWideParts,84,84,0,Number of parts inserted in Wide format.
InterfaceHTTPReceiveBytes,250,291968,291718,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,0,338640,338640,Number of bytes sent through HTTP interfaces
InterfaceNativeReceiveBytes,9337713061,9337713061,0,Number of bytes received through native interfaces
InterfaceNativeSendBytes,1582031,1582031,0,Number of bytes sent through native interfaces
JoinBuildTableRowCount,0,548,548,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,0,427480,427480,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,0,8102537433,8102537433,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,0,873,873,Total time spent executing JOIN reordering algorithm.
JoinResultRowCount,0,32410149732,32410149732,Total number of rows in the result of a JOIN operation.
LoadedDataPartsMicroseconds,961,961,0,Microseconds spent by MergeTree tables for loading data parts during initialization.
LoadedMarksCount,0,81125,81125,Number of marks loaded (total across columns).
LoadedMarksFiles,0,77,77,Number of mark files loaded.
LoadedMarksMemoryBytes,0,357896,357896,Size of in-memory representations of loaded marks.
LocalThreadPoolBusyMicroseconds,512115185,46121088157,45608972972,Total time threads have spent executing the actual work.
LocalThreadPoolExpansions,202,21962,21760,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolJobWaitTimeMicroseconds,23434,21258004,21234570,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolJobs,202,22094,21892,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolLockWaitMicroseconds,642,1111511,1110869,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolShrinks,154,21914,21760,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,4829,2945390,2940561,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LogDebug,1,1,0,Number of log messages with level Debug
LogInfo,48,48,0,Number of log messages with level Info
LogWarning,2,2,0,Number of log messages with level Warning
LoggerElapsedNanoseconds,1174824,1174824,0,Cumulative time spend in logging
MainConfigLoads,1,1,0,Number of times the main configuration was reloaded.
MarkCacheHits,0,185566,185566,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,0,77,77,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
MemoryWorkerRun,5735,11766,6031,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,337483,972353,634870,Total time spent by MemoryWorker for background work
Merge,13,13,0,Number of launched background merges.
MergeExecuteMilliseconds,35154,35154,0,Total busy time spent for execution of background merges
MergeHorizontalStageExecuteMilliseconds,8254,8254,0,Total busy time spent for execution of horizontal stage of background merges
MergeHorizontalStageTotalMilliseconds,8265,8265,0,Total time spent for horizontal stage of background merges
MergeMutateBackgroundExecutorTaskExecuteStepMicroseconds,35201502,35201502,0,Time spent in executeStep() for MergeMutate executor tasks.
MergeMutateBackgroundExecutorTaskResetMicroseconds,506,506,0,Time spent resetting task for MergeMutate executor.
