arrival_ms,start_ms,end_ms,latency_ms,wait_ms,qid
54.0090,54.3596,4402.8769,4348.8678,0.3506,np_default_58
1519.0018,1519.5849,2089.0816,570.0798,0.5831,p_default_140
1633.2547,1634.0274,6736.9910,5103.7364,0.7727,np_default_58
2110.0069,2110.4202,2685.3979,575.3910,0.4133,p_default_140
2526.1097,2526.8792,7257.5607,4731.4510,0.7695,np_default_58
2700.0098,2700.1501,3259.3506,559.3409,0.1404,p_default_140
3523.0403,3523.3135,7862.3272,4339.2870,0.2732,np_default_58
3702.0893,3702.4625,4273.0631,570.9738,0.3732,p_default_140
5188.0037,5188.2761,6234.3328,1046.3291,0.2725,p_default_140
5260.2517,5260.9973,6323.9917,1063.7400,0.7457,p_default_140
6577.0006,6577.2571,10011.2826,3434.2820,0.2564,np_default_58
8935.0157,8935.3006,12571.9829,3636.9673,0.2849,np_default_58
10035.0007,10035.1259,13991.4761,3956.4754,0.1252,np_default_58
11596.0182,11596.3666,16317.2656,4721.2474,0.3484,np_default_58
11941.0115,11941.2990,12472.9771,531.9656,0.2876,p_default_140
12793.0007,12793.3379,13323.1420,530.1414,0.3373,p_default_140
13427.0006,13427.4412,18615.1637,5188.1631,0.4406,np_default_58
14891.0007,14891.4102,15453.7102,562.7096,0.4096,p_default_140
15628.0157,15628.3915,16745.4454,1117.4297,0.3758,p_default_140
15860.2822,15860.7562,17496.7839,1636.5017,0.4741,p_default_140
15873.2409,15873.4278,17539.9587,1666.7178,0.1869,p_default_140
17028.1912,17028.4537,17973.1300,944.9388,0.2626,p_default_140
17763.0055,17763.2586,18465.0569,702.0514,0.2531,p_default_140
18232.2576,18232.5504,21848.0857,3615.8281,0.2927,np_default_58
20112.0022,20112.2986,23450.6787,3338.6765,0.2963,np_default_58
21406.0146,21406.4221,25319.3135,3913.2989,0.4075,np_default_58
23855.0088,23855.2747,24709.6221,854.6133,0.2659,p_default_140
24041.1107,24041.5969,24948.3366,907.2259,0.4862,p_default_140
24849.0195,24849.1976,28776.2750,3927.2555,0.1781,np_default_58
26133.0088,26133.2431,26666.0001,532.9914,0.2343,p_default_140
26985.0021,26985.2869,27574.5848,589.5828,0.2848,p_default_140
27001.0309,27001.4264,31216.2627,4215.2318,0.3955,np_default_58
28783.0010,28783.2165,29853.2067,1070.2057,0.2155,p_default_140
28796.0748,28796.4490,29880.6451,1084.5703,0.3741,p_default_140
34808.0022,34808.2150,35305.0834,497.0812,0.2128,p_default_140
35568.0187,35568.4288,39065.8414,3497.8227,0.4101,np_default_58
36586.0006,36586.2514,37108.1511,522.1505,0.2508,p_default_140
39912.0159,39912.3603,44311.9132,4399.8974,0.3444,np_default_58
40697.0008,40697.3773,45109.1269,4412.1262,0.3765,np_default_58
40864.0008,40864.3313,41421.3353,557.3346,0.3305,p_default_140
41340.3548,41340.6692,41955.3310,614.9763,0.3145,p_default_140
41385.0454,41385.4387,45608.4081,4223.3626,0.3932,np_default_58
41995.0007,41995.3476,46025.2366,4030.2359,0.3469,np_default_58
