event,value,description
Query,17,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,1,"Same as Query, but only for SELECT queries."
InsertQuery,8,"Same as Query, but only for INSERT queries."
InitialQuery,17,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,9,Count queries with all subqueries
SelectQueriesWithSubqueries,1,Count SELECT queries with all subqueries
QueryTimeMicroseconds,28712315,Total time of all queries.
InsertQueryTimeMicroseconds,28701032,Total time of INSERT queries.
OtherQueryTimeMicroseconds,11283,Total time of queries that are not SELECT or INSERT.
FileOpen,5857,Number of files opened.
Seek,5735,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,83927,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,6124568365,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,13985,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,10656940216,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
FileSync,21,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,5121,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
ReadCompressedBytes,6050480956,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,189690,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,17130900280,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,130,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1474,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,401,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,18720,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,4437383710,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
FunctionExecute,1126,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
CreatedReadBufferOrdinary,1604,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,3007515,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,3781504,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,3054456,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,12017,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,9337713311,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,1582031,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
