event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,330378,363350,32972,Total time spent analyzing index of patch parts
ArenaAllocBytes,108007424,116748288,8740864,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,26229,28363,2134,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,1498141,1498141,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,55,55,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,4,4,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,55,55,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,96822,98028,1206,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,482707220,488116012,5408792,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,715,856,141,Time spent resetting task for Common executor.
CompileExpressionsBytes,24576,24576,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,81890,81890,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,3,3,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,362790714,395443495,32652781,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,23811386401444,25945877139205,2134490737761,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,9284,9284,0,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,610,729,119,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,610,729,119,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlWaitMicroseconds,7500387658,7500387658,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,1382909,1504879,121970,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,42726,54760,12034,Context lock wait time in microseconds
CreatedReadBufferOrdinary,474475,502003,27528,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,3175005243,3469868564,294863321,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,1375134,1453279,78145,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,10938,10938,0,Number of dequeues invoked at all FairPolicyNodes
FileOpen,283649,286257,2608,Number of files opened.
FilterTransformPassedBytes,1804310,1804310,0,Number of bytes that passed the filter in the query
FilterTransformPassedRows,26463,26463,0,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,4409,4848,439,Time spent filtering parts by PK.
FunctionExecute,122270748,133133858,10863110,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,1636,1636,0,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,61846232,62000337,154105,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,28500,31207,2707,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,1359523,1482055,122532,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,4369975,4369975,0,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,335,371,36,Number of created server HTTP connections
HTTPServerConnectionsExpired,12,13,1,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,829,904,75,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,10,11,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,827,902,75,Number of reused server HTTP connections
HardPageFaults,14,14,0,"The number of hard page faults in query execution threads. High values indicate either that you forgot to turn off swap on your server, or eviction of memory pages of the ClickHouse binary during very high memory pressure, or successful usage of the 'mmap' read method for the tables data."
IOBufferAllocBytes,281514746204,287987406001,6472659797,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,1642421,1701851,59430,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,843,919,76,"Same as Query, but only counts initial queries (see is_initial_query)."
InsertedBytes,76716194,91550649,14834455,Number of bytes (uncompressed; for columns as they stored in memory) INSERTed to all tables.
InsertedCompactParts,610,729,119,Number of parts inserted in Compact format.
InsertedRows,6242,7449,1207,Number of rows INSERTed to all tables.
InterfaceHTTPReceiveBytes,851782,925952,74170,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,1130884,1235037,104153,Number of bytes sent through HTTP interfaces
InterfaceNativeReceiveBytes,1200,1200,0,Number of bytes received through native interfaces
