event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,0,25645,25645,Total time spent analyzing index of patch parts
ArenaAllocBytes,0,28237824,28237824,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,0,6894,6894,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,1498141,1498141,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,55,55,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,4,4,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,55,55,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,44,1312,1268,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,352979,6198297,5845318,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,19,188,169,Time spent resetting task for Common executor.
CompileExpressionsBytes,0,24576,24576,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,0,81890,81890,Total time spent for compilation of expressions to LLVM code.
CompileFunction,0,3,3,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,11044,97530247,97519203,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,11730213,6398707506383,6398695776170,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,0,3683,3683,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,3,128,125,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,3,128,125,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlWaitMicroseconds,0,4375820077,4375820077,Total time a query was waiting on resource requests for CPU slots.
ContextLock,2458,361000,358542,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,11,1312,1301,Context lock wait time in microseconds
CreatedReadBufferOrdinary,776,118600,117824,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1079554,813806199,812726645,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,2007,136010,134003,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,0,4692,4692,Number of dequeues invoked at all FairPolicyNodes
FileOpen,881,3495,2614,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,0,1076,1076,Time spent filtering parts by PK.
FunctionExecute,4617,32639269,32634652,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,698,793,95,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,5280198,5506306,226108,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,772,6152,5380,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,693,21432,20739,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,114259,145410,31151,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,1,84,83,Number of created server HTTP connections
HTTPServerConnectionsExpired,0,2,2,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,0,223,223,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,0,1,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,0,222,222,Number of reused server HTTP connections
HardPageFaults,0,6,6,"The number of hard page faults in query execution threads. High values indicate either that you forgot to turn off swap on your server, or eviction of memory pages of the ClickHouse binary during very high memory pressure, or successful usage of the 'mmap' read method for the tables data."
IOBufferAllocBytes,49299335,25076938421,25027639086,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,1094,242570,241476,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,1,225,224,"Same as Query, but only counts initial queries (see is_initial_query)."
InsertedBytes,380999,16002026,15621027,Number of bytes (uncompressed; for columns as they stored in memory) INSERTed to all tables.
InsertedCompactParts,3,128,125,Number of parts inserted in Compact format.
InsertedRows,31,1302,1271,Number of rows INSERTed to all tables.
InterfaceHTTPReceiveBytes,249,230902,230653,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,0,265031,265031,Number of bytes sent through HTTP interfaces
JoinBuildTableRowCount,0,416,416,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,0,220982,220982,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,0,61526332296,61526332296,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,0,911,911,Total time spent executing JOIN reordering algorithm.
JoinResultRowCount,0,246105329184,246105329184,Total number of rows in the result of a JOIN operation.
LoadedDataParts,21,21,0,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,1702517,1702517,0,Microseconds spent by MergeTree tables for loading data parts during initialization.
LoadedMarksCount,38364,2057163,2018799,Number of marks loaded (total across columns).
LoadedMarksFiles,6,197,191,Number of mark files loaded.
LoadedMarksMemoryBytes,52256,5701336,5649080,Size of in-memory representations of loaded marks.
LocalThreadPoolBusyMicroseconds,6407950,76598933164,76592525214,Total time threads have spent executing the actual work.
LocalThreadPoolExpansions,180,5336,5156,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolJobWaitTimeMicroseconds,16724,234936153,234919429,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolJobs,226,15865304,15865078,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolLockWaitMicroseconds,185,15022861,15022676,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolShrinks,123,5235,5112,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,12337,609884,597547,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LogDebug,1,1,0,Number of log messages with level Debug
LogInfo,49,49,0,Number of log messages with level Info
LogWarning,4,4,0,Number of log messages with level Warning
LoggerElapsedNanoseconds,6811392,6811392,0,Cumulative time spend in logging
MainConfigLoads,1,1,0,Number of times the main configuration was reloaded.
