arrival_ms,start_ms,end_ms,latency_ms,qid
623.8197,623.8288,83865.2922,83241.4634,np_default_87
1681.4912,1681.5025,85792.5995,84111.0969,np_default_87
5717.4580,5717.4692,21033.5547,15316.0855,p_default_330
7280.2834,7280.2947,22845.4441,15565.1495,p_default_330
7738.0902,7738.1011,89741.2711,82003.1700,np_default_87
9058.6555,9058.6683,88837.8381,79779.1698,np_default_87
35882.5725,35882.5823,173303.9879,137421.4055,np_default_87
36319.4883,36319.4997,172716.2411,136396.7414,np_default_87
45227.8804,45227.8887,184825.0948,139597.2061,np_default_87
49901.5903,49901.6000,190712.3552,140810.7553,np_default_87
49975.4914,49975.5002,60713.4119,10737.9117,p_default_330
58416.8644,58416.8734,69641.6879,11224.8145,p_default_330
69913.1569,69913.1681,79777.5840,9864.4159,p_default_330
72035.8234,72035.8338,200814.8853,128779.0514,np_default_87
74050.3572,74050.3694,203549.9317,129499.5623,np_default_87
78814.4998,78814.5094,210894.2194,132079.7100,np_default_87
83521.4307,83521.4394,222363.6051,138842.1657,np_default_87
86776.6674,86776.6765,235452.2931,148675.6166,np_default_87
86794.1119,86794.1157,234401.9159,147607.8002,np_default_87
88688.9999,88689.0088,109855.5320,21166.5232,p_default_330
93438.1733,93438.1853,258230.5324,164792.3471,np_default_87
94342.5696,94342.5822,134462.4206,40119.8384,p_default_330
94496.2873,94496.2980,261344.8574,166848.5594,np_default_87
95084.3653,95084.3766,136894.9401,41810.5635,p_default_330
96778.4624,96778.4749,137031.1703,40252.6954,p_default_330
105049.8961,105049.9098,264089.1570,159039.2472,np_default_87
105881.2416,105881.2546,261628.3390,155747.0845,np_default_87
109570.0836,109570.0935,147539.9589,37969.8654,p_default_330
110271.0899,110271.1000,263884.7152,153613.6152,np_default_87
114551.6546,114551.6647,150485.0172,35933.3525,p_default_330
117162.1861,117162.1958,266776.2479,149614.0521,np_default_87
138276.6675,138276.6794,159516.1300,21239.4506,p_default_330
144479.4893,144479.5012,274810.4852,130330.9840,np_default_87
145602.0685,145602.0776,276489.3713,130887.2936,np_default_87
147380.3303,147380.3427,277237.1410,129856.7983,np_default_87
153890.6247,153890.6346,168249.4132,14358.7785,p_default_330
165466.1279,165466.1374,307435.1099,141968.9725,np_default_87
165708.8626,165708.8723,307332.9943,141624.1221,np_default_87
193752.6005,193752.6108,415511.5386,221758.9278,np_default_87
199459.0214,199459.0323,211663.7277,12204.6954,p_default_330
203618.1787,203618.1884,433890.8959,230272.7076,np_default_87
207192.8840,207192.8947,436653.0451,229460.1504,np_default_87
212260.4104,212260.4185,230018.6675,17758.2490,p_default_330
216454.1730,216454.1835,234268.2866,17814.1031,p_default_330
228266.6151,228266.6258,447857.0397,219590.4139,np_default_87
234592.2384,234592.2476,260353.5138,25761.2662,p_default_330
234925.0098,234925.0184,260277.3916,25352.3732,p_default_330
243473.4902,243473.5006,265210.9516,21737.4511,p_default_330
245224.2869,245224.2991,452034.7854,206810.4863,np_default_87
250099.7627,250099.7735,453480.5165,203380.7429,np_default_87
267222.8644,267222.8740,282117.4168,14894.5428,p_default_330
268829.0189,268829.0312,470021.5998,201192.5686,np_default_87
271514.3210,271514.3336,465057.7006,193543.3670,np_default_87
275598.5232,275598.5360,301788.0615,26189.5254,p_default_330
277310.4675,277310.4803,306341.2266,29030.7464,p_default_330
282386.9073,282386.9186,472281.0905,189894.1719,np_default_87
285344.6709,285344.6803,314833.7288,29489.0484,p_default_330
291062.9525,291062.9645,474363.9017,183300.9372,np_default_87
294477.8098,294477.8197,322107.0566,27629.2369,p_default_330
299812.5850,299812.5951,323468.3746,23655.7795,p_default_330
310259.1092,310259.1194,478358.9635,168099.8441,np_default_87
314647.9658,314647.9758,480495.7246,165847.7488,np_default_87
320533.6244,320533.6352,481913.0454,161379.4102,np_default_87
325744.8345,325744.8444,346323.9244,20579.0800,p_default_330
330562.2197,330562.2294,368188.6686,37626.4392,p_default_330
334234.3856,334234.4110,375385.5916,41151.1807,p_default_330
337514.2423,337514.2521,523976.1654,186461.9133,np_default_87
342411.9074,342411.9191,385676.2649,43264.3458,p_default_330
345038.2454,345038.2577,387188.8266,42150.5689,p_default_330
345843.4142,345843.4266,522844.8953,177001.4687,np_default_87
349543.3528,349543.3644,390734.5869,41191.2224,p_default_330
355428.7514,355428.7603,397236.1605,41807.4002,p_default_330
359222.5719,359222.5804,550214.1639,190991.5834,np_default_87
371001.6518,371001.6628,550619.6667,179618.0039,np_default_87
383724.1363,383724.1459,556911.2508,173187.1048,np_default_87
387680.4712,387680.4821,426771.9427,39091.4606,p_default_330
388651.8218,388651.8309,428044.5937,39392.7629,p_default_330
