event,value,description
RecomputeWeight,385,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,10938,Number of dequeues invoked at all FairPolicyNodes
Query,686,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,686,"Same as Query, but only for SELECT queries."
InitialQuery,686,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,1686,Count queries with all subqueries
SelectQueriesWithSubqueries,1686,Count SELECT queries with all subqueries
QueryTimeMicroseconds,51388110183,Total time of all queries.
SelectQueryTimeMicroseconds,51388110183,Total time of SELECT queries.
FileOpen,272092,Number of files opened.
Seek,97631,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,2021074,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,5963252784470,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,208813,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,429735241,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,5891921102519,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,295140617,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,19369354629656,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,310468,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,94504,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,472613,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,1476255,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,260221324677,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,21085,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,86937600,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,99203899,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
MarkCacheHits,312823,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,598,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
