arrival_ms,start_ms,end_ms,latency_ms,qid
1870.8763,1870.8853,59060.0683,57189.1829,np_greedy_87
5043.4882,5043.4980,63046.1414,58002.6435,np_greedy_87
23154.3933,23154.4035,31929.4913,8775.0878,p_greedy_330
23212.4477,23212.4569,96848.7127,73636.2558,np_greedy_87
27176.2807,27176.2906,98183.3053,71007.0147,np_greedy_87
61504.6763,61504.6857,70347.7585,8843.0727,p_greedy_330
77812.5530,77812.5641,86203.0790,8390.5149,p_greedy_330
78933.1576,78933.1670,94938.4129,16005.2459,p_greedy_330
107608.1468,107608.1562,169459.8225,61851.6663,np_greedy_87
108959.9303,108959.9403,171831.7276,62871.7873,np_greedy_87
127697.3309,127697.3406,136333.5377,8636.1971,p_greedy_330
134653.2127,134653.2348,145493.2377,10840.0030,p_greedy_330
135657.4237,135657.4360,198262.0942,62604.6582,np_greedy_87
149691.6109,149691.6201,209783.5437,60091.9236,np_greedy_87
194284.5206,194284.5315,202794.8990,8510.3675,p_greedy_330
216105.9393,216105.9490,271949.0225,55843.0735,np_greedy_87
222149.3807,222149.3896,275124.2478,52974.8582,np_greedy_87
236441.0024,236441.0119,293970.5732,57529.5613,np_greedy_87
250565.9881,250565.9987,306682.7244,56116.7257,np_greedy_87
260334.7370,260334.7471,319714.0667,59379.3197,np_greedy_87
260382.5824,260382.5905,322252.3639,61869.7734,np_greedy_87
279388.9405,279388.9516,288409.6837,9020.7321,p_greedy_330
280302.3292,280302.3397,357774.5909,77472.2512,np_greedy_87
283490.9969,283491.0077,354567.4403,71076.4325,np_greedy_87
315130.3432,315130.3537,392860.1106,77729.7569,np_greedy_87
316683.4128,316683.4226,326005.8554,9322.4328,p_greedy_330
317639.8095,317639.8212,397667.7428,80027.9216,np_greedy_87
323162.4660,323162.4759,335524.1925,12361.7166,p_greedy_330
330813.8699,330813.8811,406269.2993,75455.4182,np_greedy_87
337439.4278,337439.4374,346867.5175,9428.0802,p_greedy_330
351482.3147,351482.3230,423023.0565,71540.7335,np_greedy_87
354683.7029,354683.7113,364253.3393,9569.6280,p_greedy_330
357330.7690,357330.7815,373350.7775,16019.9960,p_greedy_330
378539.1453,378539.1564,387930.2756,9391.1192,p_greedy_330
408120.1077,408120.1165,416705.5158,8585.3993,p_greedy_330
422357.2413,422357.2498,430567.8731,8210.6233,p_greedy_330
429641.8682,429641.8781,438832.7349,9190.8568,p_greedy_330
432844.3426,432844.3522,447710.7222,14866.3700,p_greedy_330
433422.3715,433422.3809,510279.6973,76857.3164,np_greedy_87
436805.7965,436805.8083,508257.2110,71451.4028,np_greedy_87
442137.2562,442137.2669,515972.6452,73835.3782,np_greedy_87
467248.5816,467248.5939,476056.6367,8808.0428,p_greedy_330
467684.2099,467684.2343,484232.3918,16548.1575,p_greedy_330
482763.5255,482763.5351,492435.4738,9671.9387,p_greedy_330
491800.2690,491800.2807,501138.9006,9338.6199,p_greedy_330
496381.6135,496381.6238,559830.4609,63448.8371,np_greedy_87
497123.8237,497123.8336,558536.4610,61412.6274,np_greedy_87
518187.0194,518187.0280,526989.8331,8802.8051,p_greedy_330
562880.3390,562880.3495,570536.5473,7656.1978,p_greedy_330
581253.4112,581253.4204,636749.9956,55496.5752,np_greedy_87
610852.3267,610852.3379,665952.9912,55100.6534,np_greedy_87
621576.0148,621576.0254,680419.8273,58843.8020,np_greedy_87
646237.6768,646237.6865,654980.5525,8742.8660,p_greedy_330
681616.2013,681616.2113,689769.9052,8153.6938,p_greedy_330
684783.9242,684783.9345,746460.0534,61676.1189,np_greedy_87
735701.2755,735701.2859,789982.9557,54281.6698,np_greedy_87
750297.0648,750297.0741,806375.8333,56078.7593,np_greedy_87
806481.0985,806481.1073,865214.9078,58733.8005,np_greedy_87
814543.3363,814543.3467,871865.3390,57321.9923,np_greedy_87
847182.8955,847182.9066,906959.7562,59776.8496,np_greedy_87
848513.1578,848513.1679,857492.8998,8979.7319,p_greedy_330
873180.8144,873180.8224,921607.2903,48426.4680,np_greedy_87
930777.8843,930777.8931,990483.9219,59706.0288,np_greedy_87
943935.5342,943935.5445,1002782.9578,58847.4133,np_greedy_87
961596.6672,961596.6777,1025694.1854,64097.5077,np_greedy_87
964089.0015,964089.0113,972881.2065,8792.1953,p_greedy_330
998643.2432,998643.2535,1007218.1336,8574.8801,p_greedy_330
1007870.9668,1007870.9748,1015946.6924,8075.7176,p_greedy_330
1012546.0963,1012546.1064,1076913.1640,64367.0576,np_greedy_87
1030855.5152,1030855.5240,1039274.3875,8418.8635,p_greedy_330
1037533.6284,1037533.6382,1097571.5989,60037.9607,np_greedy_87
1037644.1952,1037644.2051,1048305.9885,10661.7833,p_greedy_330
1077651.0527,1077651.0617,1135432.6343,57781.5726,np_greedy_87
1113000.3478,1113000.3581,1169115.5894,56115.2313,np_greedy_87
1151177.7414,1151177.7527,1207840.3464,56662.5937,np_greedy_87
