timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1206.18,253952,62,31496,2074019162,112,621,316066,72,9,4999,71,375,130517069,1244,1,0,70,70,48,8,571,621,0,0,0,5074583,58576,605366503,0,549,195,72,2,1,8,8,287,1,658102638,609586803,6094419,46823191,46823191,2,1,2060220404,73389,73389,8,8,8,46823191,4,3,397315,319856,2070749,5032,658102638,316066,3004056,2350
2208.37,253952,62,43237,2847724570,114,621,350942,72,9,8314,71,375,130770455,1244,1,0,70,70,48,8,571,621,0,0,0,7024801,58691,829453846,0,549,195,72,2,1,8,8,287,1,883546478,835794698,9084429,64409639,64426023,2,1,2834024116,73389,73389,8,8,8,64409639,4,3,397563,355490,2111652,6752,883546478,350942,4913453,2350
3218.00,253952,62,55059,3627003846,116,621,384838,72,9,11647,71,375,131301359,1244,1,0,70,70,48,8,571,621,0,0,0,8987303,58749,1058129562,0,549,195,72,2,1,8,8,287,1,1111480686,1063595792,12076024,82108616,82125000,2,1,3612779104,73389,73389,8,8,8,82108616,4,3,397654,390226,2159985,8491,1111480686,384838,6827709,2350
4220.14,253952,62,66792,4399907448,118,621,417958,72,9,14956,71,375,131554745,1244,1,0,70,70,48,8,571,621,0,0,0,10968589,58871,1283920830,0,549,195,72,2,1,8,8,287,1,1337055598,1289474447,15131266,99689031,99689031,2,1,4386317364,73389,73389,8,8,8,99689031,4,3,399377,424102,2193764,10212,1337055598,417958,8775299,2350
5222.86,253952,62,78588,5177229402,120,621,450055,72,9,18283,71,375,131820197,1244,1,0,70,70,48,8,571,621,0,0,0,12927163,58879,1511415038,0,549,195,72,2,1,8,8,287,1,1564465518,1516743085,18129398,117341015,117357399,2,1,5163004660,73389,73389,8,8,8,117341015,4,3,399442,457014,2239236,11947,1564465518,450055,10688489,2350
6225.56,253952,62,90669,5973217050,121,621,482166,72,9,21631,71,375,131820197,1244,1,0,70,70,48,8,571,621,0,0,0,14826697,59027,1744809892,0,549,195,72,2,1,8,8,287,1,1797118318,1749528905,20956830,135435367,135435367,2,1,5959156148,73389,73389,8,8,8,135435367,4,3,399761,489915,2272020,13722,1797118318,482166,12555332,2350
7228.30,253952,62,100984,6652937218,123,621,516571,72,9,24556,71,375,132351101,1244,1,0,70,70,48,8,571,621,0,0,0,17072001,59232,1943758574,0,549,195,72,2,1,8,8,287,1,1995561326,1948154445,37477233,150871637,150888021,2,1,6638352028,73389,73389,8,8,8,150871637,4,3,409155,525192,2338761,15236,1995561326,516571,14734019,2350
8231.41,253952,62,111821,7367132630,125,621,550339,72,9,27622,71,375,132616553,1244,1,0,70,70,48,8,571,621,0,0,0,19131798,59399,2152265723,0,549,195,72,2,1,8,8,287,1,2204359022,2156872444,42225309,167124948,167124948,2,1,7353497712,73389,73389,8,8,8,167124948,4,3,414517,559775,2404730,16829,2204359022,550339,16727954,2350
9234.65,253952,62,123610,8143718314,127,621,583647,72,9,30946,71,375,132882005,1244,1,0,70,70,48,8,571,621,0,0,0,21087437,59492,2378319893,0,549,195,72,2,1,8,8,287,1,2430851438,2383960770,45275025,184770899,184770899,2,1,8129919556,73389,73389,8,8,8,184770899,4,3,414891,593876,2438798,18557,2430851438,583647,18649615,2350
10237.18,253952,62,135368,8918537834,129,621,616731,72,9,34264,71,375,133147457,1244,1,0,70,70,48,8,571,621,0,0,0,23024653,59527,2604373507,0,549,195,72,2,1,8,8,287,1,2657081710,2610424548,48298406,202381923,202381923,2,1,8904804612,73389,73389,8,8,8,202381923,4,3,416231,627759,2486836,20283,2657081710,616731,20538883,2350
11239.74,253952,62,147033,9687262506,131,621,648200,72,9,37555,71,375,133412909,1244,1,0,70,70,48,8,571,621,0,0,0,24964606,59602,2828856559,0,549,195,72,2,1,8,8,287,1,2882001262,2835195587,56818885,219837299,219853683,2,1,9672841156,73389,73389,8,8,8,219837299,4,3,419991,660024,2541587,21999,2882001262,648200,22424166,2350
12241.70,253952,62,158796,10461983722,133,621,679942,72,9,40870,71,375,133678361,1244,1,0,70,70,48,8,571,621,0,0,0,26933123,59738,3054767760,0,549,195,72,2,1,8,8,287,1,3107826975,3061649895,59860166,237456515,237456515,2,1,10447365764,73389,73389,8,8,8,237440131,4,3,420127,692599,2583952,23726,3107826975,679942,24350406,2350
13243.84,253952,62,169854,11190662590,135,621,709943,72,9,43996,71,375,134209265,1244,1,0,70,70,48,8,571,621,0,0,0,28976907,59896,3266680588,0,549,195,72,2,1,8,8,287,1,3320163615,3274673806,65279052,254012930,254029314,2,1,11176568920,73389,73389,8,8,8,254012930,4,3,423870,723427,2640576,25346,3320163615,709943,26337672,2350
14246.89,253952,62,181620,11966271850,137,621,740059,72,9,47314,71,375,134740169,1244,1,0,70,70,48,8,571,621,0,0,0,30945467,60034,3496274174,0,549,195,72,2,1,8,8,287,1,3546787103,3501364327,68293247,271646371,271646371,2,1,11952440324,73389,73389,8,8,8,271646371,4,3,424197,754347,2676220,27075,3546787103,740059,28270675,2350
15249.66,253952,62,193382,12740822610,139,621,770035,72,9,50632,71,375,134740169,1244,1,0,70,70,48,8,571,621,0,0,0,32912659,60172,3721541380,0,549,195,72,2,1,8,8,287,1,3773017375,3727762825,71317202,289237137,289253521,2,1,12726434028,73389,73389,8,8,8,289237137,4,3,424237,785175,2716278,28801,3773017375,770035,30197893,2350
16252.12,253952,62,205223,13521347070,141,621,800329,72,9,53964,71,375,135005621,1244,1,0,70,70,48,8,571,621,0,0,0,34809747,60236,3949298438,0,549,195,72,2,1,8,8,287,1,4001213727,3955981686,74181191,306985266,306985266,2,1,13507351704,73389,73389,8,8,8,306985266,4,3,424308,816260,2761366,30542,4001213727,800329,32049984,2350
17254.68,253952,62,215756,14215354086,142,621,832434,72,9,56897,71,375,135271073,1244,1,0,70,70,48,8,571,621,0,0,0,37034953,60350,4152187380,0,549,195,72,2,1,8,8,287,1,4203851039,4158885755,81502743,322749216,322749216,2,1,14200965504,73389,73389,8,8,8,322749216,4,3,427294,849194,2807459,32088,4203851039,832434,34229219,2350
18257.45,253952,62,226311,14911068346,144,621,862706,72,9,59887,71,375,135801977,1244,1,0,70,70,48,8,571,621,0,0,0,39127949,60621,4355459290,0,549,195,72,2,1,8,8,287,1,4407143711,4362220737,85316789,338568351,338568351,2,1,14897007444,73389,73389,8,8,8,338568351,4,3,427455,880275,2847264,33639,4407143711,862706,36282527,2350
19259.78,253952,62,237586,15653968526,146,621,892552,72,9,63072,71,375,136067429,1244,1,0,70,70,48,8,571,621,0,0,0,41148067,60672,4571824118,0,549,195,72,2,1,8,8,287,1,4624067871,4579419548,97523328,355444254,355444254,2,1,15638560828,73389,73389,8,8,8,355421837,4,3,431250,910899,2897743,35294,4624067871,892552,38252269,2350
20262.50,253952,62,247947,16336703350,147,621,924147,72,9,65953,71,375,136332881,1244,1,0,70,70,48,8,571,621,0,0,0,43306000,60981,4773139563,0,549,195,72,2,1,8,8,287,1,4823690527,4778999213,101598116,370970636,370970636,2,1,16322707984,73389,73389,8,8,8,370970636,4,3,432080,943321,2948210,36817,4823690527,924147,40359857,2350
21264.98,253952,62,258693,17044404082,149,621,954095,72,9,68995,71,375,136332881,1244,1,0,70,70,48,8,571,621,0,0,0,45313248,61088,4977582956,0,549,195,72,2,1,8,8,287,1,5029997855,4985862409,106764675,387048041,387064425,2,1,17030113804,73389,73389,8,8,8,387048041,4,3,434590,974074,2989278,38391,5029997855,954095,42326139,2350
22267.36,253952,62,270456,17819816734,151,621,984545,72,9,72313,71,375,136863785,1244,1,0,70,70,48,8,571,621,0,0,0,47304360,61233,5205470824,0,549,195,72,2,1,8,8,287,1,5256621343,5212501474,109854930,404681482,404681482,2,1,17805985208,73389,73389,8,8,8,404681482,4,3,434714,1005286,3031354,40120,5256621343,984545,44275264,2350
23269.95,253952,62,280983,18513430534,153,621,1015528,72,9,75292,71,375,137129237,1244,1,0,70,70,48,8,571,621,0,0,0,49416007,61555,5408742906,0,549,195,72,2,1,8,8,287,1,5459520799,5415379959,117768279,420420856,420437240,2,1,18498517664,73389,73389,8,8,8,420420856,4,3,439171,1037116,3082430,41668,5459520799,1015528,46335957,2350
24272.41,253952,62,291503,19206585582,154,621,1047583,72,9,78217,71,375,137394689,1244,1,0,70,70,48,8,571,621,0,0,0,51624942,61732,5613073474,0,549,195,72,2,1,8,8,287,1,5662027039,5617975214,122036361,436192998,436192998,2,1,19191771016,73389,73389,8,8,8,436176614,4,3,439866,1070025,3119140,43213,5662027039,1047583,48508307,2350
25274.95,253952,62,301455,19862155734,157,621,1080263,72,9,81094,71,375,137925593,1244,1,0,70,70,48,8,571,621,0,0,0,53736918,61874,5803754698,0,549,195,72,2,1,8,8,287,1,5852857799,5809577149,126001999,451096788,451096788,2,1,19848258672,73389,73389,8,8,8,451096788,4,3,442419,1103534,3177827,44673,5852857799,1080263,50561714,2350
26278.18,253952,62,311769,20541544914,159,621,1112229,72,9,84016,71,375,137925593,1244,1,0,70,70,48,8,571,621,0,0,0,55873449,62292,6001790505,0,549,195,72,2,1,8,8,287,1,6051169735,6008236241,133137076,466535217,466535217,2,1,20526828652,73389,73389,8,8,8,466518833,4,3,445491,1136338,3227210,46186,6051169735,1112229,52648977,2350
27281.05,253952,62,322048,21218479802,161,621,1144820,72,9,86929,71,375,138456497,1244,1,0,70,70,48,8,571,621,0,0,0,58025605,62428,6198887316,0,549,195,72,2,1,8,8,287,1,6248544016,6206094881,137166413,481922335,481922335,2,1,21204582740,73389,73389,8,8,8,481922335,4,3,448901,1169808,3265870,47697,6248544016,1144820,54762594,2350
28284.04,253952,62,332541,21910130830,163,621,1179292,72,9,89902,71,375,138987401,1244,1,0,70,70,48,8,571,621,0,0,0,60101705,62607,6400193155,0,549,195,72,2,1,8,8,287,1,6450394896,6408279762,142809224,497626782,497643166,2,1,21895578408,73389,73389,8,8,8,497626782,4,3,452493,1205127,3321637,49237,6450394896,1179292,56783037,2350
29287.09,253952,62,343835,22654276194,164,621,1216631,72,9,93037,71,375,138987401,1244,1,0,70,70,48,8,571,621,0,0,0,62190766,62841,6616696800,0,549,195,72,2,1,8,8,287,1,6667843344,6625773238,146579529,514543645,514560029,2,1,22639920380,73389,73389,8,8,8,514543645,4,3,453563,1243306,3375155,50896,6667843344,1216631,58818683,2350
30289.66,253952,62,354859,23380202550,167,621,1251545,72,9,96205,71,375,139518305,1244,1,0,70,70,48,8,571,621,0,0,0,64154918,63271,6828015637,0,549,195,72,2,1,8,8,287,1,6878938082,6837994823,150697922,531050908,531050908,2,1,23366239952,73389,73389,8,8,8,531050908,4,3,454025,1279046,3414377,52511,6878938082,1251545,60743707,2350
31292.03,253952,62,366616,24154691082,169,621,1289243,72,9,99523,71,375,139783757,1244,1,0,70,70,48,8,571,621,0,0,0,66158543,63450,7053938545,0,549,195,72,2,1,8,8,287,1,7105037282,7064406274,153812870,548639515,548655899,2,1,24140138660,73389,73389,8,8,8,548639515,4,3,454165,1317551,3456852,54236,7105037282,1289243,62704943,2350
32294.11,253952,62,378186,24917189834,171,621,1322892,72,9,102823,71,375,140302595,1244,1,0,70,70,48,8,571,621,0,0,0,68117267,63580,7275065650,0,549,195,72,2,1,8,8,287,1,7327652417,7287314866,160134477,565980203,565980203,2,1,24902408036,73389,73389,8,8,8,565963819,4,3,457983,1351969,3503640,55935,7327652417,1322892,64616962,2350
33296.74,253952,62,389952,25692533642,173,621,1353081,72,9,106141,71,375,140568047,1244,1,0,70,70,48,8,571,621,0,0,0,70054611,63693,7502693952,0,549,195,72,2,1,8,8,287,1,7554013761,7513893325,163090901,583591227,583607611,2,1,25678013988,73389,73389,8,8,8,583591227,4,3,458158,1382932,3550390,57662,7554013761,1353081,66507657,2350
34299.17,253952,62,400935,26415466446,178,621,1381306,72,9,109394,71,375,141098951,1244,1,0,70,70,48,8,571,621,0,0,0,71966748,63820,7713200288,0,549,195,72,2,1,8,8,287,1,7763456807,7725180361,166080009,600037902,600037902,2,1,26401667688,73389,73389,8,8,8,600037902,4,3,459381,1411865,3585885,59276,7763456807,1381306,68384384,2350
34318.58,253952,62,400935,26415466446,178,621,1381306,72,9,109410,78,375,148439424,1251,1,1036,77,77,48,70,586,621,183,1036,58,72653260,65563,7766939268,8,549,195,72,2,1,8,8,287,1,7763456807,7725180361,2148660408,600037902,600037902,2,1,26401667688,73389,73389,8,8,8,600037902,4,3,510682,1411865,3828522,59276,7763456807,1381306,68828317,2350
