arrival_ms,start_ms,end_ms,latency_ms,qid
1347.0158,1347.0279,144114.4677,142767.4397,np_greedy_300
3629.1705,3629.1772,287745.1626,284115.9854,np_greedy_300
8704.2567,8704.2648,216855.3155,208151.0507,p_greedy_1200
16707.5982,16707.6056,286804.3935,270096.7879,np_greedy_300
19551.5131,19551.5193,286262.5722,266711.0528,np_greedy_300
29273.4255,29273.4687,216871.1158,187597.6471,p_greedy_1200
49591.7236,49591.7309,216924.9654,167333.2345,p_greedy_1200
63648.1452,63648.1526,216763.6466,153115.4939,p_greedy_1200
63717.4720,144137.6947,270843.4544,126705.7597,p_greedy_1200
77418.5026,217477.2138,419231.8952,201754.6814,np_greedy_300
78388.5337,288507.1847,464179.0776,175671.8929,np_greedy_300
92381.8950,272518.3880,320257.2905,47738.9025,p_greedy_1200
96962.0321,217052.2592,315494.5487,98442.2895,p_greedy_1200
97596.0428,217636.7815,415420.4713,197783.6898,np_greedy_300
107690.2061,217728.2514,417031.5288,199303.2774,np_greedy_300
