event,start_value,end_value,diff,description
AggregationHashTablesInitializedAsTwoLevel,1178,1178,0,How many hash tables were inited as two-level for aggregation.
AggregationPreallocatedElementsInHashTables,233943422,233943422,0,How many elements were preallocated in hash tables for aggregation.
AnalyzePatchRangesMicroseconds,1409,90385,88976,Total time spent analyzing index of patch parts
ArenaAllocBytes,91123437568,91132071936,8634368,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,33194,35302,2108,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,160,160,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,54,2,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,4,2,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,54,2,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,14190,14719,529,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,134,134,0,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,57343,57343,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,12366732,27741943,15375211,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,823562236250,1836559833140,1012997596890,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,3234,3234,0,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,979565535,979565535,0,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptionResumes,19945,19945,0,Total number of CPU preemption resumed
ConcurrencyControlPreemptions,19945,19945,0,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,3234,3234,0,Total number of CPU slots acquired
ConcurrencyControlUpscales,3234,3234,0,Total number of CPU upscaling events
