timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5016.68,8192,2,20475,1348751352,2,6,54,27,260331,4,5476,5,1,7455504,56,1,4,3030,49264,2,6063,27,2792363,2125192,397982699,27,22,2,1,2,2,579,1,396403100,394413500,5533892,30631098,30647482,2,1,1347768312,73389,73389,2,2,2,30631098,8,3,13164,2178467,259642,11166,3026,396403100,249165,2532107,214
10021.74,8192,2,63916,4211362396,2,6,54,27,613866,4,17323,5,1,7455504,56,1,4,9414,56087,2,6063,27,7107425,2232448,1237877018,27,22,2,1,2,2,579,1,1233166748,1231210038,10965377,95703845,95703845,2,1,4210248284,73389,73389,2,2,2,95687461,8,3,14215,2908056,345020,18063,9410,1233166748,595803,6761479,214
15026.51,8192,2,107667,7094289600,2,6,54,27,968839,4,29257,5,1,7455504,56,1,4,15843,56242,2,6063,27,11518911,2232541,2083690822,27,22,2,1,2,2,579,1,2075828636,2073967806,16403491,161218960,161235344,2,1,7093634240,73389,73389,2,2,2,161218960,8,3,14215,3557576,421967,24698,15839,2075828636,944141,11095954,214
20035.64,8192,2,129432,8528378748,2,6,54,27,1215039,4,35191,5,1,7455504,56,1,4,19042,128120,2,6063,27,28577819,5137246,2504638953,27,22,2,1,2,2,579,1,2495127964,2493181877,39943169,193817853,193817853,2,1,8527985532,73389,73389,2,2,2,193817853,8,3,17325,5740631,627379,33649,19038,2495127964,1181390,27949222,214
25048.65,8192,2,142133,9365264168,2,6,54,27,1375797,4,38656,5,1,7455504,56,1,4,20908,218299,2,6063,27,32801033,8953108,2750236932,27,22,2,1,2,2,579,1,2739708316,2737793255,50185867,212827550,212843934,2,1,9364412200,73389,73389,2,2,2,212827550,8,3,20629,8191680,749029,40601,20904,2739708316,1335196,32049797,214
30053.89,8192,2,171373,11292010096,2,6,54,27,1649837,4,46576,5,1,7455504,56,1,4,25203,285340,2,6063,27,40366842,11354420,3315379685,27,22,2,1,2,2,579,1,3302662556,3300939782,62112119,256611509,256633926,2,1,11290906396,73389,73389,2,2,2,256611509,8,3,25511,10076752,905217,48958,25199,3302662556,1600879,39459215,214
35058.99,8192,2,220792,14548410370,2,6,55,27,2036805,4,60163,5,1,7720956,56,1,4,32465,286150,2,6063,27,48578964,11354738,4270901340,27,22,2,1,2,2,579,1,4254507420,4252996352,71844339,330620840,330637224,2,1,14547316960,73389,73389,2,2,2,330620840,8,3,27982,10847271,1002183,58022,32462,4254507420,1978783,47574454,214
40072.78,8192,2,247244,16291512848,2,6,55,27,2299237,4,67376,5,1,7720956,56,1,4,36353,329476,2,6063,27,54501340,13487766,4782476097,27,22,2,1,2,2,579,1,4764115356,4762480510,81203775,370241548,370257932,2,1,16290628112,73389,73389,2,2,2,370241548,8,3,28306,12734936,1126954,65898,36349,4764115356,2233339,53372602,214
45078.32,8192,2,271117,17864548240,2,6,55,27,2534962,4,73838,5,1,7720956,56,1,4,39860,416395,2,6063,27,61519084,16196168,5243965268,27,22,2,1,2,2,579,1,5223784860,5222336719,93226405,405987884,406004268,2,1,17863466896,73389,73389,2,2,2,405987884,8,3,37264,14736200,1276189,73935,39856,5223784860,2461027,60240903,214
50084.11,8192,2,317105,20894875832,2,6,55,27,2902407,4,86415,5,1,7720956,56,1,4,46621,417434,2,6063,27,69740705,16196563,6133508944,27,22,2,1,2,2,579,1,6109962652,6108187219,102758628,474863434,474879818,2,1,20893991096,73389,73389,2,2,2,474863434,8,3,44353,15465141,1380483,82777,46617,6109962652,2819630,68357545,214
55089.71,8192,2,362442,23882274036,2,6,55,27,3274570,4,98740,5,1,7720956,56,1,4,53281,418679,2,6063,27,79719171,16196990,7009646396,27,22,2,1,2,2,579,1,6982771100,6981464544,114208752,542766295,542766295,2,1,23881716980,73389,73389,2,2,2,542766295,8,3,54385,16208748,1482936,92075,53277,6982771100,3182495,78233018,214
60102.75,8192,2,385976,25433092724,2,6,55,27,3502117,4,105214,5,1,7720956,56,1,4,56738,496528,2,6063,27,85259936,18859282,7464818438,27,22,2,1,2,2,579,1,7436149148,7434752364,124128635,578004727,578021111,2,1,25432207988,73389,73389,2,2,2,578004727,8,3,56885,18285106,1585934,99452,56735,7436149148,3402665,83670967,214
