timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5030.04,1,8192,2,7883,519009356,2,6,54,27,118338,21,2041,5,7455504,56,1,4,1178,201900,2,16081,27,2538746,6012983,154460405,27,62,2,1,2,2,608,1,153788828,151836600,9930388,11785241,11785241,2,1,518550604,73389,73389,2,2,2,11785241,9,3,3040,3507079,81684,5301,1175,153788828,113037,2457096,385
10052.36,1,8192,2,15935,1049625200,2,6,54,27,229047,21,4237,5,7455504,56,1,4,2359,349050,2,16081,27,5114782,11023657,309790841,27,62,2,1,2,2,608,1,308453788,306952772,19650034,23844692,23844692,2,1,1048445552,73389,73389,2,2,2,23828308,9,3,4505,6421470,175522,11494,2355,308453788,217553,4939690,385
15087.07,1,8192,2,24433,1609735552,2,6,54,27,346743,21,6542,5,7455504,56,1,4,3610,464528,2,16081,27,8190523,15762064,474466124,27,62,2,1,2,2,608,1,472424860,470675154,30118437,36565536,36581920,2,1,1608883584,73389,73389,2,2,2,36565536,9,3,7027,9110261,279682,19018,3606,472424860,327725,7910374,385
20091.50,1,8192,2,39928,2630524912,2,6,54,27,527581,21,10783,5,7455504,56,1,4,5887,569557,2,16081,27,12435646,19799385,774103145,27,62,2,1,2,2,608,1,770875804,769109539,40182635,59771252,59787636,2,1,2629935088,73389,73389,2,2,2,59771252,9,3,10755,11627859,405538,34571,5883,770875804,493010,12029509,385
25095.92,1,8192,2,84588,5573555244,2,6,54,27,908666,21,22963,5,7455504,56,1,4,12449,570140,2,16081,27,20288874,19799626,1637379265,27,62,2,1,2,2,608,1,1630970268,1629394481,49629450,126658305,126674689,2,1,5572965420,73389,73389,2,2,2,126658305,9,3,15701,12335113,504238,42113,12445,1630970268,866553,19783214,385
30100.01,1,8192,2,124924,8231349748,2,6,54,27,1248435,21,33964,5,7455504,56,1,4,18381,570542,2,16081,27,27105215,19799944,2417771673,27,62,2,1,2,2,608,1,2408489372,2406401854,58072924,187064215,187080599,2,1,8230825460,73389,73389,2,2,2,187064215,9,3,18348,12975448,591131,48851,18377,2408489372,1199584,26511962,385
35113.45,1,8192,2,150795,9936122424,2,6,54,27,1509048,21,41019,5,7455504,56,1,4,22179,603581,2,16081,27,30333521,21184610,2917478368,27,62,2,1,2,2,608,1,2906300828,2904662631,63398452,225810538,225810538,2,1,9935663672,73389,73389,2,2,2,225810538,9,3,18348,14574791,694947,57284,22175,2906300828,1451764,29637146,385
40118.29,1,8192,2,173444,11428410848,2,6,54,27,1741456,21,47141,5,7455504,56,1,4,25509,669264,2,16081,27,42549259,24340165,3355630397,27,62,2,1,2,2,608,1,3342770588,3340917262,82273914,259709800,259726184,2,1,11427231200,73389,73389,2,2,2,259709800,9,3,28661,16595600,868555,65738,25505,3342770588,1675718,41680168,385
45122.77,1,8192,2,219499,14463394804,2,6,55,27,2128555,21,59778,5,7720956,56,1,4,32274,669981,2,16081,27,51416261,24340475,4245621733,27,62,2,1,2,2,608,1,4229472668,4228092112,92545872,328697879,328714263,2,1,14462706676,73389,73389,2,2,2,328697879,9,3,32483,17337164,962604,74443,32270,4229472668,2054112,50452730,385
50135.86,1,8192,2,258250,17016783844,2,6,55,27,2497789,21,70378,5,7720956,56,1,4,37970,693531,2,16081,27,58081075,25592216,4995072134,27,62,2,1,2,2,608,1,4976058780,4974526537,101843567,386732427,386732427,2,1,17015505892,73389,73389,2,2,2,386716043,9,3,32511,18951148,1079254,84117,37966,4976058780,2413672,57000815,385
55139.70,1,8192,2,277306,18272539612,2,6,55,27,2716676,21,75577,5,7720956,56,1,4,40770,773785,2,16081,27,63472049,28811675,5363513080,27,62,2,1,2,2,608,1,5343060380,5341612577,112390213,415266373,415282757,2,1,18271720412,73389,73389,2,2,2,415266373,9,3,35662,21232188,1247027,95868,40766,5343060380,2620808,62223635,385
60143.30,1,8192,2,328353,21636006540,2,6,55,27,3147702,21,89443,5,7720956,56,1,4,48272,774272,2,16081,27,73350735,28893932,6350482666,27,62,2,1,2,2,608,1,6326362524,6324875111,124056427,491714761,491714761,2,1,21635449484,73389,73389,2,2,2,491714761,9,3,46546,22044776,1389459,104953,48268,6326362524,3042749,71960209,385
65147.01,1,8192,2,392541,25865725632,2,6,55,27,3695904,21,106949,5,7720956,56,1,4,57706,774660,2,16081,27,82169057,28894283,7591662151,27,62,2,1,2,2,608,1,7562895772,7561277883,134701667,587840272,587856656,2,1,25864971968,73389,73389,2,2,2,587840272,9,3,48243,23055452,1520881,116100,57702,7562895772,3579804,80647556,385
