timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5017.81,1,8192,2,21374,1407939701,2,5,54,27,241062,5,5722,5,7455504,56,1,4,3160,85148,2,1985,27,4066296,2690491,415064041,27,92,2,1,2,2,734,1,413442460,411673362,7937027,31980619,31997003,2,1,1407147236,73389,73389,2,2,2,31980619,10,3,15175,2188621,230662,8839,3156,413442460,232223,3835838,317
10029.74,1,8192,2,46016,3031897148,2,5,54,27,496578,5,12442,5,7455504,56,1,4,6782,125188,2,1985,27,6905764,4528757,891643315,27,92,2,1,2,2,734,1,888185244,886453354,13268100,68885901,68902285,2,1,3030979644,73389,73389,2,2,2,68885901,10,3,16047,4168539,362635,17715,6778,888185244,478863,6543023,317
15033.22,1,8192,2,75335,4963699760,2,5,54,27,777413,5,20437,5,7455504,56,1,4,11091,164363,2,1985,27,16448026,6963039,1458586984,27,92,2,1,2,2,734,1,1452974492,1451150892,27623452,112800932,112800932,2,1,4962520112,73389,73389,2,2,2,112784548,10,3,21490,5811240,513780,25718,11087,1452974492,751695,15934058,317
20036.83,1,8192,2,123027,8106231600,2,5,54,27,1187924,5,33445,5,7455504,56,1,4,18099,164627,2,1985,27,24071290,7066882,2380553916,27,92,2,1,2,2,734,1,2371527068,2369788313,37153513,184211684,184228068,2,1,8105314096,73389,73389,2,2,2,184211684,10,3,26372,6547703,625751,33006,18095,2371527068,1154918,23444661,317
25046.80,1,8192,2,176397,11623000464,2,5,54,27,1636203,5,48001,5,7455504,56,1,4,25942,165817,2,1985,27,35807619,7458867,3412455795,27,92,2,1,2,2,734,1,3399524764,3397721877,51271202,264141228,264157612,2,1,11622214032,73389,73389,2,2,2,264141228,10,3,33020,7669505,779790,43032,25938,3399524764,1593171,35026474,317
30056.36,1,8192,2,193587,12755669700,2,5,54,27,1844678,5,52690,5,7455504,56,1,4,28468,231095,2,1985,27,41486660,10641804,3745005970,27,92,2,1,2,2,734,1,3730743708,3728874773,61720164,289888179,289904563,2,1,12755079876,73389,73389,2,2,2,289888179,10,3,34723,10087648,970169,55268,28465,3730743708,1789410,40515637,317
35068.11,1,8192,2,218537,14399818268,2,5,55,27,2097631,5,59548,5,7720956,56,1,4,32133,293410,2,1985,27,47318701,12987957,4227240903,27,92,2,1,2,2,734,1,4211122588,4209529640,71378211,327244021,327260405,2,1,14398736924,73389,73389,2,2,2,327244021,10,3,35597,12082804,1119665,63945,32130,4211122588,2033686,46198255,317
40072.82,1,8192,2,244879,16135723852,2,5,55,27,2352572,5,66733,5,7720956,56,1,4,36005,347099,2,1985,27,53811262,15302586,4736576024,27,92,2,1,2,2,734,1,4718502300,4716960460,81978090,366700889,366717273,2,1,16134839116,73389,73389,2,2,2,366700889,10,3,45283,13883301,1274091,72531,36001,4718502300,2280041,52536953,317
45078.06,1,8192,2,290929,19170114676,2,5,55,27,2724455,5,79291,5,7720956,56,1,4,42774,347328,2,1985,27,58173275,15302755,5627093669,27,92,2,1,2,2,734,1,5605728668,5604049065,87424680,435658359,435674743,2,1,19168967796,73389,73389,2,2,2,435658359,10,3,45747,14575018,1357518,79657,42770,5605728668,2644798,56815283,317
50091.73,1,8192,2,319708,21066527848,2,5,55,27,3007943,5,87140,5,7720956,56,1,4,47003,377638,2,1985,27,61331852,16744111,6183517501,27,92,2,1,2,2,734,1,6160032156,6158409085,92789506,478770574,478786958,2,1,21065905256,73389,73389,2,2,2,478770574,10,3,47003,16253226,1489281,89532,46999,6160032156,2918411,59842133,317
55095.94,1,8192,2,350376,23087269428,2,5,55,27,3276157,5,95503,5,7720956,56,1,4,51508,429946,2,1985,27,76403651,18668535,6776263126,27,92,2,1,2,2,734,1,6750511516,6749110272,112793741,524696519,524696519,2,1,23085925940,73389,73389,2,2,2,524680135,10,3,57020,17875441,1655888,99540,51504,6750511516,3176617,74746562,317
60100.24,1,8192,2,396758,26143418204,2,5,55,27,3699118,5,108154,5,7720956,56,1,4,58326,430076,2,1985,27,80713083,18668745,7673228866,27,92,2,1,2,2,734,1,7644160412,7642454233,118295161,594145509,594161893,2,1,26142402396,73389,73389,2,2,2,594145509,10,3,57041,18626851,1731722,106801,58322,7644160412,3592317,78980358,317
