timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5030.23,1,8192,2,15560,1025049200,2,7,54,27,203501,8,4117,5,7455504,56,1,4,2308,82053,2,2293,27,4897910,3281964,303011262,27,38,2,1,2,2,660,1,301769116,299749757,9956468,23287636,23287636,2,1,1023935088,73389,73389,2,2,2,23271252,13,3,22183,2524761,232991,9682,2304,301769116,193819,4665247,282
10040.22,1,8192,2,30201,1989605364,2,7,54,27,395909,8,8128,5,7455504,56,1,4,4458,154830,2,2293,27,7023795,6283145,586108033,27,38,2,1,2,2,660,1,583704988,581766837,15662792,45192983,45209367,2,1,1988491252,73389,73389,2,2,2,45192983,13,3,24513,4989409,357238,26544,4455,583704988,369365,6665505,282
15044.71,1,8192,2,69072,4551124176,2,7,54,27,720377,8,18730,5,7455504,56,1,4,10172,175067,2,2293,27,10903040,6912002,1337758966,27,38,2,1,2,2,660,1,1332519324,1330553068,21067229,103413788,103430172,2,1,4550206672,73389,73389,2,2,2,103413788,13,3,25043,6076527,445499,34025,10168,1332519324,686352,10456086,282
20056.89,1,8192,2,87924,5793245148,2,7,54,27,936994,8,23870,5,7455504,56,1,4,12943,221054,2,2293,27,13213210,9357111,1702411917,27,38,2,1,2,2,660,1,1695719836,1693622688,26352123,131646789,131663173,2,1,5792458716,73389,73389,2,2,2,131646789,13,3,26652,8452500,562753,43124,12939,1695719836,893870,12648972,282
25067.73,1,8192,2,98513,6490922180,2,7,54,27,1082637,8,26758,5,7455504,56,1,4,14498,353932,2,2293,27,26527349,14546287,1907093625,27,38,2,1,2,2,660,1,1899536796,1897631822,50689368,147492659,147509043,2,1,6489676996,73389,73389,2,2,2,147492659,13,3,32644,11048870,741038,51171,14494,1899536796,1031466,25784234,282
30079.95,1,8192,2,108670,7160287660,2,7,54,27,1220742,8,29527,5,7455504,56,1,4,15990,521635,2,2293,27,30051738,18630196,2103497162,27,38,2,1,2,2,660,1,2095096220,2093251689,60442193,162715937,162732321,2,1,7159501228,73389,73389,2,2,2,162715937,13,3,37983,13671449,866685,59733,15986,2095096220,1161009,29183249,282
35084.26,1,8192,2,132600,8737058604,2,7,54,27,1477299,8,36001,5,7455504,56,1,4,19506,574725,2,2293,27,36918499,21350382,2566187091,27,38,2,1,2,2,660,1,2555945372,2554189888,71983744,198560577,198560577,2,1,8735944492,73389,73389,2,2,2,198544193,13,3,43312,15659231,1014639,68555,19502,2555945372,1408744,35902333,282
40093.53,1,8192,2,152120,10023488528,2,7,54,27,1710897,8,41376,5,7455504,56,1,4,22375,637459,2,2293,27,42452619,24139287,2943740402,27,38,2,1,2,2,660,1,2931990940,2930174012,81883145,227788684,227805068,2,1,10022702096,73389,73389,2,2,2,227788684,13,3,45939,17841936,1159792,77130,22371,2931990940,1633767,41291843,282
45107.94,1,8192,2,162628,10715857144,2,7,54,27,1854392,8,44245,5,7455504,56,1,4,23919,803219,2,2293,27,46139128,28497867,3146980326,27,38,2,1,2,2,660,1,3134366108,3132589273,92393676,243519866,243536250,2,1,10714874104,73389,73389,2,2,2,243519866,13,3,52227,20677921,1272161,85658,23915,3134366108,1768734,44865948,282
50111.45,1,8192,2,196061,12918867572,2,7,54,27,2160468,8,53362,5,7455504,56,1,4,28832,833786,2,2293,27,53156775,30034676,3793450616,27,38,2,1,2,2,660,1,3778322844,3776611844,102290937,293598711,293598711,2,1,12917622388,73389,73389,2,2,2,293582327,13,3,60367,22195176,1428457,96449,28828,3778322844,2064019,51727552,282
55121.85,1,8192,2,230315,15175948508,2,7,55,27,2476998,8,62761,5,7720956,56,1,4,33865,868394,2,2293,27,59464542,31215563,4455724144,27,38,2,1,2,2,660,1,4438008220,4436401271,110844414,344887813,344904197,2,1,15175063772,73389,73389,2,2,2,344887813,13,3,61419,23687571,1537383,105601,33861,4438008220,2371397,57926840,282
60125.47,1,8192,2,258152,17010361316,2,7,55,27,2771591,8,70351,5,7720956,56,1,4,37954,904848,2,2293,27,62554419,32773747,4993755783,27,38,2,1,2,2,660,1,4973961628,4972676353,116224959,386584971,386584971,2,1,17009017828,73389,73389,2,2,2,386568587,13,3,61790,25478721,1687064,117915,37950,4973961628,2653676,60867584,282
65133.37,1,8192,2,279269,18401717684,2,7,55,27,3020500,8,76105,5,7720956,56,1,4,41059,962783,2,2293,27,65167172,34869934,5402352496,27,38,2,1,2,2,660,1,5380940188,5379421945,121544147,418194791,418211175,2,1,18400570804,73389,73389,2,2,2,418194791,13,3,63435,27679699,1851392,128174,41055,5380940188,2892326,63313549,282
70138.18,1,8192,2,319343,21042341756,2,7,55,27,3347630,8,86988,5,7720956,56,1,4,46949,977408,2,2293,27,82878165,36716325,6177301524,27,38,2,1,2,2,660,1,6152954268,6151305360,144419073,478223869,478223869,2,1,21041850236,73389,73389,2,2,2,478223869,13,3,76772,28848370,2024605,137609,46945,6152954268,3210021,80851138,282
