timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5025.11,8192,2,9314,613322276,2,7,54,27,135801,6,2434,5,7455504,56,1,4,1388,171417,2,2224,27,2918806,4385837,181952296,27,53,10,1,2,1,2,2,870,1,181182876,179427593,9491408,13927227,13943611,2,1,612797988,73389,73389,2,2,2,13927227,16,3,9782,2936775,158544,6521,1384,181182876,129280,2759156,341
10030.82,8192,2,34030,2242135420,2,7,54,27,377667,6,9172,5,7455504,56,1,4,5021,232139,2,2224,27,8101365,6964313,659963660,27,53,10,1,2,1,2,2,870,1,657367452,655596766,19362496,50947197,50947197,2,1,2240955772,73389,73389,2,2,2,50930813,16,3,18461,4784418,286012,16472,5017,657367452,361195,7815183,341
15036.12,8192,2,79181,5217078476,2,7,54,27,755394,6,21435,5,7455504,56,1,4,11656,232651,2,2224,27,17724956,6964552,1532829081,27,53,10,1,2,1,2,2,870,1,1527030172,1525210006,30936864,118549113,118565497,2,1,5216160972,73389,73389,2,2,2,118549113,16,3,27501,5495562,393275,23965,11652,1527030172,731429,17331259,341
20042.04,8192,2,126391,8328021964,2,7,54,27,1171222,6,34361,5,7455504,56,1,4,18592,233129,2,2224,27,25779104,6964801,2445180574,27,53,10,1,2,1,2,2,870,1,2436014492,2434579414,40501520,189255353,189271737,2,1,8327235532,73389,73389,2,2,2,189255353,16,3,33070,6261725,504379,31897,18588,2436014492,1139325,25273630,341
25054.62,8192,2,147489,9718133148,2,7,54,27,1400908,6,40111,5,7455504,56,1,4,21693,283305,2,2224,27,28483805,8980976,2853473996,27,53,10,1,2,1,2,2,870,1,2842730908,2840899866,45791669,220848789,220865173,2,1,9717346716,73389,73389,2,2,2,220848789,16,3,33393,8284617,617535,40054,21690,2842730908,1360854,27863714,341
30060.58,8192,2,176594,11636176508,2,7,54,27,1671833,6,48055,5,7455504,56,1,4,25970,324872,2,2224,27,31732194,10356536,3416050300,27,53,10,1,2,1,2,2,870,1,3403194780,3401552753,51150929,264442173,264458557,2,1,11635455612,73389,73389,2,2,2,264442173,16,3,34145,9815633,740891,48849,25966,3403194780,1622984,30987835,341
35066.17,8192,2,224624,14801124968,2,7,55,27,2079741,6,61153,5,7720956,56,1,4,33030,325615,2,2224,27,48218025,11441205,4344844334,27,53,10,1,2,1,2,2,870,1,4328563100,4326880849,72630384,336375054,336375054,2,1,14800502376,73389,73389,2,2,2,336375054,16,3,46623,10591640,900617,56882,33026,4328563100,2022859,47313946,341
40081.56,8192,2,247665,16319368956,2,7,55,27,2318765,6,67492,5,7720956,56,1,4,36414,364193,2,2224,27,52778561,13487203,4790102226,27,53,10,1,2,1,2,2,870,1,4772110748,4770657048,80592093,370870173,370886557,2,1,16318287612,73389,73389,2,2,2,370870173,16,3,46640,12477331,1028235,65478,36410,4772110748,2253287,51747138,341
45086.13,8192,2,273485,18020533844,2,7,55,27,2579516,6,74533,5,7720956,56,1,4,40210,424663,2,2224,27,59410137,15956818,5289552120,27,53,10,1,2,1,2,2,870,1,5269660060,5267961276,91655525,409544927,409544927,2,1,18019255892,73389,73389,2,2,2,409528543,16,3,53429,14349092,1167525,76846,40206,5269660060,2502670,58238600,341
50090.10,8192,2,322260,21234572076,2,7,55,27,2997748,6,87821,5,7720956,56,1,4,47377,425232,2,2224,27,68696503,15957038,6232443441,27,53,10,1,2,1,2,2,870,1,6209053084,6207536276,102698144,482589761,482589761,2,1,21233228588,73389,73389,2,2,2,482573377,16,3,60503,15128201,1265449,84835,47373,6209053084,2912913,67426850,341
55095.44,8192,2,366814,24170390140,2,7,55,27,3394459,6,99988,5,7720956,56,1,4,53924,425514,2,2224,27,73059361,15957219,7093728187,27,53,10,1,2,1,2,2,870,1,7067181468,7065655980,108184130,549306941,549323325,2,1,24169505404,73389,73389,2,2,2,549306941,16,3,60503,15837559,1346364,91570,53920,7067181468,3302889,71708380,341
