timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompileExpressionsBytes,CompileExpressionsMicroseconds,CompileFunction,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5033.20,8192,2,8192,76163,1,9262,609914404,2,7,54,27,155963,23,2419,5,1,7455504,56,1,4,1380,152501,2,35351,27,2841660,4342014,180889810,27,72,2,1,1,3,2703,1,180134300,178357211,9147356,13845307,13861691,2,1,609193508,73389,73389,2,2,2,13845307,10,3,3822,2780128,177663,8682,1376,180134300,147281,2665000,463
10037.48,8192,2,8192,76163,1,40158,2645863644,2,7,54,27,468721,23,10846,5,1,7455504,56,1,4,5921,191257,2,35351,27,8813778,6114015,778312821,27,72,2,1,1,3,2703,1,775332252,773625661,19066145,60121349,60137733,2,1,2645339356,73389,73389,2,2,2,60121349,10,3,12765,4329815,342819,18218,5917,775332252,450503,8471346,463
15041.68,8192,2,8192,76163,1,82906,5462527336,2,7,54,27,842469,23,22504,5,1,7455504,56,1,4,12204,191310,2,35351,27,13243916,6114301,1604823944,27,72,2,1,1,3,2703,1,1598857628,1596977853,24507599,124133454,124149838,2,1,5461871976,73389,73389,2,2,2,124133454,10,3,12765,4967058,430147,24758,12200,1598857628,817711,12814090,463
20045.87,8192,2,8192,76163,1,125806,8289417952,2,7,54,27,1213569,23,34204,5,1,7455504,56,1,4,18508,191352,2,35351,27,17678265,6114462,2434099091,27,72,2,1,1,3,2703,1,2425135516,2423342992,29941173,188380968,188397352,2,1,8288762592,73389,73389,2,2,2,188380968,10,3,12765,5596770,497978,31284,18504,2425135516,1182285,17180539,463
25050.29,8192,2,8192,76163,1,169016,11136624728,2,7,54,27,1583490,23,45988,5,1,7455504,56,1,4,24856,191411,2,35351,27,22113571,6114659,3269162119,27,72,2,1,1,3,2703,1,3257180572,3255563812,35378699,253087234,253103618,2,1,11135838296,73389,73389,2,2,2,253087234,10,3,13025,6227392,578957,37761,24852,3257180572,1545729,21534790,463
30054.71,8192,2,8192,76163,1,212633,14010770108,2,7,55,27,1942629,23,57937,5,1,7720956,56,1,4,31267,191509,2,35351,27,42755830,6115104,4112509702,27,72,2,1,1,3,2703,1,4097483164,4095831641,60707131,318413933,318413933,2,1,14009492156,73389,73389,2,2,2,318397549,10,3,13842,6855219,701447,44337,31263,4097483164,1898292,42054235,463
35059.54,8192,2,8192,76163,1,257513,16968218360,2,7,55,27,2318121,23,70177,5,1,7720956,56,1,4,37861,191584,2,35351,27,47156470,6115162,4979926631,27,72,2,1,1,3,2703,1,4961771932,4960348167,66155476,385628666,385628666,2,1,16966940408,73389,73389,2,2,2,385612282,10,3,13842,7512547,773124,51068,37857,4961771932,2267053,46382675,463
40063.77,8192,2,8192,76163,1,302211,19913473608,2,7,55,27,2700257,23,82369,5,1,7720956,56,1,4,44431,191758,2,35351,27,51549071,6115352,5844187229,27,72,2,1,1,3,2703,1,5822914972,5821290789,71612072,452558838,452575222,2,1,19912588872,73389,73389,2,2,2,452558838,10,3,13842,8185394,839172,57786,44427,5822914972,2642471,50708829,463
45075.97,8192,2,8192,76163,1,324596,21388460528,2,7,55,27,2975400,23,88474,5,1,7720956,56,1,4,47720,233583,2,35351,27,66611283,8381755,6276925828,27,72,2,1,1,3,2703,1,6254010780,6252444367,92050789,486081268,486097652,2,1,21387575792,73389,73389,2,2,2,486081268,10,3,15865,10244911,1075948,71225,47716,6254010780,2904175,65534917,463
50085.91,8192,2,8192,76163,1,357535,23559096172,2,7,55,27,3299209,23,97454,5,1,7720956,56,1,4,52560,268699,2,35351,27,73089252,9717616,6913658496,27,72,2,1,1,3,2703,1,6888399260,6886996085,101570449,535422833,535422833,2,1,23557883756,73389,73389,2,2,2,535406449,10,3,19151,11671539,1237420,81083,52556,6888399260,3218126,71852591,463
