timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5018.42,2,8192,2,11613,764785896,2,7,54,27,164268,6,3060,5,7455504,56,1,4,1724,182561,2,11658,27,2684610,4828624,226173464,27,63,2,1,2,2,672,1,225223068,223716535,8617185,17369582,17369582,2,1,764261608,73389,73389,2,2,2,17369582,18,3,11101,3165149,173918,7305,1720,225223068,156963,2509998,414
10024.15,2,8192,2,49116,3236120556,2,7,54,27,468004,6,13288,5,7455504,56,1,4,7238,195211,2,11658,27,6528199,5517074,951637598,27,63,2,1,2,2,672,1,947954076,946118869,13997332,73530321,73546705,2,1,3235334124,73389,73389,2,2,2,73530321,18,3,11185,4247392,259239,14811,7234,947954076,453193,6268683,414
15028.37,2,8192,2,94375,6218406952,2,7,54,27,822944,6,25630,5,7455504,56,1,4,13889,195379,2,11658,27,10929972,5517402,1826662344,27,63,2,1,2,2,672,1,1819713948,1817964925,19425095,141302110,141318494,2,1,6217292840,73389,73389,2,2,2,141302110,18,3,11412,4897687,332898,21664,13885,1819713948,801280,10596787,414
20032.79,2,8192,2,139977,9223172196,2,7,54,27,1201199,6,38068,5,7455504,56,1,4,20592,195556,2,11658,27,15311319,5517545,2708396622,27,63,2,1,2,2,672,1,2698158492,2696262044,24887021,209598187,209614571,2,1,9222320228,73389,73389,2,2,2,209598187,18,3,11621,5580786,397088,28515,20588,2698158492,1172684,14913897,414
25037.72,2,8192,2,187468,12352531300,2,7,54,27,1587925,6,51015,5,7455504,56,1,4,27571,195699,2,11658,27,38305617,5810364,3626709470,27,63,2,1,2,2,672,1,3613041052,3611019761,51697037,280730411,280730411,2,1,12352138084,73389,73389,2,2,2,280730411,18,3,19344,6278402,513834,35792,27567,3613041052,1552133,37791798,414
30042.23,2,8192,2,234558,15455610468,2,7,55,27,1964733,6,63919,5,7720956,56,1,4,34489,195884,2,11658,27,44139837,5810718,4536732498,27,63,2,1,2,2,672,1,4519797148,4518178595,58821478,351248235,351264619,2,1,15454922340,73389,73389,2,2,2,351248235,18,3,19451,6978473,593269,43016,34485,4519797148,1921717,43546874,414
35051.46,2,8192,2,269116,17732879800,2,7,55,27,2282357,6,73340,5,7720956,56,1,4,39566,220014,2,11658,27,54401407,6978697,5204856457,27,63,2,1,2,2,672,1,5185249692,5183852961,71968944,402993930,403010314,2,1,17731732920,73389,73389,2,2,2,402993930,18,3,20739,8396921,724347,51082,39562,5185249692,2231275,53676777,414
40061.67,2,8192,2,281823,18570158436,2,7,55,27,2459395,6,76805,5,7720956,56,1,4,41435,331276,2,11658,27,59122504,10849733,5450990661,27,63,2,1,2,2,672,1,5430354332,5428659992,82824120,422020011,422036395,2,1,18568880484,73389,73389,2,2,2,422020011,18,3,23129,10889229,877919,69860,41432,5430354332,2389535,58243939,414
45073.96,2,8192,2,297473,19601371328,2,7,55,27,2656589,6,81074,5,7720956,56,1,4,43735,408181,2,11658,27,63491707,14052548,5753691654,27,63,2,1,2,2,672,1,5731819932,5730087645,92029192,445461136,445477520,2,1,19600289984,73389,73389,2,2,2,445461136,18,3,25363,13223099,1016542,82488,43732,5731819932,2574101,62474704,414
50085.36,2,8192,2,338678,22316382068,2,7,55,27,3039350,6,92312,5,7720956,56,1,4,49790,413460,2,11658,27,67578558,14399523,6550198391,27,63,2,1,2,2,672,1,6525329820,6523727051,97507781,507167415,507183799,2,1,22315366260,73389,73389,2,2,2,507167415,18,3,25760,14164013,1106511,89704,49786,6525329820,2949646,66471733,414
