timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5018.97,1,8192,2,16197,1067012820,2,6,54,1,27,219283,3,4309,5,7455504,56,1,4,2399,85933,2,1849,27,5208013,3102283,315104619,27,60,2,1,2,2,966,1,313827740,312034864,10022881,24221524,24243941,2,1,1065747056,73389,73389,2,2,2,24221524,8,3,19569,2458170,249928,9127,2396,313827740,210156,4958157,373
10022.65,1,8192,2,37353,2460973356,2,6,54,1,27,487741,3,10074,5,7455504,56,1,4,5509,125414,2,1849,27,10540645,5222235,724223110,27,60,2,1,2,2,966,1,721330588,719586952,18788321,55919297,55919297,2,1,2459728172,73389,73389,2,2,2,55902913,8,3,23866,4359987,450684,23091,5505,721330588,464650,10089999,373
15026.28,1,8192,2,83335,5490907732,2,6,54,1,27,849538,3,22621,5,7455504,56,1,4,12267,125433,2,1849,27,14954788,5224325,1613318618,27,60,2,1,2,2,966,1,1607115164,1605249566,24232519,124778463,124794847,2,1,5490252372,73389,73389,2,2,2,124778463,8,3,23867,4999977,507721,30084,12263,1607115164,819454,14447285,373
20030.63,1,8192,2,128963,8497376912,2,6,54,1,27,1209822,3,35065,5,7455504,56,1,4,18970,125453,2,1849,27,19347207,5224604,2495178889,27,60,2,1,2,2,966,1,2485690780,2484124500,29674618,193107308,193123692,2,1,8496721552,73389,73389,2,2,2,193107308,8,3,23954,5659599,586491,37020,18966,2485690780,1172802,18761031,373
25034.84,1,8192,2,173678,11444011724,2,6,54,1,27,1556582,3,47260,5,7455504,56,1,4,25544,125453,2,1849,27,23756836,5225001,3360072923,27,60,2,1,2,2,966,1,3347358108,3345446534,35110301,260076281,260092665,2,1,11443356364,73389,73389,2,2,2,260076281,8,3,27366,6305432,654765,43749,25540,3347358108,1512833,23102485,373
30039.19,1,8192,2,219212,14444320520,2,6,55,1,27,1900631,3,59731,5,7720956,56,1,4,32233,125481,2,1849,27,45170408,5291981,4240095298,27,60,2,1,2,2,966,1,4224098716,4222571083,60462551,328265862,328265862,2,1,14442977032,73389,73389,2,2,2,328249478,8,3,32846,6924296,795173,50682,32229,4224098716,1849949,44375998,373
35043.23,1,8192,2,269290,17744283064,2,6,55,1,27,2290874,3,73390,5,7720956,56,1,4,39591,125539,2,1849,27,52573528,5292146,5208128134,27,60,2,1,2,2,966,1,5188526492,5187180921,69310687,403256074,403272458,2,1,17743267256,73389,73389,2,2,2,403256074,8,3,36768,7616722,888505,58402,39587,5188526492,2232472,51685965,373
40052.14,1,8192,2,289281,19061580444,2,6,55,1,27,2505062,3,78841,5,7720956,56,1,4,42529,222136,2,1849,27,60614192,8396651,5594729361,27,60,2,1,2,2,966,1,5573616028,5572314170,82260263,433205077,433205077,2,1,19061023388,73389,73389,2,2,2,433205077,8,3,39447,9958200,1009467,66386,42525,5573616028,2438676,59605147,373
45066.81,1,8192,2,296981,19568862164,2,6,55,1,27,2616227,3,80937,5,7720956,56,1,4,43663,310564,2,1849,27,62937096,12613325,5744024248,27,60,2,1,2,2,966,1,5722251676,5720614950,91101748,444734207,444734207,2,1,19567584212,73389,73389,2,2,2,444717823,8,3,42979,12816951,1128464,71613,43659,5722251676,2544614,61809699,373
50075.50,1,8192,2,302993,19964988212,2,6,55,1,27,2703396,3,82536,5,7720956,56,1,4,44544,580005,2,1849,27,65511031,20339585,5860025264,27,60,2,1,2,2,966,1,5837726108,5836353887,103176569,453728135,453744519,2,1,19964037940,73389,73389,2,2,2,453728135,8,3,49414,15926715,1242658,75795,44540,5837726108,2627601,64268713,373
