timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5017.04,1,8192,2,37692,2483190060,2,7,54,27,352639,4,10117,5,7455504,56,1,4,5559,17416,2,10140,27,7418194,1482637,730687836,27,40,2,1,2,2,749,1,727884188,726049809,10401930,56427201,56427201,2,1,2482075948,73389,73389,2,2,2,56410817,14,3,10595,1668337,202959,10282,5555,727884188,342357,7215395,329
10021.36,1,8192,2,104409,6879446052,2,7,54,27,863983,4,28312,5,7455504,56,1,4,15362,17555,2,10140,27,16331868,1482864,2020487106,27,40,2,1,2,2,749,1,2012783004,2011211209,21024887,156339131,156339131,2,1,6878921764,73389,73389,2,2,2,156339131,14,3,11618,2602731,327347,20866,15358,2012783004,843117,16004906,329
15026.11,1,8192,2,169506,11169002820,2,7,54,27,1361496,4,46066,5,7455504,56,1,4,24929,17927,2,10140,27,25205461,1483155,3279245193,27,40,2,1,2,2,749,1,3266748828,3265074498,31641755,253830547,253830547,2,1,11168544068,73389,73389,2,2,2,253830547,14,3,11993,3535181,439950,31278,24925,3266748828,1330218,24765907,329
20031.16,1,8192,2,229314,15110081520,2,7,55,27,1828040,4,62440,5,7720956,56,1,4,33719,18205,2,10140,27,34114289,1483476,4435654786,27,40,2,1,2,2,749,1,4418740636,4417128089,42135862,343390836,343407220,2,1,15109196784,73389,73389,2,2,2,343390836,14,3,13161,4403838,541473,40943,33715,4418740636,1787097,33573037,329
25035.21,1,8192,2,276274,18204375556,2,7,55,27,2208525,4,75295,5,7720956,56,1,4,40619,18352,2,10140,27,38474559,1483716,5343556715,27,40,2,1,2,2,749,1,5323268508,5321677554,47585933,413714211,413730595,2,1,18203425284,73389,73389,2,2,2,413714211,14,3,13163,5094025,615486,48141,40616,5323268508,2160384,37859440,329
30044.78,1,8192,2,293964,19370078244,2,7,55,27,2418744,4,80111,5,7720956,56,1,4,43220,111619,2,10140,27,47771831,4739624,5685837063,27,40,2,1,2,2,749,1,5664186780,5662507654,62653893,440204475,440220859,2,1,19368996900,73389,73389,2,2,2,440204475,14,3,15161,7545956,746818,56124,43216,5664186780,2362620,47025018,329
35059.29,1,8192,2,302168,19910655560,2,7,55,27,2542990,4,82357,5,7720956,56,1,4,44427,245535,2,10140,27,50583178,10195975,5844739444,27,40,2,1,2,2,749,1,5822390684,5820488240,72721102,452493302,452509686,2,1,19909705288,73389,73389,2,2,2,452493302,14,3,22811,10616591,873704,63422,44423,5822390684,2479568,49710197,329
40087.58,1,8192,2,309696,20406665088,2,7,55,27,2650845,4,84409,5,7720956,56,1,4,45530,458920,2,10140,27,53067276,15518502,5990083863,27,40,2,1,2,2,749,1,5967094172,5965509299,82568647,463760288,463776672,2,1,20405452672,73389,73389,2,2,2,463760288,14,3,27553,13594310,959547,68552,45527,5967094172,2582293,52107989,329
45091.06,1,8192,2,337285,22224559516,2,7,55,27,2916217,4,91933,5,7720956,56,1,4,49585,541180,2,10140,27,56642616,17630805,6523498580,27,40,2,1,2,2,749,1,6498460060,6496911252,89734834,505090965,505090965,2,1,22223281564,73389,73389,2,2,2,505074581,14,3,31261,15482767,1108670,79160,49581,6498460060,2837057,55535490,329
50094.64,1,8192,2,385668,25412907636,2,7,55,27,3291585,4,105127,5,7720956,56,1,4,56695,541270,2,10140,27,61039880,17632131,7458893876,27,40,2,1,2,2,749,1,7430381980,7428910966,95184377,577523558,577545975,2,1,25411036552,73389,73389,2,2,2,577523558,14,3,31307,16139438,1187014,86422,56691,7430381980,3205163,59854428,329
