timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5005.93,8192,2,53470,3523057012,2,25,54,27,442351,1,14422,5,7455504,56,1,4,7877,723,2,33,27,9044296,210,1035669798,27,5,3,1,2,1,2,2,393,1,1031709084,1030027030,10523129,80054583,80070967,2,1,3522401652,73389,73389,2,2,2,80054583,5,3,19899,852114,138673,9299,7873,1031709084,433052,8905275,98
10035.55,8192,2,87266,5749857008,2,25,54,27,758065,1,23684,5,7455504,56,1,4,12844,46960,2,33,27,15587462,1628959,1689231934,27,5,3,1,2,1,2,2,393,1,1682743708,1680982391,20045211,130657716,130674100,2,1,5748939504,73389,73389,2,2,2,130657716,5,3,21502,2496626,252537,18053,12840,1682743708,740012,15334743,98
15039.93,8192,2,106663,7027960552,2,25,54,27,969774,1,28927,5,7455504,56,1,4,15694,136977,2,33,27,21436536,4867559,2064281745,27,5,3,1,2,1,2,2,393,1,2056298908,2054591738,31257399,159715950,159715950,2,1,7026780904,73389,73389,2,2,2,159699566,5,3,30569,4842016,417933,28525,15690,2056298908,941249,21017970,98
20044.68,8192,2,155071,10217947072,2,25,54,27,1364102,1,42130,5,7455504,56,1,4,22809,137911,2,33,27,30395218,4868109,3000438694,27,5,3,1,2,1,2,2,393,1,2988876188,2987059916,41749170,232203728,232220112,2,1,10216964032,73389,73389,2,2,2,232203728,5,3,32063,5618820,514121,38538,22805,2988876188,1325564,29880439,98
25049.03,8192,2,206561,13610711900,2,25,55,27,1785025,1,56265,5,7720956,56,1,4,30374,139289,2,33,27,38513849,4868412,3995807090,27,5,3,1,2,1,2,2,393,1,3980435868,3978870072,51379826,309321701,309321701,2,1,13609433948,73389,73389,2,2,2,309305317,5,3,35948,6451687,649955,48715,30370,3980435868,1736310,37863224,98
30085.58,8192,2,239027,15750083564,2,25,55,27,2074969,1,65137,5,7720956,56,1,4,35145,177455,2,33,27,45655340,6620855,4623717432,27,5,3,1,2,1,2,2,393,1,4605911452,4604230265,61637108,357936337,357952721,2,1,15749198828,73389,73389,2,2,2,357936337,5,3,38143,8158497,785163,58108,35142,4605911452,2016861,44870467,98
35100.28,8192,2,248575,16379272168,2,25,55,27,2206458,1,67737,5,7720956,56,1,4,36547,288899,2,33,27,49217384,11606004,4808137400,27,5,3,1,2,1,2,2,393,1,4789543324,4788148182,72613125,372236078,372252462,2,1,16378387432,73389,73389,2,2,2,372236078,5,3,40890,11056735,888963,65496,36543,4789543324,2140962,48328669,98
40114.46,8192,2,259652,17109196220,2,25,55,27,2352492,1,70746,5,7720956,56,1,4,38176,402086,2,33,27,52357135,16067369,5022552238,27,5,3,1,2,1,2,2,393,1,5003059612,5001498056,82346634,388825261,388841645,2,1,17108311484,73389,73389,2,2,2,388825261,5,3,43377,13828052,1011172,71514,38172,5003059612,2280978,51346149,98
45119.27,8192,2,310539,20462177388,2,25,55,27,2779450,1,84584,5,7720956,56,1,4,45655,420845,2,33,27,61496255,16564488,6006471116,27,5,3,1,2,1,2,2,393,1,5983216028,5981704251,93680460,465027889,465044273,2,1,20461227116,73389,73389,2,2,2,465027889,5,3,54479,14860937,1150115,80909,45651,5983216028,2698541,60346216,98
50124.16,8192,2,364906,24044816548,2,25,55,27,3237922,1,99428,5,7720956,56,1,4,53644,421597,2,33,27,70482154,16564894,7057752809,27,5,3,1,2,1,2,2,393,1,7030481308,7028975699,104198972,546460443,546460443,2,1,24043538596,73389,73389,2,2,2,546444059,5,3,60100,15722475,1252726,90459,53640,7030481308,3147463,69229339,98
