timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5151.04,8192,2,7399,487289932,2,10,54,27,113017,4,1911,1,5,298,7455504,56,1,4,1105,184791,2,5779,27,1887646,4748578,144853743,27,38,2,1,2,2,615,1,144220572,142554794,8623363,11064345,11064345,2,1,486831180,73389,73389,2,2,2,11064345,8,3,1678,3320387,88543,5184,1102,144220572,107833,1798402,338
10160.71,8192,2,14763,972551556,2,10,54,27,219547,4,3913,1,5,298,7455504,56,1,4,2188,413038,2,5779,27,3598958,9123298,287288757,27,38,2,1,2,2,615,1,286040476,284380284,16253671,22085571,22101955,2,1,971765124,73389,73389,2,2,2,22085571,8,3,3703,6440412,179258,11941,2185,286040476,207609,3419592,338
15177.18,8192,2,23409,1542095784,2,10,54,27,337844,4,6277,1,5,298,7455504,56,1,4,3459,527145,2,5779,27,4821689,12768499,454724391,27,38,2,1,2,2,615,1,452764060,450874943,21397071,35029758,35046142,2,1,1541309352,73389,73389,2,2,2,35029758,8,3,6043,9379179,286737,17461,3456,452764060,320383,4534261,338
20186.47,8192,2,34157,2250458492,2,10,54,27,475900,4,9208,1,5,298,7455504,56,1,4,5040,676130,2,5779,27,11081289,18871738,662812498,27,38,2,1,2,2,615,1,659988892,658007288,40047749,51127421,51143805,2,1,2249606524,73389,73389,2,2,2,51127421,8,3,7237,12149730,385971,24596,5037,659988892,451304,10694382,338
25190.74,8192,2,74954,4938730544,2,10,54,27,825238,4,20335,1,5,298,7455504,56,1,4,11034,676653,2,5779,27,16799947,19076572,1451243482,27,38,2,1,2,2,615,1,1445503388,1443790452,47292403,112227492,112243876,2,1,4938009648,73389,73389,2,2,2,112227492,8,3,8910,12851900,484831,31604,11030,1445503388,793634,16314373,338
30195.81,8192,2,116035,7645614820,2,10,54,27,1168176,4,31537,1,5,298,7455504,56,1,4,17072,677195,2,5779,27,27954175,19076912,2245587333,27,38,2,1,2,2,615,1,2236916124,2235148243,61086800,173753547,173753547,2,1,7644435172,73389,73389,2,2,2,173737163,8,3,14062,13503505,576883,38358,17068,2236916124,1129818,27376849,338
35206.56,8192,2,146556,9656722608,2,10,54,27,1433975,4,39862,1,5,298,7455504,56,1,4,21557,714525,2,5779,27,35582137,20370065,2835793707,27,38,2,1,2,2,615,1,2824905116,2822994495,71924642,219450116,219466500,2,1,9655805104,73389,73389,2,2,2,219450116,8,3,17519,14780142,689850,45036,21554,2824905116,1388939,34891941,338
40211.84,8192,2,163227,10755378660,2,10,54,27,1624566,4,44410,1,5,298,7455504,56,1,4,24008,804001,2,5779,27,40213062,23523470,3158198139,27,38,2,1,2,2,615,1,3146031516,3144140745,81161337,244427019,244443403,2,1,10754788836,73389,73389,2,2,2,244427019,8,3,17934,17071147,838221,52533,24004,3146031516,1572033,39374756,338
45216.07,8192,2,204439,13470848152,2,10,55,27,1965831,4,55679,1,5,298,7720956,56,1,4,30062,804741,2,5779,27,49157742,23631846,3954664161,27,38,2,1,2,2,615,1,3939541404,3938020621,92266208,306141490,306157874,2,1,13470225560,73389,73389,2,2,2,306141490,8,3,23225,17724211,927133,59715,30058,3939541404,1906116,48230186,338
50236.82,8192,2,247123,16283582992,2,10,55,27,2346714,4,67345,1,5,298,7720956,56,1,4,36335,819842,2,5779,27,57467832,24456850,4779969328,27,38,2,1,2,2,615,1,4761756060,4760177999,102925804,370061324,370077708,2,1,16282698256,73389,73389,2,2,2,370061324,8,3,24493,19032231,1053326,68930,36331,4761756060,2277784,56414058,338
