timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5016.13,1,8192,2,42224,2782057376,2,7,54,27,376066,7,11407,5,7455504,56,1,4,6226,24090,2,7513,27,7246279,1366139,818474490,27,62,2,1,2,2,758,1,815309212,813397401,10181044,63219640,63219640,2,1,2780943264,73389,73389,2,2,2,63203256,13,3,16004,1580777,203406,9269,6222,815309212,366797,7043248,423
10038.51,1,8192,2,67009,4415127052,2,7,54,27,638920,7,18168,5,7455504,56,1,4,9867,64038,2,7513,27,13789419,3648935,1297576217,27,62,2,1,2,2,758,1,1292542364,1290822382,20690767,100331881,100331881,2,1,4414602764,73389,73389,2,2,2,100331881,13,3,17444,3562627,341127,17995,9863,1292542364,620925,13448352,423
15060.90,1,8192,2,76078,5012658460,2,7,54,27,762252,7,20641,5,7455504,56,1,4,11199,178397,2,7513,27,16811074,8116179,1473059133,27,62,2,1,2,2,758,1,1467261340,1465439909,30805370,113904693,113921077,2,1,5011806492,73389,73389,2,2,2,113904693,13,3,22248,6194873,438028,23622,11196,1467261340,738630,16374327,423
20070.83,1,8192,2,87346,5755099888,2,7,54,27,905817,7,23711,5,7455504,56,1,4,12855,247757,2,7513,27,20157682,12153852,1690904532,27,62,2,1,2,2,758,1,1684185500,1682503638,39971792,130772404,130788788,2,1,5753985776,73389,73389,2,2,2,130772404,13,3,28213,8775822,578743,29961,12851,1684185500,875856,19580210,423
25075.33,1,8192,2,104419,6880101412,2,7,54,27,1113939,7,28369,5,7455504,56,1,4,15364,332270,2,7513,27,25239090,15377339,2021101561,27,62,2,1,2,2,758,1,2013045148,2011374213,50628013,156355515,156355515,2,1,6878921764,73389,73389,2,2,2,156339131,13,3,33508,11143326,751649,39017,15360,2013045148,1074922,24488480,423
30099.11,1,8192,2,130731,8614040916,2,7,54,27,1382700,7,35545,5,7455504,56,1,4,19230,382442,2,7513,27,32444429,17609637,2529796734,27,62,2,1,2,2,758,1,2519769500,2518236233,61823368,195763231,195763231,2,1,8612861268,73389,73389,2,2,2,195746847,13,3,36572,12911137,921646,47940,19226,2519769500,1334760,31522168,423
35115.51,1,8192,2,140124,9232805988,2,7,54,27,1518636,7,38089,5,7455504,56,1,4,20612,514344,2,7513,27,35553047,22121611,2711723517,27,62,2,1,2,2,758,1,2700911004,2699078949,71802119,209827563,209827563,2,1,9232412772,73389,73389,2,2,2,209827563,13,3,43735,15723688,1042918,53940,20608,2700911004,1464696,34509097,423
40119.84,1,8192,2,167557,11040476800,2,7,54,27,1806006,7,45589,5,7455504,56,1,4,24642,547374,2,7513,27,39045227,23910423,3241995098,27,62,2,1,2,2,758,1,3229131164,3227495884,78004311,250896096,250912480,2,1,11039428224,73389,73389,2,2,2,250896096,13,3,46036,17506883,1182866,66710,24638,3229131164,1739296,37861212,423
45131.37,1,8192,2,205132,13516530052,2,7,55,27,2127817,7,55894,5,7720956,56,1,4,30165,570306,2,7513,27,49634259,25001894,3968653621,27,62,2,1,2,2,758,1,3953041820,3951355991,91681118,307179715,307196099,2,1,13515907460,73389,73389,2,2,2,307179715,13,3,50080,18703536,1348464,75020,30161,3953041820,2052797,48284591,423
50136.01,1,8192,2,227308,14977819948,2,7,55,27,2381642,7,61939,5,7720956,56,1,4,33423,619346,2,7513,27,54615019,27276867,4397376580,27,62,2,1,2,2,758,1,4380074396,4378537487,100038274,340390849,340390849,2,1,14976476460,73389,73389,2,2,2,340374465,13,3,50627,20758408,1507509,85261,33419,4380074396,2296381,53106721,423
