timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.30,8192,2,40669,2679352540,2,7,54,1,27,341365,2,10984,5,7455504,56,1,4,5996,4860,2,3481,27,4125145,479873,787991949,27,49,2,1,2,2,610,1,785031580,783390141,5558220,60875013,60891397,2,1,2678500572,73389,73389,2,2,2,60875013,7,3,12454,996374,136342,7938,5992,785031580,333427,3988574,290
10018.77,8192,2,86309,5686873604,2,7,54,1,27,702555,2,23431,5,7455504,56,1,4,12704,5000,2,3481,27,8521849,480284,1670645126,27,49,2,1,2,2,610,1,1664393628,1662534246,10995503,129226275,129242659,2,1,5685956100,73389,73389,2,2,2,129226275,7,3,12454,1656083,207963,14842,12700,1664393628,687713,8313694,290
15023.37,8192,2,132403,8724148012,2,7,54,1,27,1067669,2,36001,5,7455504,56,1,4,19478,5133,2,3481,27,12901612,480560,2561847861,27,49,2,1,2,2,610,1,2552275356,2550425480,16432466,198265665,198265665,2,1,8722968364,73389,73389,2,2,2,198249281,7,3,12489,2329973,276401,21740,19474,2552275356,1045929,12625284,290
20027.12,8192,2,178135,11737698388,2,7,54,1,27,1430781,2,48475,5,7455504,56,1,4,26198,5257,2,3481,27,17290042,480783,3445818549,27,49,2,1,2,2,610,1,3432948124,3431257242,21864491,266747999,266764383,2,1,11736911956,73389,73389,2,2,2,266747999,7,3,12525,2992037,338858,28586,26194,3432948124,1402195,16950993,290
25031.53,8192,2,228022,15024878104,2,7,55,1,27,1845900,2,62080,5,7720956,56,1,4,33527,5429,2,3481,27,43523708,530390,4410251209,27,49,2,1,2,2,610,1,4393705884,4392266006,52214758,341461842,341461842,2,1,15024321048,73389,73389,2,2,2,341461842,7,3,19080,3749233,483098,36843,33523,4393705884,1809057,43040262,290
30040.43,8192,2,262793,17316106604,2,7,55,1,27,2204244,2,71617,5,7720956,56,1,4,38638,19866,2,3481,27,50532576,1942336,5082795962,27,49,2,1,2,2,610,1,5063614876,5062043349,61991420,393535217,393535217,2,1,17315549548,73389,73389,2,2,2,393535217,7,3,19983,5404410,631508,47917,38634,5063614876,2156327,49901563,290
35058.38,8192,2,275923,18181372420,2,7,55,1,27,2378261,2,75199,5,7720956,56,1,4,40569,144046,2,3481,27,54688980,5447533,5337081013,27,49,2,1,2,2,610,1,5316845980,5314965277,71212626,413189923,413206307,2,1,18180356612,73389,73389,2,2,2,413189923,7,3,22099,7960614,754124,55366,40566,5316845980,2322895,53934992,290
40062.59,8192,2,296540,19539695336,2,7,55,1,27,2628652,2,80767,5,7720956,56,1,4,43597,214375,2,3481,27,61280908,8764302,5735423578,27,49,2,1,2,2,610,1,5713600924,5712093483,83253065,444056430,444072814,2,1,19538482920,73389,73389,2,2,2,444056430,7,3,33501,10304489,967433,66970,43593,5713600924,2561682,60313350,290
45076.50,8192,2,348779,22982077532,2,7,55,1,27,3111055,2,95068,5,7720956,56,1,4,51276,230421,2,3481,27,69332947,9338829,6745793263,27,49,2,1,2,2,610,1,6720102812,6718320599,93594695,522308773,522308773,2,1,22980865116,73389,73389,2,2,2,522292389,7,3,36355,11556444,1106690,76890,51272,6720102812,3034165,68226132,290
50093.43,8192,2,362652,23896302048,2,7,55,1,27,3293182,2,98851,5,7720956,56,1,4,53314,339070,2,3481,27,73910251,13084154,7014021457,27,49,2,1,2,2,610,1,6987227548,6985588147,103850289,543083624,543083624,2,1,23894693108,73389,73389,2,2,2,543061207,7,3,37500,14096933,1268520,84727,53310,6987227548,3208455,72641425,290
