timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5019.68,2,8192,2,18288,1204627764,2,5,54,27,241380,1,4879,5,7455504,56,1,4,2707,50243,2,2851,27,2637981,2296304,355494059,27,43,2,1,2,2,642,1,354066844,352250363,5520556,27368967,27368967,2,1,1203513652,73389,73389,2,2,2,27352583,12,3,21732,2221702,256126,10972,2703,354066844,230408,2382271,270
10022.70,2,8192,2,50750,3343737284,2,5,54,27,554131,1,13732,5,7455504,56,1,4,7477,73392,2,2851,27,11868656,4129450,983102139,27,43,2,1,2,2,642,1,979280284,977625128,18836934,75983603,75983603,2,1,3342557636,73389,73389,2,2,2,75967219,12,3,30569,3671286,442545,20637,7473,979280284,533494,11426860,270
15026.58,2,8192,2,94530,6228565032,2,5,54,27,921109,1,25672,5,7455504,56,1,4,13911,73595,2,2851,27,16273583,4129481,1829579577,27,43,2,1,2,2,642,1,1822597532,1820923376,24272913,141547870,141547870,2,1,6228106280,73389,73389,2,2,2,141547870,12,3,30569,4316336,523074,27385,13907,1822597532,893724,15750811,270
20031.10,2,8192,2,144910,9548319448,2,5,54,27,1350217,1,39412,5,7455504,56,1,4,21314,73796,2,2851,27,30274043,4129786,2803512721,27,43,2,1,2,2,642,1,2792923548,2791325454,40967212,216996834,216996834,2,1,9547139800,73389,73389,2,2,2,216980450,12,3,38761,5082886,649932,35190,21310,2792923548,1315027,29623653,270
25034.60,2,8192,2,190988,12584545280,2,5,54,27,1715697,1,51925,5,7455504,56,1,4,28085,74024,2,2851,27,39526928,4129993,3694324997,27,43,2,1,2,2,642,1,3680412060,3678841634,52097692,286003456,286003456,2,1,12584152064,73389,73389,2,2,2,286003456,12,3,50673,5757996,761978,42280,28081,3680412060,1673417,38764605,270
30038.77,2,8192,2,256710,16915327500,2,5,55,27,2292742,1,69904,5,7720956,56,1,4,37745,74130,2,2851,27,48406140,4130272,4965314640,27,43,2,1,2,2,642,1,4946567580,4944865807,62784252,384426601,384426601,2,1,16914770444,73389,73389,2,2,2,384426601,12,3,53803,6778353,893878,53097,37741,4946567580,2239645,47511551,270
35048.58,2,8192,2,275387,18145979672,2,5,55,27,2507683,1,75046,5,7720956,56,1,4,40490,149896,2,2851,27,53130641,7339110,5326557655,27,43,2,1,2,2,642,1,5306360220,5304606209,72725714,412397458,412397458,2,1,18145488152,73389,73389,2,2,2,412397458,12,3,54455,9147625,1012935,61367,40487,5306360220,2446316,52116769,270
40058.59,2,8192,2,282721,18629275216,2,5,55,27,2614205,1,77053,5,7720956,56,1,4,41568,250013,2,2851,27,55640354,12174031,5468621368,27,43,2,1,2,2,642,1,5447786908,5445932112,82750066,423369532,423385916,2,1,18628259408,73389,73389,2,2,2,423369532,12,3,57528,11967290,1105540,66261,41565,5447786908,2547944,54533168,270
45081.39,2,8192,2,290502,19141865352,2,5,55,27,2731018,1,79174,5,7720956,56,1,4,42711,439396,2,2851,27,58099707,17062663,5618970180,27,43,2,1,2,2,642,1,5597471132,5595772568,92409923,435029734,435029734,2,1,19140587400,73389,73389,2,2,2,435013350,12,3,61738,14774374,1203051,77302,42707,5597471132,2653716,56894602,270
50084.92,2,8192,2,316131,20830778316,2,5,55,27,2971439,1,86164,5,7720956,56,1,4,46476,517855,2,2851,27,62251904,19131287,6114370752,27,43,2,1,2,2,642,1,6090957212,6089466091,100383568,473415609,473415609,2,1,20829565900,73389,73389,2,2,2,473399225,12,3,62455,16549867,1311787,85509,46472,6090957212,2885930,60937856,270
