timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5018.47,1,8192,2,14380,947185816,2,6,54,27,204179,2,3814,5,7455504,56,1,4,2132,44930,2,10485,27,2025652,3127375,279840592,27,66,2,1,2,2,920,1,278700444,277011724,5616317,21506098,21522482,2,1,946268312,73389,73389,2,2,2,21506098,12,3,15997,2678788,232253,20046,2128,278700444,184133,1793475,498
10021.79,1,8192,2,63334,4172954992,2,6,54,27,613525,2,17164,5,7455504,56,1,4,9325,53834,2,10485,27,12435941,4303194,1226232754,27,66,2,1,2,2,920,1,1221501340,1220012316,19964094,94829460,94829460,2,1,4171775344,73389,73389,2,2,2,94813076,12,3,23936,3777612,366289,29580,9321,1221501340,583945,12070140,498
15025.42,1,8192,2,109408,7208918680,2,6,54,27,982118,2,29731,5,7455504,56,1,4,16098,54021,2,10485,27,21016754,4303355,2117293006,27,66,2,1,2,2,920,1,2109251996,2107483123,30337188,163819698,163836082,2,1,7208066712,73389,73389,2,2,2,163819698,12,3,32395,4436905,455666,36744,16094,2109251996,945374,20561905,498
20030.04,1,8192,2,154742,10196120276,2,6,54,27,1361318,2,42094,5,7455504,56,1,4,22760,54153,2,10485,27,25413486,4303621,2993732729,27,66,2,1,2,2,920,1,2982453660,2980698857,35790534,231706175,231722559,2,1,10195071700,73389,73389,2,2,2,231706175,12,3,35212,5096453,525155,43777,22756,2982453660,1317541,24889399,498
25037.13,1,8192,2,199662,13156189968,2,6,54,27,1703034,2,54346,5,7455504,56,1,4,29362,54349,2,10485,27,37492581,4303977,3862285975,27,66,2,1,2,2,920,1,3847791004,3845933716,49941801,298986444,299002828,2,1,13155403536,73389,73389,2,2,2,298986444,12,3,43199,5730614,639226,50723,29358,3847791004,1652311,36854050,498
30051.42,1,8192,2,226928,14952916268,2,6,55,27,1974301,2,61837,5,7720956,56,1,4,33368,119352,2,10485,27,45395644,6348622,4389390922,27,66,2,1,2,2,920,1,4372865436,4371213872,61430505,339817409,339833793,2,1,14951965996,73389,73389,2,2,2,339817409,12,3,45246,7659485,783812,59892,33364,4372865436,1914409,44611904,498
35055.79,1,8192,2,260779,17183320744,2,6,55,27,2302841,2,71050,5,7720956,56,1,4,38341,160276,2,10485,27,48587719,7721424,5043668564,27,66,2,1,2,2,920,1,5024686492,5023203892,66852401,390518846,390518846,2,1,17182108328,73389,73389,2,2,2,390502462,12,3,47099,9355218,905705,69067,38337,5024686492,2233774,47682649,498
40061.63,1,8192,2,312333,20580545328,2,6,55,27,2763885,2,85107,5,7720956,56,1,4,45919,160636,2,10485,27,62399444,8114822,6040661150,27,66,2,1,2,2,920,1,6017950108,6016330636,83274325,467716580,467732964,2,1,20579529520,73389,73389,2,2,2,467716580,12,3,56284,10167519,1034153,77290,45915,6017950108,2686595,61365254,498
45066.52,1,8192,2,367337,24204930920,2,6,55,27,3218622,2,100075,5,7720956,56,1,4,54001,161263,2,10485,27,71551451,8115007,7104035351,27,66,2,1,2,2,920,1,7077274012,7075804234,93969934,550099406,550099406,2,1,24204373864,73389,73389,2,2,2,550099406,12,3,57332,11012613,1132897,86824,53997,7077274012,3131798,70419182,498
50081.35,1,8192,2,388996,25632073252,2,6,55,27,3458933,2,106037,5,7720956,56,1,4,57184,219502,2,10485,27,75768859,10976153,7522890876,27,66,2,1,2,2,920,1,7494476188,7492995733,102145469,582534459,582550843,2,1,25631516196,73389,73389,2,2,2,582534459,12,3,57377,13338860,1273000,95232,57180,7494476188,3363701,74496805,498
