timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5027.03,1,8192,2,19737,1300120332,2,8,54,27,270258,18,5275,5,7455504,56,1,4,2920,43529,2,11459,27,2731507,2333275,383382967,27,55,2,1,2,2,867,1,381854108,380166358,5665301,29527337,29543721,2,1,1299202828,73389,73389,2,2,2,29527337,11,3,8902,2231130,202971,27477,2916,381854108,242781,2527982,406
10031.70,1,8192,2,70061,4616204732,2,8,54,27,679463,18,19000,5,7455504,56,1,4,10316,53761,2,11459,27,14410286,3004321,1356473612,27,55,2,1,2,2,867,1,1351262620,1349572924,20078587,104894381,104910765,2,1,4615352764,73389,73389,2,2,2,104894381,11,3,14248,3232514,335260,36849,10312,1351262620,642614,14075354,406
15036.57,1,8192,2,117586,7747792060,2,8,54,27,1066832,18,31960,5,7455504,56,1,4,17301,54012,2,11459,27,18756274,3004467,2275552899,27,55,2,1,2,2,867,1,2266931612,2265035880,25537075,176075757,176075757,2,1,7746612412,73389,73389,2,2,2,176059373,11,3,14248,3937780,403345,44144,17297,2266931612,1022688,18353434,406
20047.31,1,8192,2,141802,9343571752,2,8,54,27,1325339,18,38556,5,7455504,56,1,4,20859,98876,2,11459,27,28892997,5105805,2743726002,27,55,2,1,2,2,867,1,2733285788,2731431014,39571893,212336030,212352414,2,1,9342785320,73389,73389,2,2,2,212336030,11,3,15253,5924363,569413,53083,20855,2733285788,1272256,28323929,406
25061.67,1,8192,2,154179,10158958056,2,8,54,27,1488090,18,41939,5,7455504,56,1,4,22678,185355,2,11459,27,33823832,9112781,2983145045,27,55,2,1,2,2,867,1,2971705756,2969805183,51067987,230864558,230880942,2,1,10158040552,73389,73389,2,2,2,230864558,11,3,18367,8466866,709045,63389,22674,2971705756,1424701,33114169,406
30066.57,1,8192,2,178083,11734290516,2,8,54,27,1733030,18,48460,5,7455504,56,1,4,26193,239856,2,11459,27,38919185,11546291,3445664147,27,55,2,1,2,2,867,1,3432423836,3430313434,60058604,266666079,266682463,2,1,11733307476,73389,73389,2,2,2,266666079,11,3,21288,10458384,871803,73270,26189,3432423836,1659760,38046132,406
35072.21,1,8192,2,224919,14820458088,2,8,55,27,2127628,18,61277,5,7720956,56,1,4,33074,240452,2,11459,27,48565058,11653186,4350825152,27,55,2,1,2,2,867,1,4334199196,4332497596,71980464,336817422,336817422,2,1,14819966568,73389,73389,2,2,2,336817422,11,3,29958,11211440,984097,81040,33070,4334199196,2046588,47580106,406
40086.22,1,8192,2,256974,16932629004,2,8,55,27,2437038,18,70030,5,7720956,56,1,4,37784,276388,2,11459,27,55815866,13611229,4970700222,27,55,2,1,2,2,867,1,4951679388,4949925914,83009518,384819817,384819817,2,1,16932071948,73389,73389,2,2,2,384819817,11,3,34498,12955366,1102092,89296,37780,4951679388,2347742,54712862,406
45091.33,1,8192,2,280349,18473027468,2,8,55,27,2683462,18,76354,5,7720956,56,1,4,41219,339851,2,11459,27,61613787,16576465,5422704804,27,55,2,1,2,2,867,1,5401911708,5400250507,93419799,419828873,419845257,2,1,18472470412,73389,73389,2,2,2,419828873,11,3,46586,15144616,1251928,97735,41215,5401911708,2585727,60360148,406
50097.10,1,8192,2,329476,21710134372,2,8,55,27,3086161,18,89749,5,7720956,56,1,4,48439,341284,2,11459,27,70651276,16576828,6372627931,27,55,2,1,2,2,867,1,6348251548,6346548625,103924795,493397995,493397995,2,1,21708790884,73389,73389,2,2,2,493381611,11,3,58061,15935543,1370953,107745,48435,6348251548,2978416,69278254,406
55101.79,1,8192,2,375058,24713588896,2,8,55,27,3460637,18,102189,5,7720956,56,1,4,55137,342447,2,11459,27,79649121,16577163,7253784870,27,55,2,1,2,2,867,1,7226040732,7224520463,114353392,561644920,561661304,2,1,24712376480,73389,73389,2,2,2,561644920,11,3,68462,16679755,1484261,117327,55133,7226040732,3343310,78162071,406
