timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5029.36,8192,2,8807,580095524,2,8,54,1,27,135691,7,2291,5,7455504,56,1,4,1314,156673,2,1841,27,2722329,4987136,172226465,27,58,2,1,2,2,818,1,171483548,169689213,9690635,13173563,13173563,2,1,578915876,73389,73389,2,2,2,13157179,14,3,6221,3103810,124676,12677,1310,171483548,123014,2597698,445
10034.26,8192,2,31648,2084966860,2,8,54,1,27,382685,7,8524,5,7455504,56,1,4,4669,212962,2,1841,27,6081307,7526517,613670905,27,58,2,1,2,2,818,1,611230108,609608664,17239290,47367737,47384121,2,1,2084180428,73389,73389,2,2,2,47367737,14,3,9785,5148797,243412,20273,4665,611230108,362412,5838133,445
15039.10,8192,2,80915,5331514256,2,8,54,1,27,839118,7,21961,5,7455504,56,1,4,11911,213285,2,1841,27,10364922,7526730,1566381852,27,58,2,1,2,2,818,1,1560453532,1558659737,22785962,121155884,121172268,2,1,5330858896,73389,73389,2,2,2,121155884,14,3,10201,5946268,340691,27962,11907,1560453532,811156,10024047,445
20043.04,8192,2,127706,8414732708,2,8,54,1,27,1244473,7,34720,5,7455504,56,1,4,18788,213409,2,1841,27,14711846,7526915,2471084799,27,58,2,1,2,2,818,1,2461835676,2459980897,28259268,191233499,191233499,2,1,8413553060,73389,73389,2,2,2,191217115,14,3,10201,6659971,418127,35073,18784,2461835676,1209400,14293117,445
25047.04,8192,2,172666,11377158388,2,8,54,1,27,1628588,7,46984,5,7455504,56,1,4,25393,213526,2,1841,27,19093486,7527212,3340014615,27,58,2,1,2,2,818,1,3327566236,3325921424,33726295,258556887,258573271,2,1,11376503028,73389,73389,2,2,2,258556887,14,3,11162,7344207,498032,41852,25389,3327566236,1586736,18594146,445
30062.22,8192,2,208771,13756342816,2,8,55,1,27,1946630,7,56884,5,7720956,56,1,4,30698,258984,2,1841,27,42740798,8762097,4037953261,27,58,2,1,2,2,818,1,4022903196,4021414746,62022739,312616600,312632984,2,1,13755130400,73389,73389,2,2,2,312616600,14,3,16243,8614781,668952,49424,30694,4022903196,1897206,42070255,445
35080.85,8192,2,216025,14234395480,2,8,55,1,27,2047685,7,58864,5,7720956,56,1,4,31764,347720,2,1841,27,45225624,13574605,4178288179,27,58,2,1,2,2,818,1,4162625948,4161113397,71755030,323490370,323506754,2,1,14233576280,73389,73389,2,2,2,323490370,14,3,17521,11423910,771276,54414,31760,4162625948,1993271,44453084,445
40093.24,8192,2,222082,14633470648,2,8,55,1,27,2138158,7,60516,5,7720956,56,1,4,32657,624699,2,1841,27,47146659,19698663,4295865366,27,58,2,1,2,2,818,1,4279673244,4277837777,81168766,332566218,332566218,2,1,14632913592,73389,73389,2,2,2,332566218,14,3,21729,14772490,840713,59574,32653,4279673244,2078584,46304397,445
45115.78,8192,2,227808,15010853400,2,8,55,1,27,2243861,7,62069,5,7720956,56,1,4,33496,851336,2,1841,27,48916118,25551291,4406332821,27,58,2,1,2,2,818,1,4389642652,4388156417,90459510,341134162,341150546,2,1,15009903128,73389,73389,2,2,2,341134162,14,3,25637,18204627,924572,86061,33493,4389642652,2157800,47989897,445
50136.99,8192,2,235680,15529624500,2,8,55,1,27,2358743,7,64216,5,7720956,56,1,4,34654,983879,2,1841,27,52011192,31770372,4558778276,27,58,2,1,2,2,818,1,4541424028,4539807674,102716632,352909052,352931469,2,1,15527998288,73389,73389,2,2,2,352909052,14,3,27132,21255894,1026176,91370,34650,4541424028,2267373,50983469,445
