timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.67,8192,2,33258,2191022790,2,5,54,1,27,350936,8,8962,5,1,7455504,56,1,4,4907,13966,2,7255,27,6384103,866805,644874739,27,35,2,1,2,2,1088,1,642425244,640669904,8219695,49771867,49788251,2,1,2189962148,73389,73389,2,2,2,49771867,12,3,2817,1260925,205141,11655,4903,642425244,339281,6179361,294
10018.64,8192,2,80680,5315847844,2,5,54,1,27,747212,8,21895,5,1,7455504,56,1,4,11878,13979,2,7255,27,10744721,867185,1561976680,27,35,2,1,2,2,1088,1,1556128156,1554087296,13692694,120805787,120805787,2,1,5314733732,73389,73389,2,2,2,120789403,12,3,2821,1961373,272469,18881,11874,1556128156,728331,10472768,294
15022.70,8192,2,136170,8972349384,2,5,54,1,27,1218448,8,36976,5,1,7455504,56,1,4,20029,14028,2,7255,27,25933119,873311,2634234744,27,35,2,1,2,2,1088,1,2624364956,2622942721,31450706,203899158,203915542,2,1,8971562952,73389,73389,2,2,2,203899158,12,3,8574,2766744,402537,27616,20025,2624364956,1190832,25530990,294
20034.32,8192,2,161435,10637141792,2,5,54,1,27,1520500,8,43919,5,1,7455504,56,1,4,23743,41742,2,7255,27,29346461,2524631,3123077108,27,35,2,1,2,2,1088,1,3111297436,3109576776,37280510,241738328,241754712,2,1,10636486432,73389,73389,2,2,2,241738328,12,3,8584,4590871,580940,43851,23739,3111297436,1476649,28766108,294
25038.29,8192,2,201463,13274751208,2,5,55,1,27,1911085,8,54848,5,1,7720956,56,1,4,29625,54687,2,7255,27,41515080,3260140,3896809418,27,35,2,1,2,2,1088,1,3882131868,3880644570,52266542,301677294,301693678,2,1,13273800936,73389,73389,2,2,2,301677294,12,3,11021,5567427,728696,52245,29621,3882131868,1858840,40786576,294
30050.95,8192,2,228362,15047425796,2,5,55,1,27,2197208,8,62219,5,1,7720956,56,1,4,33578,84417,2,7255,27,48587796,5131387,4417071367,27,35,2,1,2,2,1088,1,4400390556,4398880683,62661928,341959395,341975779,2,1,15046213380,73389,73389,2,2,2,341959395,12,3,11596,7377910,877475,63659,33574,4400390556,2133549,47710346,294
35059.86,8192,2,258590,17039066084,2,5,55,1,27,2517334,8,70471,5,1,7720956,56,1,4,38020,116498,2,7255,27,52325701,6444064,5001521282,27,35,2,1,2,2,1088,1,4982612380,4981077494,68596911,387223947,387240331,2,1,17037853668,73389,73389,2,2,2,387223947,12,3,12401,8979132,1008624,74309,38016,4982612380,2443025,51317813,294
40072.85,8192,2,278948,18380680628,2,5,55,1,27,2780263,8,76020,5,1,7720956,56,1,4,41011,181333,2,7255,27,54997402,8519737,5395114349,27,35,2,1,2,2,1088,1,5374648732,5373227119,73959557,417719655,417736039,2,1,18379664820,73389,73389,2,2,2,417719655,12,3,12467,11095192,1165586,87271,41007,5374648732,2692992,53832864,294
45077.06,8192,2,342961,22598665468,2,5,55,1,27,3292813,8,93427,5,1,7720956,56,1,4,50419,182958,2,7255,27,71369993,9154430,6632937773,27,35,2,1,2,2,1088,1,6607774108,6606268278,94111989,513593373,513593373,2,1,22598108412,73389,73389,2,2,2,513593373,12,3,23442,12076432,1339622,98313,50415,6607774108,3194500,70031663,294
50099.29,8192,2,388769,25617196580,2,5,55,1,27,3711591,8,105976,5,1,7720956,56,1,4,57151,194873,2,7255,27,77568334,10182418,7518703732,27,35,2,1,2,2,1088,1,7490150812,7488550444,102542851,582190395,582206779,2,1,25616377380,73389,73389,2,2,2,582190395,12,3,24002,13560259,1462379,126453,57147,7490150812,3585138,76106921,294
55107.50,8192,2,396021,26094852720,2,5,55,1,27,3818250,8,107953,5,1,7720956,56,1,4,58216,368702,2,7255,27,81397593,15339404,7658915613,27,35,2,1,2,2,1088,1,7629742492,7628279179,114473988,593041748,593058132,2,1,26093836912,73389,73389,2,2,2,593041748,12,3,24989,16585420,1554059,131887,58213,7629742492,3686363,79844390,294
