timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5018.51,8192,2,19688,1296909068,2,7,54,1,27,257053,1,5263,5,7455504,56,1,4,2913,53410,2,2767,27,2850525,2375475,382581281,27,62,2,1,2,2,538,1,381067676,379218701,5996887,29461801,29478185,2,1,1296319244,73389,73389,2,2,2,29461801,11,3,21319,2223942,248042,11601,2909,381067676,245452,2602398,380
10024.24,8192,2,64399,4243016284,2,7,54,1,27,651255,1,17455,5,7455504,56,1,4,9484,53444,2,2767,27,7234927,2375786,1247057540,27,62,2,1,2,2,538,1,1242341788,1240477386,11465751,96408357,96424741,2,1,4241967708,73389,73389,2,2,2,96408357,11,3,21323,2896797,308503,18864,9480,1242341788,632391,6926048,380
15028.98,8192,2,109039,7184735896,2,7,54,1,27,1037188,1,29629,5,7455504,56,1,4,16043,53502,2,2767,27,11621950,2376029,2109955468,27,62,2,1,2,2,538,1,2102043036,2100419375,16925910,163279026,163279026,2,1,7183556248,73389,73389,2,2,2,163262642,11,3,21357,3561969,372801,25799,16039,2102043036,1011389,11249138,380
20040.36,8192,2,142556,9393251348,2,7,54,1,27,1394994,1,38768,5,7455504,56,1,4,20971,69825,2,2767,27,15424997,3037429,2758324681,27,62,2,1,2,2,538,1,2747965852,2746004575,22363280,213456175,213472559,2,1,9392071700,73389,73389,2,2,2,213456175,11,3,24888,4756035,529627,35946,20967,2747965852,1359048,14895034,380
25044.72,8192,2,175622,11571944612,2,7,54,1,27,1743500,1,47788,5,7455504,56,1,4,25828,82233,2,2767,27,35868681,4235367,3397355797,27,62,2,1,2,2,538,1,3384582556,3382859742,47522548,262988315,262988315,2,1,11570764964,73389,73389,2,2,2,262971931,11,3,33972,5968817,765705,47587,25824,3384582556,1695913,35102604,380
30060.64,8192,2,208627,13746905632,2,7,55,1,27,2093481,1,56821,5,7720956,56,1,4,30679,92636,2,2767,27,47251984,5043206,4035597830,27,62,2,1,2,2,538,1,4020412828,4018685838,61454311,312403608,312419992,2,1,13745758752,73389,73389,2,2,2,312403608,11,3,37635,7161479,932598,59453,30675,4020412828,2034028,46318447,380
35070.49,8192,2,241162,15890799280,2,7,55,1,27,2422860,1,65703,5,7720956,56,1,4,35457,105169,2,2767,27,54041539,5843643,4664239141,27,62,2,1,2,2,538,1,4646674844,4645371315,69947707,361132932,361149316,2,1,15889849008,73389,73389,2,2,2,361132932,11,3,39122,8349806,1103969,71579,35454,4646674844,2351281,52937905,380
40080.62,8192,2,265074,17466390576,2,7,55,1,27,2747051,1,72233,5,7720956,56,1,4,38972,134645,2,2767,27,57415228,7115538,5126755692,27,62,2,1,2,2,538,1,5107392924,5105949808,75380342,396944804,396961188,2,1,17465571376,73389,73389,2,2,2,396944804,11,3,39505,9910244,1308401,85716,38968,5107392924,2661335,56106921,380
45096.60,8192,2,285802,18832253440,2,7,55,1,27,3015756,1,77893,5,7720956,56,1,4,42020,196887,2,2767,27,60290674,8954996,5527834967,27,62,2,1,2,2,538,1,5506900380,5505274756,80741854,427981184,427997568,2,1,18831172096,73389,73389,2,2,2,427981184,11,3,42056,11877298,1489229,98155,42016,5506900380,2917601,58801222,380
50104.79,8192,2,297958,19633156288,2,7,55,1,27,3185238,1,81168,5,7720956,56,1,4,43807,298892,2,2767,27,75314934,13196491,5762906460,27,62,2,1,2,2,538,1,5740994972,5739382720,103225237,446182032,446198416,2,1,19632009408,73389,73389,2,2,2,446182032,11,3,45410,14383241,1630224,106219,43803,5740994972,3079019,73683142,380
55121.34,8192,2,314151,20700220680,2,7,55,1,27,3403726,1,85624,5,7720956,56,1,4,46187,331408,2,2767,27,81570320,16070633,6076247214,27,62,2,1,2,2,538,1,6053077404,6051304534,114127266,470448390,470448390,2,1,20699008264,73389,73389,2,2,2,470432006,11,3,45856,16548322,1770548,116423,46183,6053077404,3287303,79798452,380
60130.45,8192,2,323642,21325673732,2,7,55,1,27,3549982,1,88209,5,7720956,56,1,4,47580,482458,2,2767,27,84874172,20622624,6259615748,27,62,2,1,2,2,538,1,6235660700,6234156254,124500271,484649827,484666211,2,1,21324592388,73389,73389,2,2,2,484649827,11,3,51173,19220170,1896045,132020,47576,6235660700,3417962,82977137,380
65136.84,8192,2,346310,22819328000,2,7,55,1,27,3798675,1,94374,5,7720956,56,1,4,50911,569997,2,2767,27,88507751,23249257,6697913624,27,62,2,1,2,2,538,1,6672261532,6670707458,132429514,518598241,518620658,2,1,22818322604,73389,73389,2,2,2,518598241,11,3,54034,21154917,2024233,140470,50907,6672261532,3658205,86483461,380
70149.17,8192,2,369811,24367863340,2,7,55,1,27,4110771,1,100804,5,7720956,56,1,4,54364,596687,2,2767,27,96323385,24672330,7152283601,27,62,2,1,2,2,538,1,7124853148,7123410076,142676179,553803905,553803905,2,1,24367371820,73389,73389,2,2,2,553803905,11,3,59510,22735143,2251945,154527,54361,7124984220,3956311,94071706,380
