timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
19332.22,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
21336.15,253952,62,23670,1558416390,0,0,0,0,33,33,5138,118,675,119638,18,2480,48,117,140034434,1352,1,0,47,47,4,14,236,675,0,0,0,2191211,49,509051225,0,675,259,8,1,2,1,14,14,319,1,510524208,459358699,2344612,35052619,35069003,1,2,1,1542315236,73389,73389,14,14,14,35052619,7,3,468115,121695,856257,3914,510524208,119638,1335053,1607
23340.07,253952,62,47703,3142178862,0,0,0,0,33,33,5138,121,675,223031,18,9197,48,117,140565338,1352,1,0,47,47,4,14,236,675,0,0,0,6476264,89,969943765,0,675,259,8,1,2,1,14,14,319,1,973077296,922397220,10051637,71028331,71050748,1,2,1,3125246564,73389,73389,14,14,14,71028331,7,3,473744,227579,1006603,7443,973077296,223031,5469949,1607
25344.21,253952,62,71507,4710716402,0,0,0,0,33,33,5138,125,675,322341,18,15911,48,117,141361694,1352,1,0,47,47,4,14,236,675,0,0,0,10840135,262,1429130198,0,675,259,8,1,2,1,14,14,319,1,1431436080,1380922561,18026661,106706972,106706972,1,2,1,4694385872,73389,73389,14,14,14,106690588,7,3,479902,329338,1123525,10940,1431436080,322341,9717076,1607
27349.71,253952,62,94644,6235251846,0,0,0,1,33,33,5138,129,675,432586,18,22446,48,117,141892598,1352,1,0,47,47,4,14,236,675,0,0,0,15227240,6196,1873510651,0,675,259,8,1,2,1,14,14,319,1,1876818736,1826536774,31396765,141357739,141357739,1,2,1,6219019620,73389,73389,14,14,14,141341355,7,3,489326,442104,1266559,14338,1876818736,432586,13961319,1607
29355.38,253952,62,116411,7669472066,1,1000066,0,1,33,33,5138,133,675,553469,18,28598,48,117,142423502,1352,1,0,47,47,4,14,236,675,0,0,0,20080284,45934,2294572196,0,675,259,8,1,2,1,14,14,319,1,2295855920,2245830909,48509653,173940248,173956632,1,2,1,7653370912,73389,73389,14,14,14,173940248,7,3,504851,565757,1462793,17535,2295855920,553469,18618323,1607
31360.96,253952,62,137430,9054405906,1,1000066,0,2,33,33,5138,136,675,683197,18,34500,48,117,142942340,1352,1,0,47,47,4,14,236,675,0,0,0,24956172,204261,2698061195,0,675,259,8,1,2,1,14,14,319,1,2700344112,2650724299,67636433,205410804,205427188,1,2,1,9038075376,73389,73389,14,14,14,205410804,7,3,523238,698378,1655902,20621,2700344112,683197,23301292,1607
33366.93,253952,62,158241,10425383886,2,2000380,0,2,33,33,5138,140,675,813302,18,40388,48,117,143738696,1352,1,0,47,47,4,14,236,675,0,0,0,29990092,391726,3096934144,0,675,259,8,1,2,1,14,14,319,1,3100085200,3051331337,79154277,236576097,236592481,1,2,1,10409348268,73389,73389,14,14,14,236576097,7,3,543013,831353,1849119,23674,3100085200,813302,28142178,1607
35372.26,253952,62,179153,11803039922,3,3002416,0,4,33,33,5138,143,675,929710,18,46256,48,117,144004148,1352,1,0,47,47,4,14,236,675,0,0,0,34882392,603658,3502660172,0,675,259,8,1,2,1,14,14,319,1,3502738384,3454040888,102776774,267901356,267901356,1,2,1,11786938768,73389,73389,14,14,14,267884972,7,3,560387,950530,2017340,26746,3502738384,929710,32866454,1607
37378.47,253952,62,200558,13213536110,4,4002484,0,4,33,33,5138,146,675,1045966,18,52259,48,117,144535052,1352,1,0,47,47,4,14,236,675,0,0,0,39734276,688165,3914297222,0,675,259,8,1,2,1,14,14,319,1,3914828752,3866377781,127631418,299943193,299959577,1,2,1,13197500492,73389,73389,14,14,14,299943193,7,3,564097,1069610,2167785,29890,3914828752,1045966,37568087,1607
