timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
19907.29,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
21911.17,0,253952,62,7543,496582324,0,1465241,19,3,3,8018,96,0,558,42445,26,2928,13,24,95770923,1118,1,4,548,9240708,5,36833724,12,17,14,9,267,558,2876252,95,192401897,558,256,3,1,14,14,968,3,192553291,159152377,4342235,9372919,9372919,1,3,1,487391820,73389,73389,14,14,14,9372923,6,3,81860,43451,169464,1633,192553291,42445,2706894,1075
23915.31,1,253952,62,15706,1033736638,1,3733011,59,3,3,8018,175,0,558,80089,26,6175,13,24,97013721,1118,1,4,548,19435107,5,77740428,12,17,14,9,267,558,5940026,193,358229622,558,256,3,1,14,14,968,3,358401163,328012280,9672381,19712494,19712494,1,3,1,1025049720,73389,73389,14,14,14,19712498,6,3,86761,82159,209600,3061,358401163,80089,5730643,1075
25920.08,1,253952,62,25299,1666176012,1,5359568,85,4,4,8018,204,0,558,125825,26,9928,14,24,99197667,1118,1,4,548,31426839,5,125707356,13,18,14,9,275,558,9693029,327,552930577,558,256,3,1,14,14,968,3,552575864,527109598,15052194,31876282,31876282,1,3,1,1657566696,73389,73389,14,14,14,31876286,6,3,94463,129125,272685,4608,552575864,125825,9420693,1075
27925.49,1,253952,62,35695,2350034194,1,7089776,137,4,4,8018,299,0,567,184130,26,14035,14,24,101674309,1136,1,4,548,44357753,5,177431012,13,18,14,9,275,567,14051802,3954,769843593,567,259,3,1,14,14,968,3,769577861,742617604,21144928,45023554,45023554,1,3,1,2341224840,73389,73389,14,14,14,45023558,6,3,99801,188975,343799,6468,769577861,184130,13708537,1098
29934.78,1,253952,62,45541,2999030044,1,8518155,204,4,4,8018,336,1,567,245764,26,17891,14,24,103822057,1136,1,4,548,56673092,5,226692368,13,18,14,9,275,567,18622639,29671,974268896,567,259,3,1,14,14,968,3,973676453,946883631,27162618,57498638,57498638,1,3,1,2989929208,73389,73389,14,14,14,57498642,6,3,106406,252155,427966,8120,973676453,245764,18195417,1098
31945.49,2,253952,62,55154,3631875188,1,9929760,279,4,4,8018,427,1,567,311445,26,21693,14,24,104799403,1136,1,4,548,68655380,5,274556924,13,18,14,9,275,567,23202498,55414,1178511022,567,259,3,1,14,14,968,3,1178379744,1146456234,33173065,69652519,69652519,1,3,1,3621931020,73389,73389,14,14,14,69652523,6,3,113694,319438,512115,9885,1178379744,311445,22691318,1098
33952.16,2,253952,62,64638,4257460722,1,11427363,345,4,4,8018,463,1,567,371588,26,25409,14,24,107900365,1136,1,4,548,80500809,5,322003236,13,18,14,9,275,567,27725553,80118,1371632962,567,259,3,1,14,14,968,3,1370785666,1343510651,39210651,81683076,81683076,1,3,1,4247519984,73389,73389,14,14,14,81683080,6,3,119316,381090,574152,11435,1370785666,371588,27152525,1098
35958.19,2,253952,62,74165,4884983486,1,12902582,415,4,4,8018,535,1,567,437293,26,29162,14,24,109493077,1136,1,4,548,92387398,5,369484944,13,18,14,9,275,567,32238976,106409,1575755983,567,259,3,1,14,14,968,3,1575755891,1541341032,45216480,93720110,93736494,1,3,1,4873445752,73389,73389,14,14,14,93720114,6,3,122772,448384,663129,13165,1575755891,437293,31577160,1098
37967.19,2,253952,62,83601,5506868256,1,14515364,477,4,4,8018,586,1,567,496909,26,32868,14,24,111061657,1136,1,4,548,104169359,5,416621612,13,18,14,9,275,567,36649712,120294,1770810626,567,259,3,1,14,14,968,3,1770110026,1737065558,51249322,105689449,105689449,1,3,1,5494999412,73389,73389,14,14,14,105673069,6,3,128601,509516,736149,14750,1770110026,496909,35915070,1098
39973.95,9,253952,62,92940,6122021988,1,16102827,539,4,4,8018,652,1,567,558296,26,36545,14,24,111701155,1136,1,4,548,115794354,5,463177416,13,18,14,9,275,567,41072770,148744,1969100042,567,259,3,1,14,14,968,3,1967883284,1930910197,57285066,117497107,117513491,1,3,1,6109849596,73389,73389,14,14,14,117497111,6,3,132315,572431,809185,16407,1967883284,558296,40265278,1098
41979.99,11,253952,62,102500,6752720984,1,17497106,584,4,4,8018,706,1,567,616471,26,40303,14,24,113655847,1136,1,4,548,127753431,5,510949260,13,18,14,9,275,567,45413829,154651,2163781287,567,259,3,1,14,14,968,3,2162627090,2129771313,63021245,129609584,129609584,1,3,1,6739698400,73389,73389,14,14,14,129609588,6,3,137243,632025,879220,18008,2162627090,616471,44536484,1098
43985.43,13,253952,62,112156,7389530446,1,19475144,617,4,4,8018,788,1,567,674572,26,44134,14,24,115103767,1136,1,4,548,139841318,5,559300760,13,18,14,9,275,567,49720573,156054,2367223163,567,259,3,1,14,14,968,3,2365182169,2330508494,69308182,141853133,141853133,1,3,1,7376362948,73389,73389,14,14,14,141853137,6,3,146307,691591,966269,19728,2365182169,674572,48756364,1098
45990.66,13,253952,62,122483,8069132096,1,20942822,675,4,4,8018,833,1,567,735559,26,48172,14,24,115103767,1136,1,4,548,152729722,5,610918888,13,18,14,9,275,567,54254215,156288,2581752564,567,259,3,1,14,14,968,3,2579908978,2544386679,75309127,154924518,154924518,1,3,1,8056074968,73389,73389,14,14,14,154924522,6,3,151998,754067,1050258,21466,2579908978,735559,53206216,1098
47996.11,13,253952,62,132731,8744485484,1,22568529,728,4,4,8018,915,1,576,800948,26,52217,14,24,116916644,1154,1,4,548,165488275,5,661953100,13,18,14,9,275,576,58652698,156617,2804694338,576,264,3,1,14,14,968,3,2803189506,2757607724,81303560,167882930,167882930,1,3,1,8729912392,73389,73389,14,14,14,167882934,6,3,179189,820956,1147354,23349,2803189506,800948,57507790,1125
50001.08,13,253952,62,143014,9421879246,1,24171044,786,4,4,8018,961,1,576,860282,26,56237,14,24,116916644,1154,1,4,548,178290991,5,713163964,13,18,14,9,275,576,63092245,156879,3018173983,576,264,3,1,14,14,968,3,3016936484,2970924967,87363553,180900845,180900845,1,3,1,9406843972,73389,73389,14,14,14,180900849,6,3,184139,881763,1217485,25084,3016936484,860282,61877396,1125
52006.31,14,253952,62,153305,10099169864,1,25803053,833,4,4,8018,1040,1,576,919507,26,60287,14,24,116916644,1154,1,4,548,191097940,5,764391760,13,18,14,9,275,576,67420984,157112,3236518178,576,264,3,1,14,14,968,3,3234257877,3185008435,93333537,193873926,193873926,1,3,1,10081444184,73389,73389,14,14,14,193873930,6,3,190763,942482,1298604,26913,3234257877,919507,66125192,1125
54011.26,14,253952,62,163581,10776997758,1,27581827,877,4,4,8018,1101,1,576,978701,26,64324,14,24,116916644,1154,1,4,548,203926868,5,815707472,13,18,14,9,275,576,71676210,157251,3457259539,576,264,3,1,14,14,968,3,3455929360,3398559914,99366378,206901748,206901748,1,3,1,10758038960,73389,73389,14,14,14,206885368,6,3,193997,1003152,1376653,28748,3455929360,978701,70302537,1125
56016.09,14,253952,62,173826,11451852888,1,29218468,915,4,4,8018,1161,1,576,1036270,26,68348,14,24,116916644,1154,1,4,548,216696761,5,866787044,13,18,14,9,275,576,75908399,157572,3677374384,576,264,3,1,14,14,968,3,3674535028,3611832140,105235678,219821359,219837743,1,3,1,11430710700,73389,73389,14,14,14,219821363,6,3,199712,1062142,1445708,30543,3674535028,1036270,74465834,1125
58020.79,14,253952,62,185157,12199484892,3,32746410,970,6,6,8018,1245,1,585,1102454,26,72804,16,24,118357797,1172,1,4,548,230789022,5,923091476,15,20,14,9,298,585,80705861,181180,3926482201,585,271,3,1,14,14,968,3,3923457389,3848254156,113591470,234147391,234147391,1,3,1,12175664364,73389,73389,14,14,14,234147395,6,3,211423,1130022,1553872,32628,3923457389,1102454,79155329,1147
60026.06,14,253952,62,195967,12911367862,3,34416585,1019,6,6,8018,1300,1,585,1160830,26,77021,16,24,118357797,1172,1,4,548,244219541,5,976749012,15,20,14,9,298,585,85054200,181268,4157879527,585,271,3,1,14,14,968,3,4155006359,4073160573,119608749,247787898,247787898,1,3,1,12884970728,73389,73389,14,14,14,247787902,6,3,213488,1189893,1612901,34522,4155006359,1160830,83444802,1147
62030.49,20,253952,62,206730,13620858402,3,36078871,1074,6,6,8018,1375,1,585,1219660,26,81264,16,24,118357797,1172,1,4,548,257664000,5,1030591428,15,20,14,9,298,585,89376755,181362,4389897011,585,271,3,1,14,14,968,3,4387733224,4297182918,125592237,261391319,261391319,1,3,1,13592348620,73389,73389,14,14,14,261391323,6,3,214951,1250215,1685897,36461,4387733224,1219660,87694527,1147
64042.85,21,253952,62,220045,14497850200,3,37835192,1142,9,9,8018,1470,2,585,1319576,26,86497,17,24,118671513,1172,1,4,548,274239053,5,1096891340,16,23,14,9,313,585,96224043,673235,4679210399,585,271,3,1,14,14,968,3,4675622741,4573754128,134675735,278220229,278220229,1,3,1,14467451940,73389,73389,14,14,14,278220233,6,3,227864,1352606,1841305,38871,4675622741,1319576,94386653,1147
66056.16,22,253952,62,235154,15494597528,3,40216128,1250,10,10,8018,1553,8,585,1461348,26,92433,18,24,118671513,1172,1,4,548,293094897,5,1172315104,17,24,14,9,324,585,105067470,1729970,4999354139,585,271,3,1,14,14,968,3,4995444848,4888534917,146904493,297327786,297327786,1,3,1,15461044904,73389,73389,14,14,14,297327790,6,3,237640,1497615,2022759,41502,4995444848,1461348,103048965,1147
68070.93,23,253952,62,250347,16494050568,4,43648871,1355,10,10,8018,1655,8,585,1593904,26,98381,18,24,118671513,1172,1,4,548,311985743,5,1247749216,17,24,14,9,324,585,113916404,2556042,5324049845,585,271,3,1,14,14,968,3,5320060118,5203913700,159990021,316503926,316503926,1,3,1,16458204184,73389,73389,14,14,14,316503930,6,3,245317,1633484,2181142,44201,5320060118,1593904,111739846,1147
70080.62,23,253952,62,265548,17494993176,4,47208519,1477,11,11,8018,1754,9,585,1731730,26,104340,18,24,118671513,1172,1,4,548,330854435,5,1323353340,17,25,14,9,324,585,122735122,3446241,5656080934,585,271,3,1,14,14,968,3,5651665606,5520583762,173123035,335657205,335657205,1,3,1,17453322724,73389,73389,14,14,14,335640825,6,3,255117,1774619,2337437,46958,5651665606,1731730,120401598,1147
72090.43,25,253952,62,280168,18460344964,5,50466981,1586,11,11,8018,1847,9,585,1856536,26,110101,18,24,118671513,1172,1,4,548,349091198,5,1396364792,17,25,14,9,324,585,131539896,4439612,5970520584,585,271,3,1,14,14,968,3,5965923832,5825588422,186240205,354154236,354154236,1,3,1,18416020304,73389,73389,14,14,14,354154240,6,3,259057,1902656,2487630,49562,5965923832,1856536,129057489,1147
74103.57,29,253952,62,294786,19422754302,5,52741324,1695,12,12,8018,1942,10,585,1993897,26,115826,18,24,118671513,1172,1,4,548,367282670,5,1469001276,17,26,14,9,324,585,140379598,5259841,6291462197,585,271,3,1,14,14,968,3,6286430094,6129991312,198128109,372572394,372572394,1,3,1,19373764520,73389,73389,14,14,14,372572398,6,3,265575,2043242,2650219,52219,6286430094,1993897,137734909,1147
76113.91,31,253952,62,309580,20395865422,6,56349747,1809,12,12,8018,2039,11,585,2130436,26,121610,18,24,118671513,1172,1,4,548,385592641,5,1542370564,17,26,14,9,324,585,149178332,6141741,6614506692,585,271,3,1,14,14,968,3,6609559151,6437570031,211359207,391210021,391210021,1,3,1,20342921124,73389,73389,14,14,14,391210025,6,3,272068,2182991,2807631,54905,6609559151,2130436,146376548,1147
78122.71,33,253952,62,324342,21369509778,6,58479436,1911,13,13,8018,2132,11,585,2264547,26,127415,18,24,118671513,1172,1,4,548,404030328,5,1616056576,17,27,14,9,324,585,157986160,6997690,6942965048,585,271,3,1,14,14,968,3,6936925393,6745484714,222896851,409844601,409844601,1,3,1,21311919284,73389,73389,14,14,14,409844605,6,3,285942,2320302,2976960,57615,6936925393,2264547,155015366,1147
80135.68,33,253952,62,339152,22345153592,7,61948008,2023,13,13,8018,2223,11,585,2401439,26,133217,18,24,118671513,1172,1,4,548,422444437,5,1689713252,17,27,14,9,324,585,166791290,7870815,7265743552,585,271,3,1,14,14,968,3,7260548139,7053799541,236215969,428520585,428536969,1,3,1,22283070452,73389,73389,14,14,14,428520589,6,3,308088,2460384,3136492,60290,7260548139,2401439,163661273,1147
82150.01,33,253952,62,354213,23337295206,7,64444038,2132,14,14,8018,2319,11,585,2536862,26,139113,18,24,118671513,1172,1,4,548,441147425,5,1764525068,17,28,14,9,324,585,175604501,8649691,7600483484,585,271,3,1,14,14,968,3,7595636068,7367650365,248309171,447491481,447507865,1,3,1,23269557044,73389,73389,14,14,14,447491485,6,3,316535,2599056,3296401,63077,7595636068,2536862,172314893,1147
84164.05,33,253952,62,369202,24326588458,8,67487614,2239,14,14,8018,2416,11,585,2683064,26,144977,18,24,118671513,1172,1,4,548,459725775,5,1838903100,17,28,14,9,324,585,184469328,9931774,7939506204,585,271,3,1,14,14,968,3,7932911006,7681551288,261480972,466383887,466383887,1,3,1,24251962156,73389,73389,14,14,14,466383891,6,3,326832,2748554,3469285,65885,7932911006,2683064,181007167,1147
86177.04,34,253952,62,384156,25309600720,8,69855236,2360,15,15,8018,2512,11,729,2820895,26,150809,18,24,141913560,1460,1,4,548,478263472,5,1912860244,17,29,14,9,324,729,193268928,11013835,8279863057,729,420,3,1,14,14,968,3,8273595839,7992598278,273683441,485168970,485168970,1,3,1,25228786472,73389,73389,14,14,14,485168974,6,3,340429,2889691,3670505,68727,8273595839,2820895,189605862,1684
88198.29,34,253952,62,398756,26269840136,9,73516507,2476,15,15,8018,2607,11,954,2957672,26,156525,18,24,179159465,1910,1,4,548,496331320,5,1985196036,17,29,14,9,324,954,202077686,11741935,8607881586,954,682,3,1,14,14,968,3,8601015741,8296887654,286860949,503526096,503526096,1,3,1,26183357024,73389,73389,14,14,14,503526100,6,3,352085,3029572,3864375,71459,8601015741,2957672,198221050,2583
90209.89,34,253952,62,413567,27245350492,9,75879287,2584,15,15,8018,2702,11,1188,3098360,26,162275,18,24,219635403,2378,1,4,548,514493416,5,2057908960,17,29,14,9,324,1188,210966602,12657563,8953671397,1188,948,3,1,14,14,968,3,8946543382,8607850563,299009939,522054180,522054180,1,3,1,27146817392,73389,73389,14,14,14,522054184,6,3,366478,3173413,4063243,74327,8946543382,3098360,206911409,3520
92221.07,37,253952,62,430273,28346958484,9,78196069,2716,18,18,8018,2809,11,1485,3262663,26,168771,20,24,271589461,2972,1,4,548,535106902,5,2140298668,19,32,14,9,350,1485,221453649,13624573,9351667671,1485,1264,3,1,14,14,968,3,9344453237,8958780754,312735607,542953626,542970010,1,3,1,28233588584,73389,73389,14,14,14,542953630,6,3,382110,3341485,4252750,77613,9344453237,3262663,217209300,4731
94232.56,39,253952,62,451253,29728075618,9,81626149,2855,19,19,8018,2941,11,2187,3492748,26,176899,21,24,392950932,4376,1,4,548,560798710,5,2243130344,20,33,14,9,3262,2187,235560590,14608428,9859007376,2187,2020,3,1,14,14,968,3,9850967442,9399542695,331214450,569093793,569110177,1,3,1,29592877268,73389,73389,14,14,14,569093797,6,3,409758,3576471,4563296,81782,9850967442,3492748,231006138,7498
96240.89,43,253952,62,473443,31189957236,10,84664957,3016,20,20,8018,3084,12,2277,3751223,26,185525,21,24,412011345,4556,1,4,548,588281927,5,2352869092,20,34,14,9,3262,2277,250875407,15405266,10395687249,2277,2117,3,1,14,14,968,3,10387183148,9865787408,350346353,596837433,596853817,1,3,1,31034694580,73389,73389,14,14,14,596821053,6,3,427841,3840381,4902423,86167,10387183148,3751223,245982303,7843
