timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
4504.35,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6508.15,0,253952,62,8234,542145218,0,1113103,62,2,2,4655,99,0,558,41435,28,3207,17,11,96362157,1118,1,4,446,10110339,6,40376724,16,16,26,14,59,558,2860365,42,203422723,558,164,3,1,14,14,846,3,203298307,173400617,3972724,10255496,10255496,1,3,1,533285824,73389,73389,14,14,14,10255500,4,3,77853,42393,147948,1722,203298307,41435,2712539,860
8512.00,0,253952,62,17402,1145199410,0,2012198,91,3,3,4655,179,0,558,82644,28,6829,18,11,97641153,1118,1,4,446,21532361,6,86064932,17,17,26,14,68,558,5956768,79,398342091,558,164,3,1,14,14,846,3,399340239,363515973,7967329,21840255,21840255,1,3,1,1135693292,73389,73389,14,14,14,21840259,4,3,79770,84637,190640,3385,399340239,82644,5766374,860
10515.63,0,253952,62,28602,1882689684,1,3117308,106,3,3,4655,217,0,567,132397,28,11200,18,11,100745227,1136,1,4,446,35488535,6,141954140,17,17,26,14,68,567,9869709,390,625268673,567,168,3,1,14,14,846,3,626548857,595625507,12985221,36013242,36029626,1,3,1,1872688616,73389,73389,14,14,14,36013246,4,3,86676,135664,265296,5206,626548857,132397,9604803,879
12519.35,0,253952,62,37187,2448103490,1,3988686,152,3,3,4655,294,0,567,176258,28,14601,18,11,102591325,1136,1,4,446,46211281,6,184845124,17,17,26,14,68,567,12876167,578,807649034,567,168,3,1,14,14,846,3,808582946,773495797,16862149,46905555,46905555,1,3,1,2438236924,73389,73389,14,14,14,46889175,4,3,115738,180612,347229,6755,808582946,176258,12529444,879
14523.45,0,253952,62,47617,3135125011,1,5337811,157,4,4,4655,366,0,567,224212,28,18703,19,11,104497753,1136,1,4,446,59191480,6,236765920,18,18,26,14,75,567,16623401,784,1025093938,567,168,3,1,14,14,846,3,1025515785,990406760,21854879,60070926,60087310,1,3,1,3123688184,73389,73389,14,14,14,60070930,4,3,121220,229793,401832,8570,1025515785,224212,16222211,879
16527.49,0,253952,62,55976,3686083628,2,6703521,191,4,4,4655,401,0,567,261530,28,21982,19,11,106705831,1136,1,4,446,69669156,6,278676624,18,18,26,14,75,567,19587785,982,1201843400,567,168,3,1,14,14,846,3,1201744333,1163699592,26289024,70682552,70682552,1,3,1,3675492736,73389,73389,14,14,14,70682556,4,3,124511,268105,439500,9986,1201744333,261530,19149043,879
18531.37,0,253952,62,63120,4157675424,2,8628762,233,4,4,4655,469,0,567,293610,28,24829,19,11,109794727,1136,1,4,446,78610923,6,314443692,18,18,26,14,75,567,22155350,1190,1348546835,567,168,3,1,14,14,846,3,1348214051,1312127091,30781151,79751923,79751923,1,3,1,4147100028,73389,73389,14,14,14,79751927,4,3,127319,301032,478404,11246,1348214051,293610,21677813,879
20535.27,0,253952,62,71981,4740923780,3,10680974,270,5,5,4655,494,0,567,335991,28,28279,19,11,111073723,1136,1,4,446,89659279,6,358637116,18,19,26,14,75,567,25469771,1448,1529235179,567,168,3,1,14,14,846,3,1528885732,1496005109,36146558,90957691,90957691,1,3,1,4729799964,73389,73389,14,14,14,90957695,4,3,130517,344491,522919,12682,1528885732,335991,24947844,879
22539.91,1,253952,62,80764,5319132724,3,12476528,290,6,6,4655,574,0,567,381545,28,31747,19,11,112400983,1136,1,4,446,100610645,6,402378044,18,20,26,14,75,567,28875936,1714,1715538527,567,168,3,1,14,14,846,3,1714433745,1678032279,41348982,102065155,102081539,1,3,1,5307388092,73389,73389,14,14,14,102065159,4,3,136748,391268,590675,14265,1714433745,381545,28286380,879
24544.87,1,253952,62,87758,5781787004,4,14873708,318,6,6,4655,622,0,567,414115,28,34514,19,11,115103767,1136,1,4,446,109352648,6,437410592,18,20,26,14,75,567,31486802,1958,1854961408,567,168,3,1,14,14,846,3,1854151497,1824112713,46355936,110931441,110947825,1,3,1,5768434964,73389,73389,14,14,14,110931445,4,3,142502,424663,634680,15442,1854151497,414115,30853336,879
26550.93,1,253952,62,98024,6458307974,4,16609056,359,7,7,4655,678,0,567,476235,28,38550,19,11,115103767,1136,1,4,446,122169629,6,488678516,18,21,26,14,75,567,35735943,2159,2085401636,567,168,3,1,14,14,846,3,2084558049,2037047354,52310851,123963581,123963581,1,3,1,6446106244,73389,73389,14,14,14,123963585,4,3,147615,488364,703391,17312,2084558049,476235,35033931,879
28559.96,1,253952,62,107787,7100693934,4,18199048,418,7,7,4655,760,1,567,541647,28,42390,19,11,115103767,1136,1,4,446,134316660,6,537137476,18,21,26,14,75,567,40176726,4208,2287533180,567,168,3,1,14,14,846,3,2286379928,2239614694,58372683,136283461,136299845,1,3,1,7086740004,73389,73389,14,14,14,136283465,4,3,151467,555335,790196,19029,2286379928,541647,39388104,879
30570.16,1,253952,62,117225,7722709776,4,19561406,491,7,7,4655,805,1,576,611541,28,46102,19,11,116602928,1154,1,4,446,146124265,6,584432460,18,21,26,14,75,576,44772140,38347,2481327961,576,176,3,1,14,14,846,3,2480114491,2435712936,64358487,148244608,148244608,1,3,1,7708719648,73389,73389,14,14,14,148244612,4,3,160217,626835,874258,20601,2480114491,611541,43899658,906
32576.65,1,253952,62,126421,8328479794,4,21042748,565,7,7,4655,841,1,576,681198,28,49697,19,11,116602928,1154,1,4,446,157605692,6,630422768,18,21,26,14,75,576,49314247,61092,2671562130,576,176,3,1,14,14,846,3,2670150515,2626482539,70338895,159888426,159904810,1,3,1,8314198184,73389,73389,14,14,14,159888430,4,3,167544,698044,954024,22145,2670150515,681198,48362181,906
34582.48,2,253952,62,135691,8938846090,4,22489555,638,7,7,4655,927,2,576,752653,28,53364,19,11,116602928,1154,1,4,446,169152112,6,676543816,18,21,26,14,75,576,53868598,73834,2866291919,576,176,3,1,14,14,846,3,2864433234,2819003582,76406982,171599939,171599939,1,3,1,8923196860,73389,73389,14,14,14,171599943,4,3,170124,771171,1048103,23793,2864433234,752653,52822638,906
36588.61,2,253952,62,144853,9542387884,4,24050022,701,7,7,4655,961,2,576,820835,28,56944,19,11,116602928,1154,1,4,446,180584392,6,722272872,18,21,26,14,75,576,58333769,97759,3055705327,576,176,3,1,14,14,846,3,3054161006,3009047203,82450688,183210989,183210989,1,3,1,9526971460,73389,73389,14,14,14,183210993,4,3,183676,840936,1137727,25333,3054161006,820835,57198368,906
38594.92,13,253952,62,153875,10137430334,4,25570408,759,7,7,4655,1046,2,576,896632,28,60520,19,11,116602928,1154,1,4,446,191834777,6,767339108,18,21,26,14,75,576,62759272,114443,3251789146,576,176,3,1,14,14,846,3,3249301406,3197103067,88405003,194604729,194604729,1,3,1,10119445940,73389,73389,14,14,14,194604733,4,3,211741,918360,1242530,26997,3249301406,896632,61519249,906
40600.60,13,253952,62,163085,10744781486,4,27179534,824,7,7,4655,1083,2,576,962914,28,64126,19,11,116916644,1154,1,4,446,203359199,6,813372052,18,21,26,14,75,576,67207735,137969,3443625979,576,176,3,1,14,14,846,3,3440954245,3388301071,94480323,206293381,206293381,1,3,1,10727255844,73389,73389,14,14,14,206293385,4,3,218322,986208,1319306,28557,3440954245,962914,65891126,906
42606.44,13,253952,62,172358,11355923558,4,28939548,864,7,7,4655,1166,2,585,1026557,28,67789,19,11,118357797,1172,1,4,446,214877021,6,859508084,18,21,26,14,75,585,71434678,138629,3647045688,585,184,3,1,14,14,846,3,3644193895,3581531057,100466847,217992384,217992384,1,3,1,11335604000,73389,73389,14,14,14,217992388,4,3,223520,1051414,1393933,30299,3644193895,1026557,70043621,932
44611.93,13,253952,62,182080,11995019242,4,30560324,916,8,8,4655,1205,2,585,1090955,28,71583,20,11,118357797,1172,1,4,446,226995659,6,907982636,19,22,26,14,86,585,75857878,143553,3848242216,585,184,3,1,14,14,846,3,3845200187,3782811766,106515280,230283814,230283814,1,3,1,11974758360,73389,73389,14,14,14,230283818,4,3,229325,1117395,1473009,31929,3845200187,1090955,74387932,932
46616.81,13,253952,62,192036,12652804698,5,33085874,985,8,8,4655,1293,2,585,1158847,28,75515,20,11,118357797,1172,1,4,446,239381633,6,957462000,19,22,26,14,86,585,80364518,144090,4063605483,585,184,3,1,14,14,846,3,4060631428,3990150587,113520529,242879175,242879175,1,3,1,12629717132,73389,73389,14,14,14,242879179,4,3,235347,1186987,1566805,33774,4060631428,1158847,78800977,932
48621.96,13,253952,62,201995,13308096044,5,34701461,1037,8,8,4655,1335,2,594,1222805,28,79414,20,11,120169355,1190,1,4,446,251794692,6,1007178768,19,22,26,14,86,594,84758407,144757,4274506789,594,188,3,1,14,14,846,3,4272243567,4196983289,119555727,255469391,255469391,1,3,1,13284408364,73389,73389,14,14,14,255469395,4,3,239996,1252494,1641644,35498,4272243567,1222805,83120224,958
50626.99,14,253952,62,211964,13965847200,5,36306777,1096,8,8,4655,1420,2,603,1289774,28,83359,20,11,121981567,1208,1,4,446,264238148,6,1056952592,19,22,26,14,86,603,89165321,145095,4495987485,603,193,3,1,14,14,846,3,4492752966,4404881231,125566073,268075103,268075103,1,3,1,13939905388,73389,73389,14,14,14,268075107,4,3,241998,1321153,1732742,37379,4492752966,1289774,87436238,982
52631.60,14,253952,62,221990,14625746646,5,37940147,1141,8,8,4655,1462,2,603,1350369,28,87262,20,11,121981567,1208,1,4,446,276689820,6,1106694544,19,22,26,14,86,603,93465288,145477,4703910563,603,193,3,1,14,14,846,3,4700622123,4613177771,131498539,280720504,280720504,1,3,1,14597466240,73389,73389,14,14,14,280720508,4,3,244505,1383275,1802386,39066,4700622123,1350369,91666755,982
54637.15,14,253952,62,232003,15284589002,5,39766435,1184,8,8,4655,1546,2,603,1412524,28,91194,20,11,121981567,1208,1,4,446,289111900,6,1156383128,19,22,26,14,86,603,97728286,145802,4924699424,603,193,3,1,14,14,846,3,4921766445,4821477544,137587472,293335296,293349521,1,3,1,15253435424,73389,73389,14,14,14,293335300,4,3,251488,1447054,1879071,40945,4921766445,1412524,95853257,982
56642.21,14,253952,62,242440,15972316628,5,41277807,1225,9,9,4655,1593,2,621,1481953,28,95278,20,11,125293069,1244,1,4,446,302114204,6,1208456816,19,23,26,14,86,621,102350654,146622,5151956264,621,209,3,1,14,14,846,3,5148927403,5038874295,143715011,306490316,306506700,1,3,1,15937496464,73389,73389,14,14,14,306490320,4,3,257411,1518250,1970003,42793,5148927403,1481953,100384886,1037
