timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
24823.95,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
26829.50,3,253952,62,9941,654377150,0,1695595,41,3,3,5350,116,0,558,64272,21,3882,18,33,96096705,1118,1,4,395,12240270,5,48896612,17,17,14,95,558,4212355,91,241627628,558,312,3,1,14,14,865,3,241982927,208617179,5909538,12416025,12416025,1,3,1,645633332,73389,73389,14,14,14,12416029,6,3,81131,65784,189910,2052,241982927,64272,4022612,1331
28835.69,3,253952,62,19870,1308824554,0,3218176,101,3,3,5350,153,0,558,125043,21,7765,18,33,98256519,1118,1,4,395,24620620,5,98417692,17,17,14,95,558,8685511,5929,445733425,558,312,3,1,14,14,865,3,445632358,414650111,11908969,24989413,25005797,1,3,1,1299449508,73389,73389,14,14,14,24989417,6,3,88326,128113,275053,3683,445632358,125043,8410834,1331
30843.18,3,253952,62,29631,1951031178,0,4613369,182,3,3,5350,246,0,558,190041,21,11632,18,33,98896017,1118,1,4,395,36782994,5,147131976,17,17,14,95,558,13266517,31608,646221310,558,312,3,1,14,14,865,3,646976922,617024586,17902547,37342061,37342061,1,3,1,1940083268,73389,73389,14,14,14,37309297,6,3,92892,194838,353289,5419,646976922,190041,12913802,1331
32848.61,3,253952,62,39135,2576684634,0,6095997,251,3,3,5350,283,0,567,252772,21,15353,18,33,101927695,1136,1,4,395,48660308,5,194641232,17,17,14,95,567,17814784,60658,842041049,567,320,3,1,14,14,865,3,841689570,814194058,23960873,49373062,49373062,1,3,1,2567399256,73389,73389,14,14,14,49373066,6,3,95977,259207,427067,6984,841689570,252772,17388491,1359
34856.34,3,253952,62,48755,3210290180,0,7496814,324,3,3,5350,370,0,567,319848,21,19155,18,33,103496275,1136,1,4,395,60641975,5,242567900,17,17,14,95,567,22367101,112883,1049560023,567,320,3,1,14,14,865,3,1048622306,1014088560,29957518,61524784,61524784,1,3,1,3199288800,73389,73389,14,14,14,61524788,6,3,102553,327996,510989,8745,1048622306,319848,21857086,1359
36861.34,3,253952,62,58158,3829372764,0,9039653,380,3,3,5350,407,0,567,381651,21,22825,18,33,104775271,1136,1,4,395,72382099,5,289463772,17,17,14,95,567,26796747,138951,1244677495,567,320,3,1,14,14,865,3,1244078587,1208674965,35952997,73449289,73449289,1,3,1,3818511092,73389,73389,14,14,14,73432909,6,3,113681,391336,597961,10320,1244078587,381651,26199952,1359
38867.42,3,253952,62,67638,4454418636,0,10643881,439,3,3,5350,495,1,585,440864,21,26587,18,33,109598384,1172,1,4,395,84213115,5,336787852,17,17,14,95,585,31225930,158244,1442415302,585,328,3,1,14,14,865,3,1441105172,1405719525,42003987,85449237,85449237,1,3,1,4443360356,73389,73389,14,14,14,85449241,6,3,119406,452140,689896,12007,1441105172,440864,30537398,1417
40872.74,3,253952,62,77164,5082853210,0,12182675,497,3,3,5350,534,1,594,502613,21,30312,18,33,113283995,1190,1,4,395,96107159,5,384299044,17,17,14,95,594,35658289,169618,1644363140,594,337,3,1,14,14,865,3,1643254862,1603851520,47985260,97512562,97512562,1,3,1,5070653256,73389,73389,14,14,14,97512566,6,3,123860,515504,756835,13651,1643254862,502613,34903016,1443
42877.77,5,253952,62,86597,5705096408,0,13978056,531,3,3,5350,616,1,621,561440,21,34039,18,33,119823662,1244,1,4,395,107874225,5,431367596,17,17,14,95,621,39865556,170280,1846322665,621,352,3,1,14,14,865,3,1845164085,1800252281,53936839,109430590,109430590,1,3,1,5690390712,73389,73389,14,14,14,109430594,6,3,128759,575918,833861,15374,1845164085,561440,39032475,1528
44882.16,5,253952,62,96486,6356768700,0,15549771,583,3,3,5350,660,1,639,621555,21,37904,18,33,124703363,1280,1,4,395,120147857,5,480591428,17,17,14,95,639,44321018,175791,2054380131,639,364,3,1,14,14,865,3,2053005486,2006250077,60017650,121903515,121919899,1,3,1,6338982812,73389,73389,14,14,14,121903519,6,3,133196,637630,905969,17073,2053005486,621555,43416988,1575
