timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
14897.94,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
16902.40,253952,62,24225,1595054322,0,0,0,27,27,4901,118,675,118124,25,2633,42,50,140034434,1352,1,0,41,41,15,14,151,675,0,0,0,2244407,76,518623206,0,675,227,2,1,14,14,322,1,521141040,469971105,2489857,35894236,35910620,1,2,1,1579346384,73389,73389,14,14,14,35894236,4,3,467720,120174,801061,3995,521141040,118124,1443450,1546
18906.60,253952,62,46730,3077905562,0,0,0,27,27,4901,121,675,197234,25,8933,42,50,140565338,1352,1,0,41,41,15,14,151,675,0,0,0,6289397,97,953691914,0,675,227,2,1,14,14,322,1,954465072,903581796,8381970,69596890,69596890,1,2,1,3062263160,73389,73389,14,14,14,69596890,4,3,472785,201475,905505,7301,954465072,197234,5384165,1546
20910.94,253952,62,68724,4527267906,0,0,0,27,27,4901,125,675,279120,25,15152,42,50,141361694,1352,1,0,41,41,15,14,151,675,0,0,0,10451690,157,1376174399,0,675,227,2,1,14,14,322,1,1377827632,1327284497,17884941,102537688,102537688,1,2,1,4511658272,73389,73389,14,14,14,102537688,4,3,479579,285647,1024295,10531,1377827632,279120,9427841,1546
22915.98,253952,62,90644,5971515134,0,0,2,27,27,4901,128,675,370787,25,21296,42,50,141627146,1352,1,0,41,41,15,14,151,675,0,0,0,14693722,2589,1798661303,0,675,227,2,1,14,14,322,1,1799748400,1749422892,31451387,135365957,135365957,1,2,1,5956102108,73389,73389,14,14,14,135365957,4,3,493659,379765,1173900,13750,1799748400,370787,13520436,1546
24920.54,253952,62,111651,7355927994,2,2000132,2,27,27,4901,132,675,460648,25,27245,42,50,142423502,1352,1,0,41,41,15,14,151,675,0,0,0,18893141,2647,2203184112,0,675,227,2,1,14,14,322,1,2204498736,2154222632,47214999,166809778,166826162,1,2,1,7339630232,73389,73389,14,14,14,166809778,4,3,502190,472019,1290889,16838,2204498736,460648,17603037,1546
26926.07,253952,62,132058,8700488350,3,3236152,37,27,27,4901,135,675,567704,25,32978,42,50,142688954,1352,1,0,41,41,15,14,151,675,0,0,0,23194915,2761,2593686065,0,675,227,2,1,14,14,322,1,2596797232,2547214130,103596893,197381373,197397757,1,2,1,8684780412,73389,73389,14,14,14,197381373,4,3,517131,581698,1436449,19831,2596797232,567704,21759423,1546
28934.98,253952,62,151141,9958013590,23,25606252,103,27,27,4901,138,675,685031,25,38347,42,50,143207792,1352,1,0,41,41,15,14,151,675,0,0,0,27770078,17964,2964065630,0,675,227,2,1,14,14,322,1,2964355610,2914826810,288833468,225964471,225964471,1,2,1,9941715828,73389,73389,14,14,14,225948087,4,3,525034,701797,1610206,22636,2964355610,685031,26161042,1546
30941.23,253952,62,169951,11197057678,23,27759864,168,27,27,4901,141,675,818138,25,43637,42,50,144004148,1352,1,0,41,41,15,14,151,675,0,0,0,32363393,88886,3324257726,0,675,227,2,1,14,14,322,1,3325660112,3276882519,296692397,254113393,254129777,1,2,1,11180989292,73389,73389,14,14,14,254113393,4,3,529155,837586,1773298,25395,3325660112,818138,30591458,1546
32949.72,253952,62,187994,12385894574,23,30422306,235,27,27,4901,144,675,944857,25,48722,42,50,144269600,1352,1,0,41,41,15,14,151,675,0,0,0,36884733,152957,3673486777,0,675,227,2,1,14,14,322,1,3673000912,3624493839,304721088,281127945,281144329,1,2,1,12369629580,73389,73389,14,14,14,281127945,4,3,533363,966985,1920825,28045,3673000912,944857,34965467,1546
