timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
26053.41,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
28059.09,0,253952,62,9533,626998964,0,1590467,53,3,3,4952,114,0,558,63783,0,7,3719,11,68,95770923,1118,1,4,454,11712225,6,46848900,10,17,44,7,153,558,4318536,447,229972380,558,320,0,3,1,14,14,957,3,230308205,200149038,5911120,11879671,11879671,1,3,1,617742924,73389,73389,14,14,14,11879675,7,3,87598,65262,207804,1962,230308205,63783,4110909,1365
30065.56,0,253952,62,19324,1272390334,0,3006419,133,3,3,4952,150,0,558,123749,0,7,7559,11,68,98244453,1118,1,4,454,23964050,6,95856200,10,17,44,7,153,558,8903817,13717,433296396,558,320,0,3,1,14,14,957,3,432910186,403155940,11918220,24305603,24305603,1,3,1,1263891388,73389,73389,14,14,14,24305607,7,3,95672,126765,283621,3585,432910186,123749,8620570,1365
32071.33,1,253952,62,28862,1900320278,0,4434896,206,3,3,4952,241,0,558,184728,0,7,11332,11,68,99837165,1118,1,4,454,35865481,6,143332576,10,17,44,7,153,558,13491880,46033,631377893,558,320,0,3,1,14,14,957,3,631192540,600914123,17958864,36377564,36377564,1,3,1,1891633360,73389,73389,14,14,14,36377568,7,3,101710,189321,349374,5293,631192540,184728,13142089,1365
34077.88,1,253952,62,38418,2530648536,0,5922159,276,3,3,4952,274,0,567,244509,0,7,15067,11,68,103206691,1136,1,4,454,47782179,6,190999648,10,17,44,7,153,567,17996041,65629,827527240,567,328,0,3,1,14,14,957,3,828175555,799418342,23967285,48481849,48498233,1,3,1,2521056180,73389,73389,14,14,14,48481853,7,3,108616,250602,435121,6876,828175555,244509,17561699,1391
36084.00,1,253952,62,47797,3148146190,0,7391752,348,3,3,4952,363,0,567,306343,0,7,18786,11,68,104159905,1136,1,4,454,59490450,6,237832356,10,17,44,7,153,567,22505105,85972,1026614633,567,328,0,3,1,14,14,957,3,1026040832,993709586,29962584,60373586,60373586,1,3,1,3139426504,73389,73389,14,14,14,60373590,7,3,113708,314009,516880,8563,1026040832,306343,21989206,1391
38089.79,1,253952,62,56876,3745645196,0,9025672,423,3,3,4952,393,1,567,365811,0,7,22322,11,68,105402703,1136,1,4,454,70796552,6,283121656,10,17,44,7,153,567,26904644,95598,1211394665,567,328,0,3,1,14,14,957,3,1210913364,1181950570,35989651,71841498,71857882,1,3,1,3735757928,73389,73389,14,14,14,71841502,7,3,117062,374917,598745,10050,1210913364,365811,26307065,1391
40098.01,1,253952,62,65662,4323676702,0,10639376,483,3,3,4952,477,2,576,426913,0,7,25806,11,68,108192790,1154,1,4,454,81758825,6,326906000,10,17,44,7,153,576,31313578,105025,1395516818,576,337,0,3,1,14,14,957,3,1394859758,1363927413,42030338,82975697,82975697,1,3,1,4314736276,73389,73389,14,14,14,82975701,7,3,124924,437574,682556,11616,1394859758,426913,30632364,1425
42104.08,1,253952,62,74684,4918695020,0,12030344,528,3,3,4952,508,2,576,486299,0,7,29337,11,68,110376736,1154,1,4,454,93040183,6,372031560,10,17,44,7,153,576,35646851,117840,1585339937,576,337,0,3,1,14,14,957,3,1584108996,1551108897,47765143,94418589,94418589,1,3,1,4909766660,73389,73389,14,14,14,94418593,7,3,127932,498371,753278,13147,1584108996,486299,34895100,1425
44109.29,1,253952,62,84339,5555011186,0,13995645,570,4,4,4952,594,2,585,547664,0,7,33167,12,68,113443450,1172,1,4,454,105088166,6,420352664,11,18,44,7,164,585,39965853,139795,1781351253,585,343,0,3,1,14,14,957,3,1779933244,1751830729,54071017,106637562,106637562,1,3,1,5545153256,73389,73389,14,14,14,106637566,7,3,153728,561218,853114,14807,1779933244,547664,39114465,1452
