timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
21328.46,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
23333.44,0,253952,62,9338,614243576,0,1259185,45,3,3,5532,110,0,558,55040,0,37,3632,18,25,95481339,1118,1,4,381,11453447,5,45749124,17,17,14,89,558,3645693,57,230650438,558,282,0,3,1,14,14,829,3,230645151,196214832,4905798,11633911,11633911,1,3,1,604963404,73389,73389,14,14,14,11633915,5,3,80958,56311,181305,1951,230645151,55040,3464522,1229
25338.28,1,253952,62,17463,1149510822,1,3874471,63,4,4,5532,187,0,558,93814,0,37,6863,19,25,97327437,1118,1,4,381,21595144,5,86380576,18,18,14,99,558,6753294,138,395314754,558,282,0,3,1,14,14,829,3,395068027,364531237,10586644,21936400,21936400,1,3,1,1140692832,73389,73389,14,14,14,21936404,5,3,85669,96137,220090,3363,395068027,93814,6533444,1229
27343.95,3,253952,62,27852,1834116852,1,5549626,110,4,4,5532,222,0,567,149618,0,37,10919,19,25,101580502,1136,1,4,381,34605014,5,138290768,18,18,14,99,567,11050820,285,607392383,567,288,0,3,1,14,14,829,3,607242768,580063820,16600553,35099612,35099612,1,3,1,1825179856,73389,73389,14,14,14,35099616,5,3,88517,153470,276804,5069,607242768,149618,10774427,1259
29349.18,4,253952,62,37860,2492547066,1,7083646,185,4,4,5532,315,0,576,211044,0,37,14878,19,25,104370860,1154,1,4,381,47049874,5,188134780,18,18,14,99,576,15582054,7301,815311335,576,294,0,3,1,14,14,829,3,815094923,787548182,22669746,47755364,47755364,1,3,1,2482426992,73389,73389,14,14,14,47738984,5,3,95727,216495,355710,6854,815094923,211044,15226961,1282
31355.43,4,253952,62,47459,3125355524,1,8532058,256,4,4,5532,352,0,576,276238,0,37,18639,19,25,105903242,1154,1,4,381,59042928,5,236107160,18,18,14,99,576,20147481,22989,1021207028,576,294,0,3,1,14,14,829,3,1021059080,986802108,28688278,59919152,59919152,1,3,1,3115795936,73389,73389,14,14,14,59919156,5,3,103918,283297,449594,8518,1021059080,276238,19698695,1282
33363.20,6,253952,62,56942,3749246368,1,10016683,329,4,4,5532,433,0,594,339362,0,37,22380,19,25,111144444,1190,1,4,381,70815908,5,283263632,18,18,14,99,594,24672154,47788,1222268666,594,314,0,3,1,14,14,829,3,1221419736,1184014174,34719451,71876425,71876425,1,3,1,3737574132,73389,73389,14,14,14,71876429,5,3,108240,348051,529648,10228,1221419736,339362,24143514,1335
35369.03,6,253952,62,66306,4366062632,1,11426387,403,4,4,5532,476,0,594,398403,0,37,26049,19,25,112688892,1190,1,4,381,82521653,5,330022044,18,18,14,99,594,29223661,108590,1414133370,594,314,0,3,1,14,14,829,3,1412951171,1378028459,40736845,83749619,83749619,1,3,1,4354980220,73389,73389,14,14,14,83749623,5,3,112458,408641,599508,11777,1412951171,398403,28625354,1335
37376.48,6,253952,62,75608,4980082594,1,13001417,455,4,4,5532,521,0,594,458867,0,37,29712,19,25,114571188,1190,1,4,381,94175067,5,376700268,18,18,14,99,594,33618877,148916,1610202895,594,314,0,3,1,14,14,829,3,1609481208,1571233728,46709862,95548641,95548641,1,3,1,4968529364,73389,73389,14,14,14,95548645,5,3,118027,470588,686575,13388,1609481208,458867,32933695,1335
39381.62,7,253952,62,84927,5593322306,1,14517699,510,4,4,5532,598,0,594,517431,0,37,33387,19,25,115524402,1190,1,4,381,105784646,5,423138584,18,18,14,99,594,38057865,182672,1803277020,594,314,0,3,1,14,14,829,3,1801855593,1764684692,52724384,107327849,107327849,1,3,1,5581048180,73389,73389,14,14,14,107327853,5,3,121724,530688,761526,15007,1801855593,517431,37297924,1335
