timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
2096.82,253952,62,41637,2742272550,0,45,0,1,60,60,7,121,1,675,242952,126,63,7500,75,329,140299886,1352,1,0,74,74,54,14,548,675,0,0,0,6274868,46782,803238842,0,549,288,126,2,1,14,14,313,0,1,856423216,805481194,8589215,61968867,61968867,1,2,1,0,2726630148,73389,73389,14,14,14,61968867,4,3,351580,248032,1443511,6553,856423216,242952,4831703,2826
4099.98,253952,62,60544,3988263454,0,45,0,1,60,60,7,124,1,675,298001,126,63,12866,75,329,141096242,1352,1,0,74,74,54,14,548,675,0,0,0,9952635,46963,1166606176,0,549,288,126,2,1,14,14,313,0,1,1220410160,1169711300,14637326,90289821,90289821,1,2,1,0,3972752124,73389,73389,14,14,14,90289821,4,3,355517,304712,1529320,9330,1220410160,298001,8423824,2826
6103.49,253952,62,79167,5215111230,0,45,0,1,60,60,7,127,1,675,355545,126,63,18110,75,329,141361694,1352,1,0,74,74,54,14,548,675,0,0,0,13706098,47018,1526040047,0,549,288,126,2,1,14,14,313,0,1,1578761008,1528367151,20657191,118172725,118172725,1,2,1,0,5199599900,73389,73389,14,14,14,118172725,4,3,361960,364034,1628277,12064,1578761008,355545,12078496,2826
8107.09,253952,62,97964,6453893174,0,45,0,1,60,60,7,130,1,675,414577,126,63,23402,75,329,141892598,1352,1,0,74,74,54,14,548,675,0,0,0,17478995,47143,1888879931,0,549,288,126,2,1,14,14,313,0,1,1940650800,1890519319,26581943,146313455,146329839,1,2,1,0,6437792020,73389,73389,14,14,14,146313455,4,3,364322,424858,1698790,14825,1940650800,414577,15781046,2826
10110.55,253952,62,116129,7650725462,0,45,0,1,60,60,7,133,1,675,478192,126,63,28520,75,329,142423502,1352,1,0,74,74,54,14,548,675,0,0,0,21282059,47280,2237563468,0,549,288,126,2,1,14,14,313,0,1,2290350896,2240369350,41764049,173524615,173524615,1,2,1,0,7635083060,73389,73389,14,14,14,173524615,4,3,369010,490302,1807011,17493,2290350896,478192,19476057,2826
12114.76,253952,62,134305,8848544098,0,45,0,1,60,60,7,136,1,675,538736,126,63,33644,75,329,142688954,1352,1,0,74,74,54,14,548,675,0,0,0,25007419,47465,2586116254,0,549,288,126,2,1,14,14,313,0,1,2640444208,2590543998,47806203,200733616,200750000,1,2,1,0,8832279104,73389,73389,14,14,14,200733616,4,3,369243,552676,1899255,20164,2640444208,538736,23109353,2826
14118.82,253952,62,152545,10049967214,0,45,0,1,60,60,7,139,1,675,607001,126,63,38752,75,329,143207792,1352,1,0,74,74,54,14,548,675,0,0,0,28763221,47513,2940065380,0,549,288,126,2,1,14,14,313,0,1,2990509008,2941674565,66204579,228057305,228057305,1,2,1,0,10034521420,73389,73389,14,14,14,228057305,4,3,376893,622877,2006303,22838,2990509008,607001,26758279,2826
16123.08,253952,62,170150,11210099342,0,45,0,1,60,60,7,142,4,675,680060,126,63,43713,75,329,144004148,1352,1,0,74,74,54,14,548,675,0,0,0,32484864,47543,3278864220,0,549,288,126,2,1,14,14,313,0,1,3329461200,3280711506,71750845,254424689,254424689,1,2,1,0,11194686316,73389,73389,14,14,14,254424689,4,3,377113,697979,2100406,25424,3329461200,680060,30385978,2826
18127.12,253952,62,188138,12395331758,0,45,0,1,60,60,7,144,4,675,754183,126,63,48761,75,329,144269600,1352,1,0,74,74,54,14,548,675,0,0,0,36580571,47590,3625187449,0,549,288,126,2,1,14,14,313,0,1,3675753424,3627221398,78362541,281357321,281357321,1,2,1,0,12379001228,73389,73389,14,14,14,281340937,4,3,378182,774153,2199266,28066,3675753424,754183,34382990,2826
20131.16,253952,62,205632,13548189390,0,45,0,1,60,60,7,147,4,675,829486,126,63,53699,75,329,144800504,1352,1,0,74,74,54,14,548,675,0,0,0,40430486,47655,3961939009,0,549,288,126,2,1,14,14,313,0,1,4012608464,3964139957,89619288,307552673,307569057,1,2,1,0,13532317612,73389,73389,14,14,14,307552673,4,3,386952,851496,2316421,30636,4012608464,829486,38115908,2826
