event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,0,69304,69304,Total time spent analyzing index of patch parts
ArenaAllocBytes,0,27262976,27262976,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,0,6656,6656,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,2193724,2193724,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,54,58,4,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,3,7,4,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,54,58,4,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,1016,87254,86238,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,1,285,284,Time spent resetting task for Common executor.
CompileExpressionsBytes,0,16384,16384,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,0,73548,73548,Total time spent for compilation of expressions to LLVM code.
CompileFunction,0,2,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,78,30644343,30644265,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,3618724,2019250032450,2019246413726,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,0,3618,3618,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,0,11855682189,11855682189,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,0,326151,326151,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,0,4004,4004,Total number of CPU slots acquired
ConcurrencyControlUpscales,0,4004,4004,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,0,13523547637,13523547637,Total time a query was waiting on resource requests for CPU slots.
ConcurrentQuerySlotsAcquired,0,108,108,Total number of query slots acquired
ConcurrentQueryWaitMicroseconds,0,5403097,5403097,Total time a query was waiting for a query slots
ContextLock,1246,107835,106589,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,5,17079,17074,Context lock wait time in microseconds
CreatedReadBufferOrdinary,167,62460,62293,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,244804,714352829,714108025,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,8,8,0,Total time spent waiting for write syscall. This include writes to page cache.
FailedQuery,0,2,2,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,0,2,2,"Same as FailedQuery, but only for SELECT queries."
FairPolicyDequeue,0,2048068,2048068,Number of dequeues invoked at all FairPolicyNodes
FileOpen,225,298,73,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,0,1259,1259,Time spent filtering parts by PK.
FunctionExecute,0,9965020,9965020,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,657,1636,979,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,467481,2364202,1896721,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,708,3165,2457,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,30,137905,137875,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,73686,713288,639602,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,1,68,67,Number of created server HTTP connections
HTTPServerConnectionsExpired,0,1,1,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,0,45,45,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,0,1,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,0,45,45,Number of reused server HTTP connections
IOBufferAllocBytes,21112068,13705415976,13684303908,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,250,125476,125226,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,1,111,110,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,249,118588,118339,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,0,58000,58000,Number of bytes sent through HTTP interfaces
