timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5056.60,16,262144,64,24131,1590257396,111,0,585,629523,4,3126,60,67,102226,124484256,1172,1,66,3994,1104749,2,148039,585,4289035,21084801,516981919,585,925,2,1,2,2,615,1,514630044,468175652,32422434,35785137,35801521,2,1,1574546028,73389,73389,2,2,2,35785137,8,3,178332,16897951,1024005,21706,3928,514630044,607817,3266760,31083
10079.03,16,262144,64,29244,1926935676,112,0,585,709142,4,4577,60,67,102226,124484256,1172,1,66,4742,1234881,2,148039,585,5711493,25653686,615483988,585,925,2,1,2,2,615,1,612671900,566594632,52409503,43448087,43448087,2,1,1911715828,73389,73389,2,2,2,43448087,8,3,182350,19853858,1094230,25081,4676,612671900,684061,4618991,31083
15155.85,16,262144,64,35182,2318477512,113,1,585,793728,4,6249,60,67,102226,124749708,1172,1,66,5615,1427725,2,148039,585,7709507,30548202,730431816,585,925,2,1,2,2,615,1,727097756,681042395,99375473,52333360,52349744,2,1,2302667840,73389,73389,2,2,2,52333360,8,3,191052,22536052,1204160,29363,5549,727097756,764365,6507044,31083
20173.23,16,262144,64,41656,2744881192,114,1,585,878510,4,8070,60,67,102226,124749708,1172,1,66,6568,1555343,2,148039,585,10304767,35968078,855911772,585,925,2,1,2,2,615,1,852009372,805693397,161318687,62039992,62039992,2,1,2729759648,73389,73389,2,2,2,62039992,8,3,200517,25079521,1339122,33270,6502,852009372,845240,8966308,31083
25196.87,16,262144,64,47268,3114792840,115,1,585,952698,4,9657,60,67,102226,125015160,1172,1,66,7388,1716420,2,148039,585,11758167,40512929,963893460,585,925,2,1,2,2,615,1,959488412,913829316,174137946,70444096,70460480,2,1,3099540224,73389,73389,2,2,2,70444096,8,3,205659,27747492,1430440,37844,7322,959488412,914854,10329489,31083
30221.48,16,262144,64,53380,3517472488,116,1,585,1033659,4,11376,60,67,102226,125280612,1172,1,66,8287,1889403,2,148039,585,14766712,45752243,1082269633,585,925,2,1,2,2,615,1,1077322140,1031636691,305845753,79593672,79593672,2,1,3502121568,73389,73389,2,2,2,79593672,8,3,221493,30477534,1568941,42218,8221,1077322140,991441,13198886,31083
35246.15,16,262144,64,59665,3931501930,117,1,585,1119450,4,13146,60,67,102226,125280612,1172,1,66,9212,2025933,2,148039,585,17030111,50747874,1204072501,585,925,2,1,2,2,615,1,1198563740,1152632286,339814312,89005392,89005392,2,1,3915516352,73389,73389,2,2,2,88989008,8,3,227989,32974934,1669663,46080,9146,1198563740,1073370,15361291,31083
40252.31,16,262144,64,79822,5259678286,121,1,585,1301907,4,18840,60,67,102226,125811516,1172,1,66,12172,2091636,2,148039,585,22172149,54238315,1593578276,585,925,2,1,2,2,615,1,1586536860,1540853333,472432719,119183771,119200155,2,1,5244085924,73389,73389,2,2,2,119183771,8,3,253538,34818425,1884669,52413,12106,1586536860,1249494,20289599,31083
45258.06,16,262144,64,123190,8117481070,128,1,585,1658859,4,31077,60,67,102226,127102578,1172,1,66,18545,2093446,2,148039,585,33047421,54489922,2432058550,585,925,2,1,2,2,615,1,2421858716,2376150424,502799201,184141830,184158214,2,1,8102240520,73389,73389,2,2,2,184141830,8,3,274960,35597117,2083424,62257,18479,2421858716,1596604,30966290,31083
50263.46,16,262144,64,166168,10949483494,135,1,585,2010473,4,43154,60,67,102226,128152320,1172,1,66,24859,2094908,2,148039,585,44042522,54637240,3262786650,585,925,2,1,2,2,615,1,3249447324,3204112854,528781182,248504032,248520416,2,1,10934177408,73389,73389,2,2,2,248504032,8,3,282923,36362950,2270468,72249,24793,3249447324,1938224,41773471,31083
