timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5138.58,21,262144,64,22443,1479101724,111,1,585,401229,11,2667,67,124484256,1172,1,66,3744,3569558,2,377036,585,4030248,26773460,484202372,585,1440,2,1,2,2,675,1,481993116,435582588,39670556,33266319,33282703,2,1,1463718036,73389,73389,2,2,2,33266319,12,4,3,112794,27978701,774645,26274,3679,481993116,374955,3255341,8270
10199.98,21,262144,64,25662,1691123916,112,1,585,449417,11,3600,67,124484256,1172,1,66,4216,3930525,2,377036,585,5128132,32413916,546235464,585,1440,2,1,2,2,675,1,543728028,497578726,66274072,38082771,38099155,2,1,1675641924,73389,73389,2,2,2,38082771,12,4,3,127553,31774922,876138,28542,4150,543728028,420875,4251927,8270
15257.80,21,262144,64,29583,1949417832,112,1,585,504713,11,4666,67,124484256,1172,1,66,4791,4329534,2,377036,585,5969116,37207938,622098293,585,1440,2,1,2,2,675,1,619225500,573119006,84799956,43962024,43962024,2,1,1934329056,73389,73389,2,2,2,43962024,12,4,3,127896,35553845,919589,31467,4726,619225500,473246,5049902,8270
20274.10,21,262144,64,33468,2205352452,113,1,585,562454,11,5783,67,124749708,1172,1,66,5366,4570297,2,377036,585,7803824,43214971,697696400,585,1440,2,1,2,2,675,1,694460828,647981372,131365978,49775741,49775741,2,1,2190132604,73389,73389,2,2,2,49775741,12,4,3,133833,38933986,993829,34427,5300,694460828,528027,6809787,8270
25302.28,21,262144,64,37489,2470199968,114,1,585,621036,11,6936,67,124749708,1172,1,66,5954,4934159,2,377036,585,9079001,48378303,775137342,585,1440,2,1,2,2,675,1,771531164,725374041,170367227,55794258,55810642,2,1,2454947352,73389,73389,2,2,2,55794258,12,4,3,139344,42626889,1054151,37226,5888,771531164,583810,8024584,8270
30325.05,21,262144,64,42057,2771161128,114,1,585,685235,11,8181,67,124749708,1172,1,66,6624,5205006,2,377036,585,10594465,53499033,863499393,585,1440,2,1,2,2,675,1,859480476,813326339,286124154,62629816,62646200,2,1,2755711904,73389,73389,2,2,2,62629816,12,4,3,144821,46026945,1150259,40352,6559,859480476,644883,9445168,8270
35340.58,21,262144,64,46338,3053578908,115,1,585,744860,11,9402,67,125015160,1172,1,66,7252,5467895,2,377036,585,12142008,59137650,946203250,585,1440,2,1,2,2,675,1,941793692,895916661,319129830,69045423,69061807,2,1,3037998612,73389,73389,2,2,2,69045423,12,4,3,147310,49610382,1209231,43257,7187,941793692,701603,10933885,8270
40367.76,21,262144,64,51526,3395437840,116,1,585,817217,11,10872,67,125280612,1172,1,66,8017,5777801,2,377036,585,13919425,65334826,1046942677,585,1440,2,1,2,2,675,1,1042063772,995905505,450428043,76812710,76829094,2,1,3379759240,73389,73389,2,2,2,76812710,12,4,3,152759,53154774,1295674,46704,7952,1042063772,770513,12625180,8270
45387.79,21,262144,64,59137,3896898922,117,2,585,919860,11,13004,67,125280612,1172,1,66,9134,5838525,2,377036,585,16429919,70499193,1193877778,585,1440,2,1,2,2,675,1,1188340124,1142508409,478305813,88218960,88218960,2,1,3881634240,73389,73389,2,2,2,88218960,12,4,3,161667,55740507,1436144,51451,9068,1188340124,868409,14995460,8270
50401.25,21,262144,64,70509,4646156094,119,2,585,1059923,11,16214,67,125546064,1172,1,66,10805,5909491,2,377036,585,19930048,75469712,1413838940,585,1440,2,1,2,2,675,1,1407361436,1361603268,566909243,105242319,105242319,2,1,4630662036,73389,73389,2,2,2,105242319,12,4,3,171608,57779162,1589651,57396,10739,1407361436,1002527,18341059,8270
55406.15,21,262144,64,117009,7710544890,127,2,585,1448326,11,29296,67,127102578,1172,1,66,17638,5914974,2,377036,585,30670521,77318895,2312855530,585,1440,2,1,2,2,675,1,2302976412,2257289058,655997745,174883599,174899983,2,1,7694878356,73389,73389,2,2,2,174883599,12,4,3,222773,58793943,1870115,67325,17572,2302976412,1381001,28800945,8270
60422.34,21,262144,64,150177,9895922826,132,2,585,1750745,11,38651,67,127886868,1172,1,66,22510,5933994,2,377036,585,38761933,79570521,2953910891,585,1440,2,1,2,2,675,1,2941559196,2896104301,719186681,224555003,224571387,2,1,9880420132,73389,73389,2,2,2,224555003,12,4,3,250030,60182042,2123822,77985,22444,2941559196,1672760,36638548,8270
65434.24,21,262144,64,157777,10396650946,134,2,585,1855002,11,40838,67,128152320,1172,1,66,23627,6065181,2,377036,585,40926234,83883059,3100977473,585,1440,2,1,2,2,675,1,3087966620,3042457807,797512024,235944869,235944869,2,1,10381574236,73389,73389,2,2,2,235944869,12,4,3,255445,62644432,2237390,83441,23561,3087966620,1771561,38689713,8270
70442.86,21,262144,64,168230,11085415082,136,2,585,1989133,11,43747,67,128152320,1172,1,66,25163,6155677,2,377036,585,44672091,88705019,3303173704,585,1440,2,1,2,2,675,1,3289293212,3243804718,850019139,251585939,251602323,2,1,11069781316,73389,73389,2,2,2,251585939,12,4,3,273381,64959150,2446285,90125,25097,3289293212,1899008,42227226,8270
75447.81,21,262144,64,213391,14061278950,143,2,585,2355878,11,56499,67,129479580,1172,1,66,31795,6159351,2,377036,585,54859109,89680185,4175735354,585,1440,2,1,2,2,675,1,4158562716,4113719641,968378371,319226656,319243040,2,1,14045972864,73389,73389,2,2,2,319226656,12,4,3,306032,65809104,2659096,99085,31729,4158562716,2256793,52200976,8270
80465.50,21,262144,64,245253,16160873814,148,2,585,2633030,11,65462,67,130275936,1172,1,66,36478,6195635,2,377036,585,62763198,91236562,4791913832,585,1440,2,1,2,2,675,1,4772372892,4727529984,998915848,366942331,366942331,2,1,16145462564,73389,73389,2,2,2,366942331,12,4,3,318630,67036360,2858611,106712,36412,4772372892,2526318,59905822,8270
85486.54,21,262144,64,256801,16921665322,150,2,585,2776891,11,68721,67,130541388,1172,1,66,38173,6289248,2,377036,585,66254715,95403955,5015161524,585,1440,2,1,2,2,675,1,4994671004,4949877183,1126373648,384227834,384244218,2,1,16906024696,73389,73389,2,2,2,384227834,12,4,3,324337,69166119,3010043,112728,38108,4994671004,2664163,63244568,8270
90509.85,21,262144,64,264397,17422131298,152,2,585,2880220,11,70902,67,130806840,1172,1,66,39290,6389963,2,377036,585,69448853,101323758,5162095953,585,1440,2,1,2,2,675,1,5140947356,5096187018,1238637662,395601316,395617700,2,1,17406457904,73389,73389,2,2,2,395601316,12,4,3,331707,71675050,3145772,117534,39224,5140947356,2762686,66303518,8270
95538.28,21,262144,64,270254,17807833814,153,2,585,2959879,11,72558,67,130806840,1172,1,66,40150,6511618,2,377036,585,71382127,106206809,5275341298,585,1440,2,1,2,2,675,1,5253669276,5208932887,1329788055,404384411,404400795,2,1,17792914084,73389,73389,2,2,2,404384411,12,4,3,334773,74464886,3233390,121395,40084,5253669276,2838484,68149104,8270
100557.54,21,262144,64,275217,18134947146,153,2,585,3027381,11,73911,67,130806840,1172,1,66,40879,6663495,2,377036,585,73545183,111461129,5371344180,585,1440,2,1,2,2,675,1,5349220764,5304496233,1372889131,411815826,411832210,2,1,18119896344,73389,73389,2,2,2,411815826,12,4,3,341256,77184325,3331789,124638,40813,5349220764,2902743,70214101,8270
105581.67,21,262144,64,279745,18433552318,154,2,585,3089237,11,75200,67,131072292,1172,1,66,41543,6874575,2,377036,585,74399488,115816810,5458797863,585,1440,2,1,2,2,675,1,5436252572,5391850531,1381190999,418608265,418608265,2,1,18418763660,73389,73389,2,2,2,418608265,12,4,3,344013,80196428,3384561,127735,41477,5436252572,2961502,71015942,8270
110610.97,21,262144,64,283740,18696695898,155,2,585,3156532,11,76344,67,131337744,1172,1,66,42133,7204308,2,377036,585,76502577,121489516,5536635538,585,1440,2,1,2,2,675,1,5513716124,5468811126,1438806471,424577630,424594014,2,1,18681415720,73389,73389,2,2,2,424577630,12,4,3,346754,83724131,3456170,130583,42068,5513716124,3025949,73047496,8270
