timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.73,9,262144,64,42844,2823027544,114,585,571165,5,8396,67,4863,124749708,1172,1,66,6739,1046732,2,206710,585,8517898,16943064,878124425,585,1036,2,1,2,2,1243,1,874422684,828545762,43531956,63815497,63837914,2,1,2807881868,73389,73389,2,2,2,63815497,17,2,3,215905,13204311,1367341,21084,6673,874422684,550081,7149369,7249
10017.94,9,262144,64,100315,6610381510,124,585,1023290,5,24561,67,4863,126571674,1172,1,66,15183,1046934,2,206710,585,18776668,17089953,1989102415,585,1036,2,1,2,2,1243,1,1981194652,1935692815,77003590,149890312,149890312,2,1,6595173728,73389,73389,2,2,2,149890312,17,2,3,257414,14060832,1586357,30311,15117,1981194652,992979,17188839,7249
15029.39,9,262144,64,163131,10749388854,135,585,1538964,5,42351,67,4863,128152320,1172,1,66,24414,1049574,2,206710,585,28656842,17275178,3203643041,585,1036,2,1,2,2,1243,1,3191120284,3145640047,101944409,243957916,243957916,2,1,10733427408,73389,73389,2,2,2,243941532,17,2,3,274378,15098509,1789469,40881,24348,3191120284,1498083,26865389,7249
20037.87,9,262144,64,176089,11603117026,137,585,1708035,5,45996,67,4863,128417772,1172,1,66,26316,1161680,2,206710,585,32541821,21191267,3453990397,585,1036,2,1,2,2,1243,1,3440419228,3395122316,144288257,263352637,263369021,2,1,11587516028,73389,73389,2,2,2,263352637,17,2,3,285711,17159719,2001113,48607,26250,3440419228,1659428,30539189,7249
25049.25,9,262144,64,186179,12268357046,139,585,1836077,5,48816,67,4863,128948676,1172,1,66,27799,1253022,2,206710,585,36125965,25710153,3649344919,585,1036,2,1,2,2,1243,1,3634930076,3589543509,253126791,278475452,278491836,2,1,12252919888,73389,73389,2,2,2,278475452,17,2,3,298011,19371557,2175632,55138,27734,3634930076,1780939,33948518,7249
30065.14,9,262144,64,204064,13446573802,142,585,2049811,5,53857,67,4863,129214128,1172,1,66,30425,1296638,2,206710,585,41720390,29946122,3994811186,585,1036,2,1,2,2,1243,1,3978994076,3933935286,336674816,305254595,305270979,2,1,13431202180,73389,73389,2,2,2,305254595,17,2,3,316067,21158569,2465005,67206,30359,3978994076,1982605,39254154,7249
35081.56,9,262144,64,211768,13954383118,143,585,2158170,5,56055,67,4863,129479580,1172,1,66,31554,1430602,2,206710,585,44901974,34470090,4143455823,585,1036,2,1,2,2,1243,1,4126974364,4082480028,362057128,316789758,316806142,2,1,13938749352,73389,73389,2,2,2,316789758,17,2,3,322347,23561857,2617313,72506,31489,4126974364,2085664,42283016,7249
40091.86,9,262144,64,218732,14412899438,144,585,2256971,5,58010,67,4863,129479580,1172,1,66,32581,1621582,2,206710,585,47601138,39409560,4278679277,585,1036,2,1,2,2,1243,1,4261585308,4216577509,418698893,327217286,327217286,2,1,14397560584,73389,73389,2,2,2,327217286,17,2,3,327440,26125666,2741367,78419,32515,4261585308,2178552,44857777,7249
45106.39,9,262144,64,226201,14905307794,145,585,2359031,5,60099,67,4863,129745032,1172,1,66,33676,1762175,2,206710,585,50141772,43944896,4422848021,585,1036,2,1,2,2,1243,1,4405109148,4360497073,462894188,338408385,338408385,2,1,14889968940,73389,73389,2,2,2,338408385,17,2,3,331760,28262541,2850251,83438,33610,4405109148,2275593,47289962,7249
50115.18,9,262144,64,232517,15321622238,146,585,2454617,5,61878,67,4863,130010484,1172,1,66,34607,1944870,2,206710,585,52588466,48547795,4545444192,585,1036,2,1,2,2,1243,1,4527137180,4482173604,513637234,347858906,347875290,2,1,15305791864,73389,73389,2,2,2,347858906,17,2,3,338329,30550688,2980839,94857,34541,4527137180,2359760,49605947,7249
