timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5140.07,6,262144,64,23512,1549425160,111,0,585,967923,9,2958,59,67,59856,124484256,1172,1,66,3901,1249674,2,96742,585,3929656,23533454,504736356,585,989,2,1,2,2,659,1,502440348,456187808,36001577,34861600,34877984,2,1,1533910400,73389,73389,2,2,2,34861600,9,3,116912,20398319,815371,29763,3835,502440348,938160,3115769,14521
10426.03,6,262144,64,27782,1830591140,112,0,585,1029532,9,4177,59,67,59856,124484256,1172,1,66,4529,1501129,2,96742,585,5221859,28906717,587440671,585,989,2,1,2,2,659,1,584753564,538400368,53145086,41256949,41273333,2,1,1815305756,73389,73389,2,2,2,41256949,9,3,120782,23899403,888944,32535,4463,584753564,996997,4334677,14521
15459.47,6,262144,64,31780,2094196780,113,1,585,1084193,9,5322,59,67,59856,124749708,1172,1,66,5116,1831928,2,96742,585,6530060,34360808,664881893,585,989,2,1,2,2,659,1,661823900,615467622,76289695,47240539,47256923,2,1,2078583716,73389,73389,2,2,2,47240539,9,3,124327,27330984,940782,35333,5051,661823900,1048860,5591206,14521
20481.03,6,262144,64,37514,2471838368,114,2,585,1169486,9,6940,59,67,59856,124749708,1172,1,66,5958,1988860,2,96742,585,9179996,40330918,775629291,585,989,2,1,2,2,659,1,772055452,725827235,150348738,55827026,55843410,2,1,2456389144,73389,73389,2,2,2,55827026,9,3,139421,30079304,1081240,46550,5892,772055452,1122936,8100844,14521
25508.75,6,262144,64,44103,2906309592,115,2,585,1353939,9,8787,59,67,59856,125015160,1172,1,66,6923,2104941,2,96742,585,11247089,45056795,902819176,585,989,2,1,2,2,659,1,898671004,852848957,207639470,65701372,65717756,2,1,2890860368,73389,73389,2,2,2,65701372,9,3,149726,32618293,1196532,51652,6858,898671004,1302287,10052008,14521
30513.41,6,262144,64,70288,4631407186,119,2,585,1575326,9,16152,59,67,59856,125546064,1172,1,66,10773,2134800,2,96742,585,18463523,48217627,1409276361,585,989,2,1,2,2,659,1,1403167132,1357299742,300647237,104892222,104908606,2,1,4615257768,73389,73389,2,2,2,104892222,9,3,176401,34091485,1394523,58866,10707,1403167132,1516460,17069739,14521
35518.87,6,262144,64,113309,7466468978,126,2,585,1922582,9,28272,59,67,59856,126837126,1172,1,66,17093,2135616,2,96742,585,28337719,48225496,2240794273,585,989,2,1,2,2,659,1,2231542172,2185863536,324225699,169342377,169358761,2,1,7451064588,73389,73389,2,2,2,169342377,9,3,189800,34781404,1561101,67193,17027,2231542172,1855389,26777240,14521
40524.99,6,262144,64,159320,10498303898,134,2,585,2299741,9,41259,59,67,59856,128152320,1172,1,66,23853,2136216,2,96742,585,38953585,48227912,3130211551,585,989,2,1,2,2,659,1,3117588892,3072180903,351266472,238250695,238267079,2,1,10483030580,73389,73389,2,2,2,238250695,9,3,208870,35517756,1753355,75965,23787,3117588892,2223776,37200480,14521
45529.81,6,262144,64,206738,13622613422,142,2,585,2676816,9,54630,59,67,59856,129214128,1172,1,66,30818,2136879,2,96742,585,48979398,48229532,4046601109,585,989,2,1,2,2,659,1,4030505372,3985439134,374853088,309254006,309270390,2,1,13607176264,73389,73389,2,2,2,309254006,9,3,229748,36263237,1928921,84817,30752,4030505372,2591999,47050236,14521
50535.76,6,262144,64,257124,16942833450,150,2,585,3088919,9,68796,59,67,59856,130541388,1172,1,66,38222,2137592,2,96742,585,59844833,48235153,5020728179,585,989,2,1,2,2,659,1,5000962460,4956114544,421680332,384702970,384719354,2,1,16926930680,73389,73389,2,2,2,384702970,9,3,259306,37062013,2126084,94066,38156,5000962460,2994853,57717279,14521
