timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.88,8,262144,64,44803,2952450244,115,0,585,560498,3,8941,67,1077,125015160,1172,1,66,7027,199525,2,176681,585,9371728,8448639,915902385,585,914,6,1,2,1,2,2,554,1,912171420,866381495,35204278,66755981,66772365,2,1,2937263164,73389,73389,2,2,2,66755981,10,3,270444,6408143,1442497,17312,6961,912171420,543186,7929941,7232
10022.01,8,262144,64,92032,6064361398,123,0,585,956725,3,22302,67,1077,126318288,1172,1,66,13965,213767,2,176681,585,18706347,9459967,1828770767,585,914,6,1,2,1,2,2,554,1,1821548956,1776065566,80840518,137480764,137480764,2,1,6049153616,73389,73389,2,2,2,137480764,10,3,310477,7526850,1689761,26547,13899,1821548956,930178,17017745,7232
15034.73,8,262144,64,100129,6598191814,124,0,585,1064456,3,24564,67,1077,126571674,1172,1,66,15157,363550,2,176681,585,21570771,14043764,1985707619,585,914,6,1,2,1,2,2,554,1,1977786780,1932152841,124166767,149611784,149611784,2,1,6582918496,73389,73389,2,2,2,149611784,10,3,312807,10067536,1806419,31483,15091,1977786780,1032973,19765720,7232
20045.28,8,262144,64,107545,7086861310,125,0,585,1178104,3,26645,67,1077,126837126,1172,1,66,16248,506033,2,176681,585,24220966,18738259,2129351727,585,914,6,1,2,1,2,2,554,1,2120786332,2074944635,179343914,160723122,160723122,2,1,7071817368,73389,73389,2,2,2,160723122,10,3,316080,12698424,1906911,47485,16182,2120786332,1130619,22314551,7232
25061.06,8,262144,64,115503,7611316770,127,0,585,1286125,3,28925,67,1077,127102578,1172,1,66,17416,644289,2,176681,585,26990511,23934227,2283124265,585,914,6,1,2,1,2,2,554,1,2273878428,2228249464,237462958,172643309,172643309,2,1,7596305596,73389,73389,2,2,2,172643309,10,3,324729,15230842,2051600,55012,17350,2273878428,1231113,24939876,7232
30072.75,8,262144,64,142113,9364520550,131,0,585,1535431,3,36399,67,1077,127621416,1172,1,66,21324,695206,2,176681,585,33242992,26869717,2797357197,585,914,6,1,2,1,2,2,554,1,2786107804,2740777254,283028868,212487360,212487360,2,1,9348722944,73389,73389,2,2,2,212470976,10,3,345434,16777542,2253353,62936,21258,2786107804,1472495,30990206,7232
35083.12,8,262144,64,155124,10221722130,133,0,585,1698889,3,40059,67,1077,127886868,1172,1,66,23237,771827,2,176681,585,37097832,31024438,3049155098,585,914,6,1,2,1,2,2,554,1,3036848540,2991360307,314354786,231955809,231972193,2,1,10206055596,73389,73389,2,2,2,231955809,10,3,349937,18928287,2434754,70849,23171,3036848540,1628040,34663782,7232
40103.23,8,262144,64,163889,10799330594,135,1,585,1820125,3,42558,67,1077,128152320,1172,1,66,24524,906997,2,176681,585,39952548,35585688,3218584860,585,914,6,1,2,1,2,2,554,1,3205538204,3160210220,384663088,245094445,245094445,2,1,10783434684,73389,73389,2,2,2,245078061,10,3,358049,21436377,2569278,75997,24458,3205538204,1744128,37384619,7232
45123.81,8,262144,64,171396,11293963866,136,1,585,1922212,3,44661,67,1077,128417772,1172,1,66,25628,1066411,2,176681,585,42027854,39988943,3363943274,585,914,6,1,2,1,2,2,554,1,3350241692,3304766267,446248631,256328663,256345047,2,1,11278461172,73389,73389,2,2,2,256328663,10,3,365578,23754619,2699210,80640,25562,3350241692,1841572,39329909,7232
50188.20,8,262144,64,176652,11640279246,137,1,585,1995725,3,46149,67,1077,128417772,1172,1,66,26400,1258245,2,176681,585,43782961,44784274,3465740264,585,914,6,1,2,1,2,2,554,1,3451560348,3406017251,503197898,264194254,264210638,2,1,11624547176,73389,73389,2,2,2,264194254,10,3,371993,26442007,2800240,84168,26335,3451560348,1911557,40983013,7232
