timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5036.33,9,262144,64,23543,1551456776,111,0,585,614586,6,2967,60,67,5010,256311,124484256,1172,1,66,3904,2199870,2,354122,585,4067304,25276635,505161364,585,1361,2,1,2,2,885,1,502833564,456742704,33835617,34910752,34927136,2,1,1536073088,73389,73389,2,2,2,34910752,10,3,134811,22161033,925750,34660,3838,502833564,579926,3141696,32760
10055.37,9,262144,64,27905,1838917520,112,0,585,677628,6,4212,60,67,5010,256311,124484256,1172,1,66,4546,2339233,2,354122,585,5644411,30701618,589710569,585,1361,2,1,2,2,885,1,586981788,540766650,64552978,41443206,41459590,2,1,1823501064,73389,73389,2,2,2,41443206,10,3,141763,25219723,1017992,37648,4480,586981788,639980,4625885,32760
15087.75,9,262144,64,32743,2157585466,113,0,585,745091,6,5585,60,67,5010,256311,124749708,1172,1,66,5256,2731488,2,354122,585,7245386,35841906,683209305,585,1361,2,1,2,2,885,1,680042908,634025524,99235481,48688364,48688364,2,1,2142288016,73389,73389,2,2,2,48688364,10,3,151855,28368433,1110154,40973,5190,680042908,704118,6134652,32760
20100.41,9,262144,64,37574,2475770528,114,0,585,812167,6,6957,60,67,5010,256311,124749708,1172,1,66,5966,2981300,2,354122,585,9355079,41364861,776709801,585,1361,2,1,2,2,885,1,773104028,726997083,149312046,55925330,55925330,2,1,2459993624,73389,73389,2,2,2,55908946,10,3,167446,31421120,1245103,44271,5900,773104028,767896,8112539,32760
25121.68,9,262144,64,44317,2920334296,115,0,585,903491,6,8852,60,67,5010,256311,125015160,1172,1,66,6955,3136174,2,354122,585,11807999,46762561,906927345,585,1361,2,1,2,2,885,1,902734236,856967557,187105089,66029052,66029052,2,1,2905278288,73389,73389,2,2,2,66029052,10,3,174316,34029490,1360965,48453,6889,902734236,855038,10446123,32760
30137.78,9,262144,64,72484,4776120598,119,0,585,1150541,6,16752,60,67,5010,256311,125546064,1172,1,66,11092,3195568,2,354122,585,19067447,49494823,1451419809,585,1361,2,1,2,2,885,1,1445110172,1399580898,254990347,108187121,108203505,2,1,4760233324,73389,73389,2,2,2,108187121,10,3,191777,35511466,1549342,57584,11027,1445110172,1092957,17516432,32760
35155.31,9,262144,64,85347,5623888302,122,0,585,1311160,6,20424,60,67,5010,256311,126076968,1172,1,66,12984,3264879,2,354122,585,23283975,54250442,1700457069,585,1361,2,1,2,2,885,1,1693098396,1647365496,329441693,127456803,127473187,2,1,5608099332,73389,73389,2,2,2,127456803,10,3,203828,37644010,1755569,64930,12919,1693098396,1246230,21526973,32760
40160.87,9,262144,64,127095,8374991862,129,0,585,1655749,6,32156,60,67,5010,256311,127368030,1172,1,66,19119,3274498,2,354122,585,32881858,55107871,2507507344,585,1361,2,1,2,2,885,1,2497094044,2451460394,391130903,189994348,190010732,2,1,8359751312,73389,73389,2,2,2,189994348,10,3,232645,38606451,1981367,74784,19053,2497094044,1580965,30899145,32760
45181.22,9,262144,64,161090,10615098974,134,0,585,1944634,6,41741,60,67,5010,256311,128152320,1172,1,66,24115,3294364,2,354122,585,41272367,56727611,3164869097,585,1361,2,1,2,2,885,1,3151929756,3106343543,430543063,240906618,240906618,2,1,10599891192,73389,73389,2,2,2,240906618,10,3,242516,39874722,2130922,83506,24049,3151929756,1861128,39139862,32760
50204.06,9,262144,64,173485,11431664926,136,0,585,2097212,6,45231,60,67,5010,256311,128417772,1172,1,66,25933,3347261,2,354122,585,45802981,61485376,3404296179,585,1361,2,1,2,2,885,1,3390349724,3344979844,573912141,259459722,259476106,2,1,11416227768,73389,73389,2,2,2,259459722,10,3,250818,41961819,2317398,89872,25868,3390349724,2007340,43484258,32760
55219.42,9,262144,64,185696,12236184320,138,0,585,2241346,6,48669,60,67,5010,256311,128683224,1172,1,66,27729,3419004,2,354122,585,50093549,66601842,3640569122,585,1361,2,1,2,2,885,1,3625623964,3580215808,732319310,277734298,277750682,2,1,12220309112,73389,73389,2,2,2,277734298,10,3,266560,44098898,2523313,96350,27664,3625623964,2144996,47568667,32760
60225.96,9,262144,64,218051,14368016036,144,0,585,2514349,6,57768,60,67,5010,256311,129479580,1172,1,66,32478,3437706,2,354122,585,58832674,68921983,4265443791,585,1361,2,1,2,2,885,1,4248084892,4203459035,764325343,326195445,326195445,2,1,14351878684,73389,73389,2,2,2,326179061,10,3,294546,45439571,2771310,105038,32412,4248084892,2409311,56060401,32760
65244.02,9,262144,64,252919,16665927310,150,0,585,2808765,6,67662,60,67,5010,256311,130541388,1172,1,66,37601,3467151,2,354122,585,66364441,70319329,4939686164,585,1361,2,1,2,2,885,1,4919697820,4875145867,795044440,378414117,378430501,2,1,16650221148,73389,73389,2,2,2,378414117,10,3,306475,46763938,2955388,118316,37536,4919697820,2690449,63408444,32760
70264.85,9,262144,64,264842,17451560270,152,0,585,2960622,6,71024,60,67,5010,256311,130806840,1172,1,66,39354,3553343,2,354122,585,70704698,75600680,5170295932,585,1361,2,1,2,2,885,1,5149335964,5104811951,895651163,396279093,396279093,2,1,17436280092,73389,73389,2,2,2,396279093,10,3,314934,49049054,3143895,128240,39288,5149335964,2832382,67558871,32760
75278.12,9,262144,64,276248,18203045666,154,1,585,3098648,6,74242,60,67,5010,256311,131072292,1172,1,66,41031,3660827,2,354122,585,74205889,80522781,5390909861,585,1361,2,1,2,2,885,1,5369012636,5324486315,1029374560,413367988,413367988,2,1,18188191472,73389,73389,2,2,2,413367988,10,3,323524,51182658,3327181,137039,40965,5369012636,2961609,70876387,32760
80283.79,9,262144,64,310308,20447412618,159,1,585,3377334,6,83802,60,67,5010,256311,131868648,1172,1,66,46037,3693720,2,354122,585,81700006,82644278,6049701315,585,1361,2,1,2,2,885,1,6025290140,5980621966,1129724677,464362178,464378562,2,1,20431935832,73389,73389,2,2,2,464362178,10,3,347743,52444434,3530491,146573,45971,6025290140,3230761,78165884,32760
85294.17,9,262144,64,324661,21393094414,162,1,585,3539866,6,87888,60,67,5010,256311,132399552,1172,1,66,48141,3736182,2,354122,585,87366002,87385466,6326750349,585,1361,2,1,2,2,885,1,6301196700,6257031961,1257352096,485857925,485874309,2,1,21377748700,73389,73389,2,2,2,485857925,10,3,357793,54545163,3720764,154862,48076,6301196700,3385004,83640892,32760
90299.87,9,262144,64,357964,23587319710,167,1,585,3828689,6,97221,60,67,5010,256311,132930456,1172,1,66,53034,3763476,2,354122,585,94958205,89886610,6970415660,585,1361,2,1,2,2,885,1,6942400924,6898449924,1306953809,535725937,535742321,2,1,23571941228,73389,73389,2,2,2,535725937,10,3,383895,55902727,3950598,166318,52968,6942400924,3662371,91004063,32760
95318.42,9,262144,64,394656,26005251288,173,1,585,4138099,6,107580,60,67,5010,256311,133992264,1172,1,66,58424,3779144,2,354122,585,104521448,91314965,7679601737,585,1361,2,1,2,2,885,1,7648879004,7605278875,1347843020,590676419,590692803,2,1,25989762436,73389,73389,2,2,2,590676419,10,3,404549,57088715,4172350,175493,58358,7648879004,3962606,100345681,32760
