timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5037.05,262144,64,42939,2829494784,115,0,585,527890,4,8435,67,142,124749708,1172,1,66,6755,127525,2,4505,585,8165864,4507193,879984478,585,338,3,1,2,1,2,2,409,1,876519836,830437376,23283944,63952602,63968986,2,1,2813914488,73389,73389,2,2,2,63952602,6,3,316678,3916492,1437419,13987,6689,876519836,513903,6728800,4223
10050.78,262144,64,49463,3259440716,116,0,585,644781,4,10308,67,142,125280612,1172,1,66,7716,274279,2,4505,585,10428013,9271288,1006518559,585,338,3,1,2,1,2,2,409,1,1002480028,956198497,60594925,73714419,73730803,2,1,3243434436,73389,73389,2,2,2,73714419,6,3,321261,6641823,1536240,39757,7650,1002480028,605024,8891914,4223
15091.73,262144,64,54484,3590355136,116,0,585,717193,4,11679,67,142,125280612,1172,1,66,8451,492066,2,4505,585,11504233,13557901,1103443998,585,338,3,1,2,1,2,2,409,1,1098949020,1052861171,73317677,81244138,81260522,2,1,3574742072,73389,73389,2,2,2,81244138,6,3,321596,9674106,1594314,43933,8386,1098949020,673260,9910097,4223
20150.17,262144,64,59699,3933730154,117,0,585,792579,4,13158,67,142,125280612,1172,1,66,9217,730302,2,4505,585,14292932,19444398,1204187426,585,338,3,1,2,1,2,2,409,1,1199219100,1153253601,114900567,89054544,89070928,2,1,3918399936,73389,73389,2,2,2,89054544,6,3,327555,12785631,1703045,47655,9152,1199219100,744924,12590567,4223
25173.53,262144,64,65218,4297546954,118,0,585,885176,4,14709,67,142,125546064,1172,1,66,10025,954788,2,4505,585,16409452,24314034,1310588713,585,338,3,1,2,1,2,2,409,1,1305125276,1259655640,180254114,97311192,97327576,2,1,4281692448,73389,73389,2,2,2,97311192,6,3,335458,15757322,1783691,63398,9959,1305125276,821778,14626327,4223
30184.28,262144,64,72013,4745253142,119,0,585,983926,4,16623,67,142,125546064,1172,1,66,11026,1130365,2,4505,585,18449017,28791703,1442520247,585,338,3,1,2,1,2,2,409,1,1436459420,1390549080,262975175,107482609,107498993,2,1,4729234796,73389,73389,2,2,2,107482609,6,3,339802,18336548,1893084,71226,10961,1436459420,912700,16555669,4223
35189.13,262144,64,110642,7290888110,126,0,585,1316543,4,27489,67,142,126837126,1172,1,66,16699,1140778,2,4505,585,26817890,30815416,2188840377,585,338,3,1,2,1,2,2,409,1,2179899804,2134590582,397780311,165359350,165359350,2,1,7275090504,73389,73389,2,2,2,165342966,6,3,365336,19601401,2095870,81921,16633,2179899804,1234622,24721214,4223
40194.43,262144,64,164716,10853794318,135,1,585,1751827,4,42786,67,142,128152320,1172,1,66,24647,1141231,2,4505,585,36864162,30999790,3234587476,585,338,3,1,2,1,2,2,409,1,3221660060,3176137184,431904849,246329278,246345662,2,1,10838488232,73389,73389,2,2,2,246329278,6,3,385131,20430370,2275667,90713,24581,3221660060,1661114,34587483,4223
45204.28,262144,64,209008,13772188564,142,1,585,2116181,4,55248,67,142,129214128,1172,1,66,31152,1151272,2,4505,585,45022023,31933017,4090486094,585,338,3,1,2,1,2,2,409,1,4074283420,4029219572,455424138,312647209,312663593,2,1,13756477196,73389,73389,2,2,2,312647209,6,3,401636,21561385,2457077,99996,31086,4074283420,2016185,42564227,4223
50215.36,262144,64,219792,14482898502,144,1,585,2253383,4,58299,67,142,129479580,1172,1,66,32734,1287899,2,4505,585,49048451,36622309,4298861466,585,338,3,1,2,1,2,2,409,1,4281770396,4236959910,510688836,328802216,328818600,2,1,14467297504,73389,73389,2,2,2,328802216,6,3,409557,23795820,2611875,106641,32669,4281770396,2146742,46435510,4223
55224.73,262144,64,232799,15340103390,146,1,585,2418654,4,61956,67,142,130010484,1172,1,66,34648,1415542,2,4505,585,53351647,41090606,4550657901,585,338,3,1,2,1,2,2,409,1,4532511132,4487565702,669728858,348284890,348301274,2,1,15324535160,73389,73389,2,2,2,348284890,6,3,421469,26036874,2807906,114376,34582,4532511132,2304278,50542770,4223
60239.84,262144,64,248392,16367387674,149,1,585,2606877,4,66374,67,142,130275936,1172,1,66,36937,1472124,2,4505,585,57798417,45083843,4852048670,585,338,3,1,2,1,2,2,409,1,4832666012,4787917545,727723990,371638062,371638062,2,1,16352074728,73389,73389,2,2,2,371638062,6,3,432114,28027498,3015249,122270,36872,4832666012,2484607,54782296,4223
65252.94,262144,64,255853,16859271742,150,1,585,2717631,4,68461,67,142,130541388,1172,1,66,38032,1636551,2,4505,585,60155327,49496195,4996088421,585,338,3,1,2,1,2,2,409,1,4976058780,4931599205,748014637,382812777,382829161,2,1,16843762188,73389,73389,2,2,2,382812777,6,3,435414,30326983,3134290,128426,37966,4976058780,2589205,57019783,4223
70270.08,262144,64,264083,17401552994,152,1,585,2834046,4,70815,67,142,130806840,1172,1,66,39244,1728631,2,4505,585,65024887,55007900,5155653726,585,338,3,1,2,1,2,2,409,1,5134918044,5090172625,853490605,395142564,395142564,2,1,17385551920,73389,73389,2,2,2,395126180,6,3,452199,32663202,3353514,134278,39178,5134918044,2699768,61670959,4223
75295.19,262144,64,271483,17888908462,153,1,585,2940512,4,72893,67,142,130806840,1172,1,66,40329,1881423,2,4505,585,67594184,59548977,5298508738,585,338,3,1,2,1,2,2,409,1,5277131164,5232624958,920170144,406231485,406231485,2,1,17874185340,73389,73389,2,2,2,406231485,6,3,455324,35473677,3461342,139329,40264,5277131164,2801183,64132293,4223
80306.08,262144,64,278337,18340746726,154,1,585,3037058,4,74816,67,142,131072292,1172,1,66,41338,2014575,2,4505,585,69958644,64239012,5431363004,585,338,3,1,2,1,2,2,409,1,5409382812,5364723239,979259001,416499047,416499047,2,1,18325958068,73389,73389,2,2,2,416499047,6,3,458628,37740895,3572067,144231,41272,5409382812,2892827,66385529,4223
85335.90,262144,64,285746,18828957470,155,1,585,3140488,4,76890,67,142,131337744,1172,1,66,42426,2101636,2,4505,585,72421530,69075739,5574610687,585,338,3,1,2,1,2,2,409,1,5551989148,5507527104,1039174551,427577617,427594001,2,1,18813415148,73389,73389,2,2,2,427577617,6,3,471358,40198485,3744414,149695,42360,5551989148,2990793,68676816,4223
90347.85,262144,64,296414,19531811846,157,1,585,3278201,4,79911,67,142,131603196,1172,1,66,43995,2175960,2,4505,585,76163123,73641643,5781278039,585,338,3,1,2,1,2,2,409,1,5757772188,5712962398,1095848456,443562751,443579135,2,1,19516761044,73389,73389,2,2,2,443562751,6,3,478748,42108086,3909975,156027,43930,5757772188,3122174,72251831,4223
95361.75,262144,64,305520,20131768086,159,1,585,3397398,4,82473,67,142,131603196,1172,1,66,45331,2277345,2,4505,585,79443462,78316644,5957158774,585,338,3,1,2,1,2,2,409,1,5932884380,5888332719,1155606348,457192907,457209291,2,1,20116487908,73389,73389,2,2,2,457192907,6,3,491392,44254053,4077181,161868,45266,5932884380,3235530,75365214,4223
100366.62,262144,64,337695,22252068774,164,1,585,3700861,4,91551,67,142,132665004,1172,1,66,50059,2301350,2,4505,585,86678319,81278706,6579162841,585,338,3,1,2,1,2,2,409,1,6552461724,6508123223,1215718788,505389751,505389751,2,1,22237149044,73389,73389,2,2,2,505389751,6,3,517420,45682007,4316341,171444,49993,6552461724,3529417,82361207,4223
105370.96,262144,64,393374,25920703232,173,1,585,4178196,4,107229,67,142,133992264,1172,1,66,58234,2301703,2,4505,585,96741796,81279240,7654750446,585,338,3,1,2,1,2,2,409,1,7623975324,7580616264,1236105626,588747425,588763809,2,1,25904886700,73389,73389,2,2,2,588747425,6,3,536510,46534300,4498725,180456,58168,7623975324,3997740,92242706,4223
