timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5020.21,4,262144,64,35414,2333681864,113,0,585,1124454,11,6312,60,67,105350,124749708,1172,1,66,5649,603049,2,109878,585,6554284,13800373,734630256,585,952,2,1,2,2,639,1,731554204,685526110,40533235,52677424,52693808,2,1,2317806656,73389,73389,2,2,2,52677424,10,1,3,131832,10776067,928816,16581,5583,731554204,1107873,5626596,10931
10039.72,4,262144,64,56651,3732914618,117,0,585,1334403,11,12327,60,67,105350,125280612,1172,1,66,8767,650302,2,109878,585,13002722,17003964,1144936269,585,952,2,1,2,2,639,1,1140236700,1094557610,96121955,84492044,84508428,2,1,3717649936,73389,73389,2,2,2,84492044,10,1,3,151203,12598406,1137645,23908,8701,1140236700,1310495,11865522,10931
15046.74,4,262144,64,81202,5350648870,121,0,585,1565944,11,19185,60,67,105350,125811516,1172,1,66,12376,703584,2,109878,585,19628888,20732219,1619831379,585,952,2,1,2,2,639,1,1613275548,1567516066,146015190,121243837,121260221,2,1,5334728828,73389,73389,2,2,2,121243837,10,1,3,193829,14170053,1395878,32656,12310,1613275548,1533288,18232640,10931
20053.03,4,262144,64,127706,8415299810,129,0,585,1932309,11,32307,60,67,105350,127368030,1172,1,66,19209,704797,2,109878,585,30666472,21000784,2518759423,585,952,2,1,2,2,639,1,2508759452,2463300027,179955536,190901501,190917885,2,1,8399666044,73389,73389,2,2,2,190901501,10,1,3,241626,14936505,1659565,43093,19143,2508759452,1889216,29006213,10931
25068.86,4,262144,64,144573,9526800918,132,1,585,2118076,11,37101,60,67,105350,127886868,1172,1,66,21688,799887,2,109878,585,35495785,24748729,2845147835,585,952,2,1,2,2,639,1,2833818012,2788250874,217727663,216173316,216173316,2,1,9510905008,73389,73389,2,2,2,216156932,10,1,3,260782,16923148,1847722,55228,21622,2833818012,2062848,33647612,10931
30088.69,4,262144,64,157236,10361195970,134,1,585,2271802,11,40689,60,67,105350,128152320,1172,1,66,23548,877479,2,109878,585,40101813,30261411,3089971081,585,952,2,1,2,2,639,1,3077611932,3032118175,334532600,235125669,235142053,2,1,10345529436,73389,73389,2,2,2,235125669,10,1,3,274713,19065469,2055351,61670,23482,3077611932,2210132,38046232,10931
35094.16,4,262144,64,172730,11381919794,136,1,585,2442627,11,45018,60,67,105350,128417772,1172,1,66,25823,930302,2,109878,585,43447027,34326118,3389252072,585,952,2,1,2,2,639,1,3375669660,3330512045,372435643,258323193,258339577,2,1,11366220492,73389,73389,2,2,2,258323193,10,1,3,283692,21095730,2237466,68644,25757,3375669660,2373983,41210093,10931
40099.32,4,262144,64,219572,14468480582,144,1,585,2814108,11,58236,60,67,105350,129479580,1172,1,66,32702,931578,2,109878,585,54138472,34536794,4294439717,585,952,2,1,2,2,639,1,4277445020,4232801119,398040761,328474536,328474536,2,1,14451893236,73389,73389,2,2,2,328452119,10,1,3,302265,21881281,2438444,78595,32636,4277445020,2735513,51701446,10931
45120.69,4,262144,64,236507,15584510534,147,1,585,2989348,11,63017,60,67,105350,130010484,1172,1,66,35191,1030259,2,109878,585,60359895,39311763,4622141411,585,952,2,1,2,2,639,1,4603814300,4559061191,530126590,353828271,353844655,2,1,15568443924,73389,73389,2,2,2,353828271,10,1,3,318616,23900569,2652023,85520,35126,4603814300,2903828,57709635,10931
50143.03,4,262144,64,247057,16279631662,149,1,585,3123492,11,66009,60,67,105350,130275936,1172,1,66,36742,1113388,2,109878,585,63456715,43806710,4826174898,585,952,2,1,2,2,639,1,4806975900,4762258219,559608037,369633181,369649565,2,1,16263859964,73389,73389,2,2,2,369633181,10,1,3,330102,26286589,2807865,91582,36676,4806975900,3031910,60650286,10931
55148.59,4,262144,64,264047,17399193698,152,1,585,3310195,11,70758,60,67,105350,130806840,1172,1,66,39238,1173284,2,109878,585,69714177,49709917,5154660305,585,952,2,1,2,2,639,1,5134131612,5089499765,694673367,395077028,395093412,2,1,17383389232,73389,73389,2,2,2,395077028,10,1,3,346662,28274785,3037085,102859,39172,5134131612,3207336,66676421,10931
60168.25,4,262144,64,296753,19554294002,157,1,585,3610870,11,80001,60,67,105350,131603196,1172,1,66,44044,1208083,2,109878,585,78130031,52094357,5787016241,585,952,2,1,2,2,639,1,5764063644,5719546847,736032997,444076688,444076688,2,1,19538653376,73389,73389,2,2,2,444060304,10,1,3,363556,29618226,3232348,111778,43978,5764063644,3499092,74897471,10931
65174.22,4,262144,64,312878,20616636494,160,1,585,3784098,11,84532,60,67,105350,131868648,1172,1,66,46410,1268001,2,109878,585,83148514,56818472,6098273828,585,952,2,1,2,2,639,1,6074048924,6030130932,839640659,468205941,468222325,2,1,20601061404,73389,73389,2,2,2,468205941,10,1,3,376634,31632701,3430808,118578,46344,6074048924,3665520,79716151,10931
